ID_1,NAME_1,Offices,Trade,Hotels
1,Ustecky,3076.93,3197.07,2471.89
2,Jihocesky,2470.75,2019.36,1330.3
3,Jihomoravsky,6554.53,4430.3,1029.53
4,Karlovarsky,1138.23,996.74,677.73
5,Kralovehradecky,2097.95,2016.03,1521.35
6,Kraj Vysocina,1157.16,1584.88,650.83
7,Liberecky,1923.53,1423.25,770.78
8,Moravskoslezsky,5286.01,4268.17,823.39
9,Olomoucky,2263.76,1987.92,1576.92
10,Pardubicky,1725.79,1572.73,858.29
11,Plzensky,1923.7,2061.76,828.62
12,Prague,14333.99,5938.19,1656.13
13,Stredocesky,6505.34,5510.17,2900.51
14,Zlinsky,1682.34,2023.44,643.72
