ID_2,NAME_2,Offices,Trade,Hotels
1,Albertslund,244.3,178.06,134.9
2,Allerod,196.65,113.58,23.21
3,Ballerup,1174.18,298.72,81.32
4,Bornholm,273.23,78.77,109.55
5,Brondby,467.8,238.51,43.79
6,Christianso,0,0.03,0.5
7,Dragor,57,15.2,26.1
8,Egedal,131.33,67.63,30.37
9,Fredensborg,224.55,109.83,54.08
10,Frederiksberg,1451.75,158.35,267.41
11,Frederikssund,198.21,104.45,64
12,Fureso,312.39,85.82,37.02
13,Gentofte,905.46,160.01,172.29
14,Gladsaxe,331.45,162.13,80.81
15,Glostrup,454.98,135.96,48.81
16,Gribskov,170.49,76.87,57.85
17,Hoje Taastrup,1148.37,205.68,97.88
18,Horsholm,202.71,91.41,46.43
19,Halsnaes,134.45,43.45,40.28
20,Helsingor,356.57,144.88,140.04
21,Herlev,273.58,152.48,55.09
22,Hillerod,516.14,141.52,146.57
23,Hvidovre,374.76,146.58,112.31
24,Ishoj,89.4,66.87,30.62
25,Kobenhavn,14143.91,1495.43,3252.86
26,Lyngby-Taarbaek,875.31,189.2,140.92
27,Rodovre,211.03,130.13,56.72
28,Rudersdal,563.1,133.43,105.03
29,Tarnby,220.73,107.47,230.14
30,Vallensbaek,72.42,49.66,17.44
31,Arhus,3636.9,1117.69,1043.29
32,Favrskov,200.81,107.06,39.78
33,Hedensted,175.86,127.39,56.59
34,Herning,625.99,273.97,188.86
35,Holstebro,472.65,174.83,113.69
36,Horsens,476.64,256.45,195.01
37,Ikast-Brande,231.82,171.22,47.31
38,Lemvig,135.66,42.44,30.87
39,Norddjurs,218.65,74.85,73.03
40,Odder,95.99,42.75,29.11
41,Randers,660.64,261.27,182.21
42,Ringkobing-Skjern,428.65,148.21,105.66
43,Samso,21.83,7.18,13.8
44,Silkeborg,796.48,217.13,197.77
45,Skanderborg,291.25,160.22,87.21
46,Skive,282.59,111.01,83.07
47,Struer,95.99,38.87,40.53
48,Syddjurs,216.58,83.6,80.81
49,Viborg,618.19,223.31,179.57
50,Aalborg,1889.92,603.58,616.51
51,Bronderslev,201.33,65.07,44.8
52,Frederikshavn,373.03,145.92,194.13
53,Hjorring,451.17,152.62,151.09
54,Jammerbugt,222.29,65.48,81.19
55,Laeso,10.05,4.34,5.27
56,Mariagerfjord,236.5,110.98,67.39
57,Morso,124.75,42.27,44.67
58,Rebild,133.93,53.68,62.62
59,Thisted,276.87,116.36,78.81
60,Vesthimmerland,219.87,75.3,59.98
61,Faxe,161.48,61.74,48.81
62,Greve,234.94,153.42,51.2
63,Guldborgsund,371.64,113.51,120.22
64,Holbaek,474.91,143.32,112.56
65,Koge,303.38,212.27,120.84
66,Kalundborg,170.83,73.74,64.88
67,Lejre,77.79,36.09,17.69
68,Lolland,302.51,85.78,54.96
69,Naestved,482.53,181.22,141.93
70,Odsherred,145.71,63.57,51.7
71,Ringsted,206.7,95.99,75.42
72,Roskilde,735.14,241.53,210.69
73,Slagelse,402.66,184.55,183.84
74,Solrod,95.29,39.28,20.71
75,Soro,102.4,69.89,33.5
76,Stevns,99.1,27.76,35.26
77,Vordingborg,239.62,77.32,76.67
78,Aero,32.05,10.1,18.07
79,Aabenraa,514.58,159.63,109.55
80,Assens,201.5,67.84,57.97
81,Billund,281.72,72.42,71.28
82,Esbjerg,804.1,319.37,298.16
83,Faaborg-Midtfyn,221.6,75.3,76.42
84,Fano,25.47,8.4,13.18
85,Fredericia,435.92,142.38,127.49
86,Haderslev,300.61,128.78,92.23
87,Kerteminde,119.72,47.16,46.3
88,Kolding,659.25,371.73,228.26
89,Langeland,67.22,21.83,18.57
90,Middelfart,225.24,127.43,115.82
91,Nordfyns,108.63,44.66,29.36
92,Nyborg,147.1,47.23,107.29
93,Odense,1912.62,615.65,567.95
94,Sonderborg,378.4,148.42,138.79
95,Svendborg,361.42,125.69,134.77
96,Tonder,219.17,92.03,87.97
97,Varde,307.88,117.61,125.61
98,Vejen,228.18,128.29,62.49
99,Vejle,801.85,349.87,342.58
