ID_2,NAME_2,Offices,Trade,Hotels
1,North Karelia,284.97,1109.54,215.16
2,North Savonia,467.52,1820.34,353
3,Paijanne Tavastia,130.61,508.54,98.62
4,Southern Savonia,267.16,1040.2,201.72
5,Lapland,338.4,1317.58,255.51
6,Kainuu,129.13,502.76,97.5
7,Northern Ostrobothnia,765.85,2981.9,578.25
8,Eastern Uusimaa,215.86,840.48,162.99
9,Kymenlaakso,307.23,1196.23,231.97
10,Paijanne Tavastia,130.61,508.54,98.62
11,South Karelia,235.99,918.84,178.18
12,Uusimaa,3381.85,13167.5,2553.45
13,Central Finland,507.6,1976.37,383.26
14,Central Ostrobothnia,138.03,537.43,104.22
15,Finland Proper,1001.84,3900.74,756.43
16,Ostrobothnia,378.47,1473.61,285.76
17,Paijanne Tavastia,130.61,508.54,98.62
18,Pirkanmaa,975.12,3796.72,736.26
19,Satakunta,414.09,1612.3,312.66
20,Southern Ostrobothnia,374.02,1456.27,282.4
21,Tavastia Proper,333.95,1300.25,252.14
