ID_2,NAME_2,Offices,Trade,Hotels
1,Alb-Donau-Kreis,233.7,741,345
2,Böblingen,484,1534.8,714.6
3,Baden-Baden,72.8,230.9,107.5
4,Biberach,212.6,674.2,313.9
5,Bodenseekreis,251.5,797.4,371.3
6,Bodensee,0,0,0
7,Breisgau-Hochschwarzwald,360,1141.5,531.5
8,Calw,188.2,596.9,277.9
9,Emmendingen,214.8,681.1,317.1
10,Enzkreis,231.7,734.7,342.1
11,Esslingen,669.2,2122,988
12,Freiburg im Breisgau,358.3,1136.2,529
13,Freudenstadt,137.1,434.7,202.4
14,Göppingen,297.8,944.3,439.7
15,Heidelberg,249.1,789.8,367.7
16,Heidenheim,136.8,433.7,201.9
17,Heilbronn,391.1,1240.1,577.4
18,Heilbronn,141.6,448.9,209
19,Hohenlohekreis,121,383.8,178.7
20,Karlsruhe,592.2,1877.8,874.3
21,Karlsruhe,465,1474.3,686.5
22,Konstanz,371.4,1177.7,548.3
23,Lörrach,284.4,901.8,419.9
24,Ludwigsburg,687.1,2178.7,1014.4
25,Main-Tauber-Kreis,363.9,1153.8,537.2
26,Mannheim,406.1,1287.7,599.5
27,Neckar-Odenwald-Kreis,166.4,527.7,245.7
28,Ortenaukreis,522.4,1656.4,771.2
29,Ostalbkreis,348.2,1104.2,514.1
30,Pforzheim,126.9,402.3,187.3
31,Rastatt,280.1,888.2,413.5
32,Ravensburg,352.6,1117.9,520.5
33,Rems-Murr-Kreis,528.9,1677.1,780.9
34,Reutlingen,342.8,1087.1,506.2
35,Rhein-Neckar-Kreis,752.5,2386.1,1111
36,Rottweil,154.1,488.6,227.5
37,Schwäbisch Hall,225.4,714.6,332.7
38,Schwarzwald-Baar-Kreis,240.1,761.3,354.5
39,Sigmaringen,153,485.2,225.9
40,Stuttgart,935.4,2966,1381
41,Tübingen,324.1,1027.7,478.5
42,Tuttlingen,127.5,404.2,188.2
43,Ulm,175,554.8,258.3
44,Waldshut,196.1,621.7,289.5
45,Zollernalbkreis,209.2,663.3,308.9
46,Aichach-Friedberg,176.4,559.4,260.5
47,Altötting,122.4,388.2,180.7
48,Amberg-Sulzbach,124.4,394.6,183.7
49,Amberg,49.8,158,73.6
50,Ansbach,213.6,677.3,315.4
51,Ansbach,51.7,164,76.4
52,Aschaffenburg,236.3,749.3,348.9
53,Aschaffenburg,93.9,297.7,138.6
54,Augsburg,326.2,1034.4,481.6
55,Augsburg,391.5,1241.4,578
56,Bad Kissingen,132.8,421.2,196.1
57,Bad Tölz-Wolfratshausen,168.2,533.5,248.4
58,Bamberg,191.4,607,282.6
59,Bamberg,103.4,327.9,152.7
60,Bayreuth,136.9,434,202.1
61,Bayreuth,100.8,319.7,148.9
62,Berchtesgadener Land,148.2,469.8,218.7
63,Cham,139.2,441.3,205.5
64,Coburg,151.4,480,223.5
65,Coburg,0,0,0
66,Dachau,210.7,668,311
67,Deggendorf,139.7,443,206.3
68,Dillingen an der Donau,105.3,333.7,155.4
69,Dingolfing-Landau,95.5,302.8,141
70,Donau-Ries,147.7,468.5,218.1
71,Ebersberg,201.8,639.9,297.9
72,Eichstätt,143.3,454.5,211.6
73,Erding,201.6,639.4,297.7
74,Erlangen-Höchstadt,174.7,554,257.9
75,Erlangen,147.7,468.4,218.1
76,Fürstenfeldbruck,316,1002.1,466.6
77,Fürth,82.7,262.3,122.1
78,Fürth,83.2,263.9,122.9
79,Forchheim,147.9,468.8,218.3
80,Freising,265.1,840.5,391.4
81,Freyung-Grafenau,86.6,274.4,127.8
82,Günzburg,147.6,468.1,218
83,Garmisch-Partenkirchen,129.6,411.1,191.4
84,Haßberge,91.9,291.4,135.7
85,Hof,110.1,349.2,162.6
86,Hof,53.9,170.9,79.6
87,Ingolstadt,152.2,482.6,224.7
88,Kaufbeuren,50.9,161.4,75.2
89,Kelheim,137.8,436.9,203.4
90,Kempten (Allgäu),85.4,270.6,126
91,Kitzingen,108.5,344.2,160.3
92,Kronach,71.9,228,106.1
93,Kulmbach,89.8,284.6,132.5
94,Landsberg am Lech,161.7,512.7,238.7
95,Landshut,195.7,620.4,288.9
96,Landshut,89.5,283.8,132.1
97,Lichtenfels,85.2,270.2,125.8
98,Lindau (Bodensee),97.1,308,143.4
99,Mühldorf am Inn,128.9,408.6,190.2
100,München,1229,3897,1814.4
101,München,1229,3897,1814.4
102,Main-Spessart,146.6,464.8,216.4
103,Memmingen,52.1,165.2,76.9
104,Miesbach,141,447.2,208.2
105,Miltenberg,142.8,452.8,210.8
106,Nürnberger Land,193.4,613.3,285.5
107,Nürnberg,723.2,2293.3,1067.8
108,Neu-Ulm,215,681.8,317.5
109,Neuburg-Schrobenhausen,107,339.2,157.9
110,Neumarkt in der Oberpfalz,193.4,613.3,285.5
111,Neustadt an der Aisch-Bad Windsheim,122.2,387.4,180.4
112,Neustadt an der Waldnaab,113.1,358.8,167
113,Oberallgäu,207.1,656.8,305.8
114,Ostallgäu,167.7,531.8,247.6
115,Passau,231.3,733.4,341.5
116,Passau,70.6,223.8,104.2
117,Pfaffenhofen an der Ilm,155,491.4,228.8
118,Regen,86.2,273.4,127.3
119,Regensburg,252.5,800.6,372.7
120,Regensburg,201.4,638.6,297.3
121,Rhön-Grabfeld,95.6,303.1,141.1
122,Rosenheim,343.5,1089.1,507.1
123,Rosenheim,86.8,275.3,128.2
124,Roth,168.7,534.9,249
125,Rottal-Inn,131.1,415.8,193.6
126,Schwabach,51.7,164,76.4
127,Schwandorf,166.1,526.7,245.2
128,Schweinfurt,137.3,435.4,202.7
129,Schweinfurt,61.6,195.3,90.9
130,Starnberg,201.9,640.3,298.1
131,Straubing-Bogen,113.8,360.9,168
132,Straubing,28.7,91,42.4
133,Tirschenreuth,77.5,245.6,114.4
134,Traunstein,211.9,671.8,312.8
135,Unterallgäu,156.5,496.1,231
136,Würzburg,203,643.7,299.7
137,Würzburg,242.6,769.2,358.2
138,Weißenburg-Gunzenhausen,109.5,347.3,161.7
139,Weiden in der Oberpfalz,55.7,176.7,82.3
140,Weilheim-Schongau,166.4,527.8,245.7
141,Wunsiedel im Fichtelgebirge,81.6,258.7,120.4
142,Berlin,5172.4,16401.2,7636.4
143,Barnim,263.9,836.7,389.6
144,Brandenburg an der Havel,94.3,298.9,139.2
145,Cottbus,151,478.7,222.9
146,Dahme-Spreewald,232.2,736.4,342.9
147,Elbe-Elster,126.5,401.1,186.8
148,Frankfurt (Oder),84.2,266.9,124.2
149,Havelland,218.5,693,322.7
150,Märkisch-Oderland,280.1,888.2,413.5
151,Oberhavel,295.5,937,436.2
152,Oberspreewald-Lausitz,141.9,449.9,209.5
153,Oder-Spree,247.5,784.9,365.5
154,Ostprignitz-Ruppin,131.1,415.8,193.6
155,Potsdam-Mittelmark,276.3,876.1,407.9
156,Potsdam,324,1027.4,478.4
157,Prignitz,98.1,311.2,144.9
158,Spree-Neiße,160.5,509,237
159,Teltow-Fläming,228.1,723.2,336.7
160,Uckermark,149.7,474.8,221
161,Bremen,807.8,2561.4,1192.6
162,Bremerhaven,135.9,431,200.7
163,Hamburg,2856.3,9056.9,4216.9
164,Bergstraße,358.6,1137.2,529.5
165,Darmstadt-Dieburg,228,722.9,336.6
166,Darmstadt,417,1322.2,615.6
167,Frankfurt am Main,1197,3795.5,1767.2
168,Fulda,288.2,913.9,425.5
169,Gießen,376.3,1193.3,555.6
170,Groß-Gerau,375,1189,553.6
171,Hersfeld-Rotenburg,150.6,477.6,222.4
172,Hochtaunuskreis,362.3,1148.8,534.9
173,Kassel,276.4,876.5,408.1
174,Kassel,318.5,1009.9,470.2
175,Lahn-Dill-Kreis,307.8,975.9,454.4
176,Limburg-Weilburg,234.5,743.5,346.2
177,Main-Kinzig-Kreis,571.3,1811.4,843.4
178,Main-Taunus-Kreis,152.2,482.7,224.7
179,Marburg-Biedenkopf,322.2,1021.8,475.7
180,Odenwaldkreis,118.6,376.1,175.1
181,Offenbach am Main,168.1,533.1,248.2
182,Offenbach,512,1623.5,755.9
183,Rheingau-Taunus-Kreis,281.3,892,415.3
184,Schwalm-Eder-Kreis,228.3,723.9,337.1
185,Vogelsbergkreis,135.4,429.3,199.9
186,Waldeck-Frankenberg,197.3,625.5,291.2
187,Werra-Meißner-Kreis,127.4,404.1,188.1
188,Wetteraukreis,440.8,1397.8,650.8
189,Wiesbaden,417.7,1324.4,616.7
190,Ludwigslust-Parchim,279.9,887.5,413.2
191,Mecklenburgische Seenplatte,366.5,1161.9,540.9
192,Nordwestmecklenburg,204.9,649.7,302.5
193,Rostock,300.7,953.6,444
194,Rostock,295.1,935.7,435.7
195,Schwerin,138.4,438.8,204.3
196,Vorpommern-Greifswald,312.4,990.4,461.2
197,Vorpommern-Rügen,349.1,1107,515.4
198,Ammerland,160.2,508,236.5
199,Aurich,224.8,712.9,331.9
200,Braunschweig,338.9,1074.6,500.4
201,Celle,237.2,752.1,350.2
202,Cloppenburg,172.9,548.2,255.2
203,Cuxhaven,265.6,842.2,392.1
204,Delmenhorst,0,0,0
205,Diepholz,281.7,893.2,415.9
206,Emden,60.2,190.9,88.9
207,Emsland,377.5,1196.9,557.3
208,Friesland,133.9,424.7,197.7
209,Göttingen,363.1,1151.4,536.1
210,Gifhorn,191.4,606.8,282.5
211,Goslar,174.8,554.3,258.1
212,Grafschaft Bentheim,166.8,529,246.3
213,Hameln-Pyrmont,192.9,611.5,284.7
214,Harburg,358.6,1137,529.4
215,Heidekreis,187.2,593.5,276.3
216,Helmstedt,100.9,319.9,148.9
217,Hildesheim,355.2,1126.4,524.4
218,Holzminden,76.9,244,113.6
219,Lüchow-Dannenberg,52.4,166,77.3
220,Lüneburg,256.5,813.4,378.7
221,Leer,198.8,630.4,293.5
222,Nienburg (Weser),146.1,463.3,215.7
223,Northeim,164.1,520.3,242.3
224,Oldenburg,344.7,1093,508.9
225,Oldenburg,174.9,554.7,258.3
226,Osnabrück,237.8,754.2,351.1
227,Osnabrück,451.4,1431.4,666.5
228,Osterholz,156.3,495.6,230.8
229,Osterode am Harz,84.3,267.2,124.4
230,Peine,160.7,509.6,237.3
231,Region Hannover,1687.5,5350.9,2491.4
232,Rotenburg (Wümme),229.3,727.1,338.6
233,Salzgitter,246,780,363.2
234,Schaumburg,201.1,637.6,296.9
235,Stade,260.5,826.1,384.6
236,Uelzen,119.1,377.5,175.8
237,Vechta,156.5,496.3,231.1
238,Verden,177.6,563.1,262.2
239,Wesermarsch,105.5,334.6,155.8
240,Wilhelmshaven,101,320.2,149.1
241,Wittmund,72,228.3,106.3
242,Wolfenbüttel,152.8,484.4,225.5
243,Wolfsburg,123.2,390.6,181.8
244,Bielefeld,439.8,1394.6,649.3
245,Bochum,497.8,1578.3,734.9
246,Bonn,528.9,1677.1,780.9
247,Borken,446.7,1416.6,659.6
248,Bottrop,146.7,465,216.5
249,Coesfeld,307.8,976,454.4
250,Düren,334.2,1059.7,493.4
251,Düsseldorf,948.2,3006.8,1400
252,Dortmund,788.4,2499.9,1163.9
253,Duisburg,596.5,1891.5,880.7
254,Ennepe-Ruhr-Kreis,422.6,1340.1,623.9
255,Essen,803.3,2547.1,1185.9
256,Euskirchen,257.2,815.6,379.8
257,Gütersloh,421.3,1336,622.1
258,Gelsenkirchen,286.5,908.4,422.9
259,Höxter,174.6,553.5,257.7
260,Hagen,223.9,710.1,330.6
261,Hamm,216.8,687.4,320.1
262,Heinsberg,324.4,1028.8,479
263,Herford,304.8,966.5,450
264,Herne,181.3,574.9,267.7
265,Hochsauerlandkreis,310.3,983.8,458.1
266,Köln,1627.5,5160.7,2402.8
267,Kleve,408.3,1294.5,602.7
268,Krefeld,298.9,947.9,441.3
269,Leverkusen,202.9,643.5,299.6
270,Lippe,434.3,1377.1,641.2
271,Märkischer Kreis,439.3,1392.9,648.5
272,Mönchengladbach,335,1062.2,494.6
273,Mülheim an der Ruhr,229.7,728.2,339.1
274,Münster,515.3,1634.1,760.8
275,Mettmann,663.5,2103.9,979.6
276,Minden-Lübbecke,373.4,1184,551.3
277,Oberbergischer Kreis,320.6,1016.7,473.4
278,Oberhausen,257.7,817.2,380.5
279,Olpe,143.4,454.8,211.8
280,Paderborn,389.8,1235.9,575.5
281,Recklinghausen,783.9,2485.5,1157.3
282,Remscheid,121,383.6,178.6
283,Rhein-Erft-Kreis,641.7,2034.7,947.4
284,Rhein-Kreis Neuss,629.5,1996.1,929.4
285,Rhein-Sieg-Kreis,866.4,2747.3,1279.1
286,Rheinisch-Bergischer Kreis,397.5,1260.4,586.8
287,Siegen-Wittgenstein,330.4,1047.6,487.8
288,Soest,368,1167,543.4
289,Solingen,190.4,603.8,281.1
290,Städteregion Aachen,758,2403.6,1119.2
291,Steinfurt,584.7,1854.1,863.3
