ID_1,NAME_1,Offices,Trade,Hotels
1,Bacs-Kiskun,1562.8,2051.4,453.1
3,Baranya,1115.9,1464.8,323.5
2,Bekes,1024.2,1344.3,296.9
4,Borsod-Abauj-Zemplen,1822.5,2392.2,528.4
5,Budapest,6113.5,8024.5,1772.5
6,Csongrad,1293.4,1697.7,375
7,Fejer,1396.1,1832.5,404.8
8,Gyor-Moson-Sopron,1559.2,2046.6,452.1
9,Hajdu-Bihar,1557.6,2044.5,451.6
10,Heves,898.9,1179.9,260.6
11,Jasz-Nagykun-Szolnok,1117.2,1466.5,323.9
12,Komarom-Esztergom,1030.5,1352.6,298.8
13,Nograd,551.2,723.4,159.8
14,Pest,3932.6,5161.8,1140.2
15,Somogy,894.1,1173.5,259.2
16,Szabolcs-Szatmar-Bereg,1483.1,1946.7,430
17,Tolna,686.2,900.7,199
18,Vas,880.4,1155.6,255.3
19,Veszprem,1153.3,1513.9,334.4
20,Zala,927.3,1217.1,268.9
