ID_1,NAME_1,Offices,Trade,Hotels
1,Savnik,0,5.95,0.9
2,Zabljak,7.65,29.75,25.2
3,Andrijevica,0,23.8,3.6
4,Bar,187,704.65,208.8
5,Berane,14.45,219.3,27
6,Bijelo Polje,54.4,386.75,76.5
7,Budva,204.85,569.5,405
8,Cetinje,39.95,244.8,25.2
9,Danilovgrad,10.2,112.2,15.3
10,Herceg Novi,147.05,507.45,270.9
11,Kolasin,9.35,40.8,31.5
12,Kotor,78.2,291.55,98.1
13,Mojkovac,3.4,45.9,9
14,Niksic,84.15,727.6,81
15,Plav,4.25,44.2,10.8
16,Pljevlja,35.7,194.65,44.1
17,Pluzine,2.55,8.5,5.4
18,Podgorica,712.3,2745.5,443.7
19,Rozaje,8.5,115.6,27
20,Tivat,52.7,192.1,59.4
21,Ulcinj,52.7,337.45,148.5
