ID_1,NAME_1,Offices,Trade,Hotels
1,Shtip,209,567,71
2,Shuto Orizari,18,138,6
3,Zhelino,5,76,13
4,Aerodrom,762,1167,122
5,Chashka,3,26,2
6,Chair,239,802,82
7,Cheshinovo - Obleshevo,5,58,7
8,Chucher - Sandevo,6,35,4
9,Arachinovo,2,35,1
10,Berovo,38,138,33
11,Bitola,427,1346,167
12,Bogdanci,14,114,28
13,Bogovinje,13,118,31
14,Bosilovo,2,101,5
15,Brvenica,4,90,13
16,Butel,156,491,31
17,Centar Zhupa,2,18,5
18,Centar,2110,1593,329
19,Debarca,8,39,4
20,Debar,31,162,35
21,Delchevo,45,148,23
22,Demir Hisar,13,78,12
23,Demir Kapija,4,38,10
24,Dolneni,6,48,3
25,Drugovo,4,23,1
26,Gazi Baba,327,981,82
27,Gevgelija,114,329,72
28,Gjorche Petrov,223,519,53
29,Gostivar,161,785,138
30,Gradsko,1,25,4
31,Ilinden,27,150,13
32,Jegunovce,10,57,10
33,Karbinci,1,15,0
34,Karposh,861,1128,142
35,Kavadarci,146,633,66
36,Kichevo,122,459,78
37,Kisela Voda,438,855,85
38,Kochani,139,509,50
39,Konche,5,24,1
40,Kratovo,19,82,21
41,Kriva Palanka,51,196,42
42,Krivogashtani,5,49,4
43,Krushevo,17,82,17
44,Kumanovo,288,1133,111
45,Lake Ohrid,0,0,0
46,Lipkovo,10,56,6
47,Lozovo,2,15,2
48,Makedonska Kamenica,12,64,14
49,Makedonski Brod,16,55,14
50,Mavrovo i Rostusha,7,36,13
51,Mogila,2,30,3
52,Negotino,50,250,30
53,Novatsi,2,18,3
54,Novo Selo,7,90,13
55,Ohrid,337,957,196
56,Oslomej,2,23,7
57,Pehchevo,16,42,8
58,Petrovets,7,53,5
59,Plasnica,4,15,1
60,Prilep,244,1047,89
61,Probishtip,32,166,25
62,Radovish,85,338,23
63,Rankovce,4,12,1
64,Resen,40,182,32
65,Rosoman,2,29,5
66,Saraj,14,140,17
67,Sopishte,6,26,5
68,Dojran,6,29,21
69,Staro Nagorichane,2,6,0
70,Struga,184,731,155
71,Strumica,217,989,92
72,Studenichani,3,67,4
73,Sveti Nikole,50,155,18
74,Tearce,6,77,18
75,Tetovo,262,1045,178
76,Valandovo,15,124,8
77,Vasilevo,5,63,4
78,Veles,166,645,58
79,Vevchani,7,22,4
80,Vinica,42,170,24
81,Vraneshtica,0,3,0
82,Vrapchishte,14,112,19
83,Zajas,3,34,6
84,Zelenikovo,6,26,2
85,Zrnovci,4,16,3
