ID_1,NAME_1,Offices,Trade,Hotels
NOR.2_1,Astfold,2729,2183.2,737
NOR.1_1,Akershus,4956,3964.8,531
NOR.3_1,Aust-Agder,1380,1104,1102
NOR.4_1,Buskerud,2669,2135.2,2806
NOR.5_1,Finnmark,1418,1134.4,1077
NOR.6_1,Hedmark,2485,1988,1984
NOR.7_1,Hordaland,3998,3198.4,2240
NOR.8_1,More og Romsdal,2701,2160.8,2147
NOR.9_1,Nord-Trondelag,1724,1379.2,1359
NOR.10_1,Nordland,3404,2723.2,2433
NOR.11_1,Oppland,2329,1863.2,4061
NOR.12_1,Oslo,3498,2798.4,307
NOR.13_1,Rogaland,4617,3693.6,1208
NOR.15_1,Sor-Trondelag,2511,2008.8,1658
NOR.14_1,Sogn og Fjordane,1448,1158.4,2336
NOR.16_1,Telemark,2248,1798.4,2109
NOR.17_1,Troms,1865,1492,1139
NOR.18_1,Vest-Agder,1983,1586.4,802
NOR.19_1,Vestfold,2195,1756,917
