ID_1,NAME_1,Offices,Trade,Hotels
1,Lodz,12480.96,25313.28,4480.3
2,Swietokrzyskie,5983.98,17626.7,1928.65
3,Greater Poland,4420.1,15083.32,1593.66
4,Kuyavian-Pomeranian,2851.99,8282.52,1068.6
5,Lesser Poland,8121.72,22662.34,2384.08
6,Lower Silesian,12223.08,30957.95,5784.88
7,Lublin,34674.53,65693.3,8772.1
8,Lubusz,2342.19,6843.55,898.56
9,Masovian,4733.95,15396.74,1784.28
10,Opole,2535.8,8784.29,994.74
11,Podlachian,8923.53,20266.84,3711.17
12,Pomeranian,16426.71,42500.9,5307.12
13,Silesian,2658.08,9243.92,1030.09
14,Subcarpathian,3287.1,9465.59,1500.64
15,Warmian-Masurian,12145.56,38360.78,3909.69
16,West Pomeranian,4720.7,13307.97,3451.45
