ID_1,NAME_1,Offices,Trade,Hotels
1,Alba,282.97,1513.38,411.24
2,Arad,419.42,2239.31,702.98
3,Arges,575.98,3324.34,795.23
4,Bacau,502.11,3103.82,731.39
5,Bihor,551.83,3440.75,1059.92
6,Bistrita-nasaud,197.47,1228.61,363.36
7,Botosani,215.73,1446.32,407.54
8,Brasov,778.42,3504.66,1483.22
9,Braila,294.92,1718.04,356.16
10,Bucharest,7083.3,21858,6240.4
11,Buzau,348.05,2140.84,488.89
12,Calarasi,298.89,1390.12,269.94
13,Caras-severin,215.92,1194.7,437.9
14,Cluj,1148.39,4911.96,1494.71
15,Constanta,966.09,4632.41,1867.8
16,Covasna,177.7,1048.63,364.72
17,Dambovita,516.18,2185.83,741.9
18,Dolj,562.84,3502.92,593.21
19,Galati,502.23,3078.71,671.26
20,Giurgiu,308.74,1172.97,178.27
21,Gorj,293.45,1772.6,339.23
22,Harghita,243.56,1831.83,534.63
23,Hunedoara,429.14,2262.02,619.68
24,Iasi,774.69,3710.95,1111.49
25,Ialomita,257.2,1321.65,240.36
26,Ilfov,807.75,3625.3,923.1
27,Maramures,406.19,2128.55,728.28
28,Mehedinti,191.84,1142.1,290.18
29,Mures,525.75,2849.38,839.02
30,Neamt,341.86,2122.47,631.94
31,Olt,261.98,1396.1,249.12
32,Prahova,835.9,4358.62,1246.95
33,Salaj,158.5,984.83,258.46
34,Satu Mare,227.9,1778.58,526.46
35,Sibiu,435.46,2108.12,829.48
36,Suceava,356.37,2989.04,874.83
37,Teleorman,319.69,1467.95,229.07
38,Timis,991.83,3760.95,1148.47
39,Tulcea,177.23,980.59,346.82
40,Valcea,297.95,1935.63,619.1
41,Vaslui,216.45,1396.43,292.13
42,Vrancea,192.15,1400.02,291.16
