ID_2,NAME_2,Offices,Trade,Hotels
1,Zilina,947.2,1128.1,282.2
2,Bytca,76.4,91,22.7
3,Cadca,214.4,255.3,63.9
4,Dolny Kubin,155.9,185.7,46.4
5,Kysucke Nove Mesto,159.1,189.5,47.4
6,Liptovsky Mikulas,307,365.6,91.4
7,Martin,403.3,480.4,120.2
8,Namestovo,115.9,138,34.5
9,RuZomberok,175.4,208.9,52.3
10,Turcianske Teplice,43.6,52,13
11,Tvrdosin,99.7,118.8,29.7
12,Zarnovica,89.5,106.6,26.7
13,Ziar nad Hronom,187.9,223.8,56
14,Banska stiavnica,39.5,47.1,11.8
15,Banska Bystrica,726.5,865.3,216.4
16,Brezno,173.7,206.9,51.7
17,Detva,78.5,93.5,23.4
18,Krupina,67.6,80.5,20.1
19,Lucenec,208.7,248.6,62.2
20,Poltar,35.4,42.1,10.5
21,Revúca,87.4,104.1,26
22,Rimavska Sobota,187.7,223.5,55.9
23,Velky Krtis,101.8,121.3,30.3
24,Zvolen,351.6,418.8,104.8
25,Bratislava III,988.8,1177.8,294.6
26,Bratislava II,1723,2052.2,513.3
27,Bratislava I,1412,1681.8,420.6
28,Bratislava IV,575.7,685.7,171.5
29,Bratislava V,510.2,607.7,152
30,Malacky,315.6,375.8,94
31,Pezinok,213.4,254.2,63.6
32,Senec,226.9,270.2,67.6
33,Gelnica,55.2,65.8,16.5
34,Kosice-okolie,234.7,279.6,69.9
35,Kosice III,22.1,26.3,6.6
36,Kosice II,456.9,544.2,136.1
37,Kosice I,586.9,699.1,174.8
38,Kosice IV,334.3,398.1,99.6
39,Michalovce,311.9,371.5,92.9
40,RoZnava,163.4,194.7,48.7
41,Sobrance,51,60.8,15.2
42,Spisska Nova Ves,278.4,331.6,82.9
43,Trebisov,231.3,275.5,68.9
44,sala,147.9,176.1,44
45,Komarno,338.7,403.4,100.9
46,Levice,436.8,520.2,130.1
47,Nitra,815,970.7,242.8
48,Nove Zamky,432.6,515.3,128.9
49,Topolcany,290.6,346.1,86.6
50,Zlate Moravce,133.9,159.4,39.9
51,Bardejov,212.8,253.5,63.4
52,Humenne,198.5,236.4,59.1
53,KeZmarok,172.7,205.7,51.4
54,Levoca,71.3,84.9,21.2
55,Medzilaborce,23.7,28.2,7.1
56,Poprad,519,618.2,154.6
57,Presov,639.7,761.9,190.6
58,Sabinov,83.2,99.1,24.8
59,Snina,71.6,85.3,21.3
60,Stara Lubovna,116.1,138.3,34.6
61,Stropkov,45.8,54.6,13.6
62,Svidnik,94.2,112.2,28.1
63,Vranov nad Toplou,211.5,252,63
64,Banovce nad Bebravou,179.2,213.5,53.4
65,Ilava,264.3,314.7,78.7
66,Myjava,101.7,121.2,30.3
67,Nove Mesto nad Vahom,321.2,382.6,95.7
68,Púchov,252.2,300.4,75.1
69,Partizanske,139.2,165.8,41.5
70,PovaZska Bystrica,235.3,280.3,70.1
71,Prievidza,506.2,602.9,150.8
72,Trencin,556.6,663,165.8
73,Dunajska Streda,352.7,420.1,105.1
74,Galanta,323.4,385.1,96.3
75,Hlohovec,203.5,242.4,60.6
76,Piestany,257,306.1,76.6
77,Senica,166.5,198.3,49.6
78,Skalica,223.8,266.5,66.7
79,Trnava,652.6,777.3,194.4
