ID_2,NAME_2,Offices,Trade,Hotels
311,Sencur,28.01,40.33,16.62
312,Skofja Loka,99.96,143.9,59.32
313,Zelezniki,29.87,42.99,17.72
314,Ziri,24.36,35.07,14.45
315,Zirovnica,7.67,11.04,4.55
316,Bled,18.08,26.03,10.73
3220,Gorje,18.08,26.03,10.73
317,Bohinj,14.98,21.56,8.89
318,Cerklje na Gorenjskem,37.05,53.34,21.99
3110,Gorenja vas - Poljane,18.39,26.47,10.91
3111,Jesenice,72.5,104.37,43.02
3112,Jezersko,1.26,1.81,0.75
3113,Kranj,257.87,371.22,153.02
3114,Kranjska Gora,16.54,23.82,9.82
3115,Naklo,24.72,35.59,14.67
3116,Preddvor,8.04,11.57,4.77
3117,Radovljica,71.96,103.59,42.7
3118,Trzic,34.47,49.62,20.45
3221,Sempeter - Vrtojba,52.57,75.68,31.2
3222,Ajdovscina,65.24,93.92,38.71
3223,Bovec,12.22,17.59,7.25
3224,Brda,11.72,16.87,6.96
3225,Cerkno,17.14,24.68,10.17
3226,Idrija,65.81,94.74,39.05
3227,Kanal,12.56,18.08,7.45
3228,Kobarid,9.75,14.03,5.78
3229,Miren - Kostanjevica,11.59,16.68,6.88
3230,Nova Gorica,121.57,175.01,72.14
3334,Rence - Vogrsko,52.1,75,30.92
3231,Tolmin,44.77,64.44,26.56
3333,Vipava,16.5,23.75,9.79
3335,Sentjernej,31.03,44.66,18.41
3336,Skocjan,5.67,8.17,3.37
3337,Zuzemberk,10.67,15.36,6.33
3338,Crnomelj,43.07,62,25.56
3339,Dolenjske Toplice,7.49,10.79,4.45
3340,Kocevje,46.81,67.38,27.78
3341,Kostel,1.61,2.32,0.96
3342,Loski Potok,2.86,4.12,1.7
3343,Metlika,31.03,44.66,18.41
3344,Mirna Pec,13.28,19.11,7.88
3345,Novo mesto,192.12,276.57,114.01
3457,Smarjeske Toplice,27.45,39.51,16.29
3458,Straza,27.45,39.51,16.29
3346,Osilnica,0.34,0.49,0.2
3347,Ribnica,37.24,53.61,22.1
3348,Semic,15.09,21.72,8.95
3453,Sodrazica,4.45,6.4,2.64
3454,Trebnje,21.91,31.54,13
3455,Mokronog - Trebelno,21.91,31.54,13
