ID_1,NAME_1,Offices,Trade,Hotels
ESP.1_1,Andalucia,20673.42,44124.77,16448.77
ESP.2_1,Aragon,4092.91,8735.8,3256.52
ESP.3_1,Cantabria,1721.32,3673.93,1369.56
ESP.4_1,Castilla-La Mancha,5609.97,11973.76,4463.56
ESP.5_1,Castilla y Leon,6980.14,14898.21,5553.73
ESP.6_1,Cataluna,24164.25,51575.5,19226.25
ESP.7_1,Ceuta y Melilla,398.58,850.72,317.13
ESP.8_1,Comunidad de Madrid,21501.94,45893.15,17107.99
ESP.9_1,Comunidad Foral de Navarra,2017.39,4305.85,1605.13
ESP.10_1,Comunidad Valenciana,14401.7,30738.58,11458.69
ESP.11_1,Extremadura,2525.37,5390.07,2009.3
ESP.12_1,Galicia,7646.48,16320.43,6083.91
ESP.13_1,Islas Baleares,3477.06,7421.35,2766.52
ESP.14_1,Islas Canarias,6256.42,13353.53,4977.91
ESP.15_1,La Rioja,994.54,2122.72,791.3
ESP.16_1,Pais Vasco,6691.72,14282.62,5324.26
ESP.17_1,Principado de Asturias,2834.44,6049.74,2255.22
ESP.18_1,Region de Murcia,4052.37,8649.26,3224.26
