ID_2,NAME_2,Offices,Trade,Hotels
1,Odeshog,71.83,33.49,6.01
2,Atvidaberg,148.48,69.23,12.42
3,Boxholm,74.08,34.54,6.2
4,Finspang,379.57,176.97,31.74
5,Kinda,142.2,66.3,11.89
6,Linkoping,2757.92,1285.82,230.64
7,Mjolby,409.06,190.72,34.21
8,Motala,703.18,327.84,58.81
9,Norrkoping,2232.88,1041.04,186.73
10,Soderkoping,162.84,75.92,13.62
11,Vadstena,120.01,55.95,10.04
12,Valdemarsvik,123.27,57.47,10.31
13,Ydre,50.17,23.39,4.2
14,Karlshamn,511.9,238.66,42.81
15,Karlskrona,1125.82,524.89,94.15
16,Olofstrom,301.09,140.38,25.18
17,Ronneby,493.01,229.86,41.23
18,Solvesborg,262.62,122.44,21.96
19,Alvdalen,120.99,56.41,10.12
20,Avesta,412.9,192.51,34.53
21,Borlange,975.63,454.87,81.59
22,Falun,1079.28,503.19,90.26
23,Gagnef,118.3,55.15,9.89
24,Hedemora,261.8,122.06,21.89
25,Leksand,245.32,114.38,20.52
26,Ludvika,482.57,224.99,40.36
27,Malung,206.98,96.5,17.31
28,Mora,423.83,197.6,35.44
29,Orsa,83.26,38.82,6.96
30,Rattvik,151.01,70.41,12.63
31,Sater,128.78,60.04,10.77
32,Smedjebacken,145.75,67.95,12.19
33,Vansbro,127.88,59.62,10.69
34,Bollnas,439.54,204.92,36.76
35,Gavle,1736.28,809.51,145.2
36,Hofors,183.65,85.62,15.36
37,Hudiksvall,648.92,302.55,54.27
38,Ljusdal,329.8,153.76,27.58
39,Nordanstig,128.5,59.91,10.75
40,Ockelbo,74.45,34.71,6.23
41,Ovanaker,205.67,95.89,17.2
42,Soderhamn,430.07,200.51,35.97
43,Sandviken,687.35,320.46,57.48
44,Gotland,1017.19,474.25,85.07
45,Falkenberg,677.8,316.01,56.68
46,Halmstad,1644.58,766.75,137.53
47,Hylte,192.91,89.94,16.13
48,Kungsbacka,826.49,385.33,69.12
49,Laholm,340.82,158.9,28.5
50,Varberg,957.88,446.59,80.11
51,Ostersund,1255.05,585.14,104.96
52,Are,166.15,77.46,13.89
53,Berg,112.75,52.57,9.43
54,Bracke,100.35,46.79,8.39
55,Harjedalen,191.56,89.31,16.02
56,Krokom,179.4,83.64,15
57,Ragunda,96.31,44.9,8.05
58,Stromsund,199.15,92.85,16.65
59,Aneby,100.02,46.63,8.36
60,Eksjo,361.83,168.69,30.26
61,Gislaved,623.59,290.74,52.15
62,Gnosjo,243.61,113.58,20.37
63,Jonkoping,2428.19,1132.1,203.07
64,Nassjo,527.08,245.74,44.08
65,Savsjo,173.37,80.83,14.5
66,Tranas,332.99,155.25,27.85
67,Varnamo,680.58,317.31,56.92
68,Vaggeryd,221.38,103.21,18.51
69,Vetlanda,493.5,230.09,41.27
70,Borgholm,162.56,75.79,13.59
71,Emmaboda,195.68,91.23,16.36
72,Hogsby,77.14,35.96,6.45
73,Hultsfred,237.61,110.78,19.87
74,Kalmar,1187.54,553.67,99.31
75,Monsteras,203.47,94.86,17.02
76,Morbylanga,172.02,80.2,14.39
77,Nybro,351.67,163.96,29.41
78,Oskarshamn,567.05,264.38,47.42
79,Torsas,118.75,55.36,9.93
80,Vastervik,625.43,291.59,52.3
81,Vimmerby,292.93,136.57,24.5
82,Almhult,344.29,160.52,28.79
83,Alvesta,314.3,146.54,26.28
84,Lessebo,126.17,58.82,10.55
85,Ljungby,531.56,247.83,44.45
86,Markaryd,192.78,89.88,16.12
87,Tingsryd,212.49,99.07,17.77
88,Uppvidinge,190.58,88.85,15.94
89,Vaxjo,1581.76,737.46,132.28
90,Overkalix,61.03,28.45,5.1
91,Overtornea,64.45,30.05,5.39
92,Alvsbyn,138.86,64.74,11.61
93,Arjeplog,56.42,26.3,4.72
94,Arvidsjaur,112.22,52.32,9.38
95,Boden,437.58,204.01,36.59
96,Gallivare,334.17,155.8,27.95
97,Haparanda,125.52,58.52,10.5
98,Jokkmokk,89.87,41.9,7.52
99,Kalix,285.5,133.11,23.88
100,Kiruna,428.6,199.83,35.84
101,Lulea,1508.78,703.44,126.18
102,Pajala,87.99,41.02,7.36
103,Pitea,671.64,313.14,56.17
104,Orebro,2600.79,1212.57,217.5
105,Askersund,151.05,70.43,12.63
106,Degerfors,139.31,64.95,11.65
107,Hallefors,119.4,55.67,9.99
108,Hallsberg,300.76,140.22,25.15
109,Karlskoga,617.76,288.02,51.66
110,Kumla,303.98,141.73,25.42
111,Laxa,120.91,56.37,10.11
112,Lindesberg,398.7,185.89,33.34
113,Ljusnarsberg,74.61,34.78,6.24
114,Nora,135.31,63.08,11.32
115,Eskilstuna,1578.33,735.87,131.99
116,Flen,249.57,116.36,20.87
117,Gnesta,114.54,53.4,9.58
118,Katrineholm,539.27,251.43,45.1
119,Nykoping,856.64,399.39,71.64
120,Oxelosund,212.32,98.99,17.76
121,Strangnas,448.02,208.88,37.47
122,Trosa,143.63,66.96,12.01
123,Vingaker,130.74,60.95,10.93
124,Orkelljunga,151.62,70.69,12.68
125,Ostra Goinge,206.33,96.2,17.25
126,Angelholm,594.63,277.23,49.73
127,Astorp,215.55,100.49,18.03
128,Bastad,231.9,108.12,19.39
129,Bjuv,212.81,99.22,17.8
130,Bromolla,197.88,92.26,16.55
131,Burlov,295.29,137.68,24.7
132,Eslov,441.98,206.07,36.96
133,Hassleholm,835.99,389.77,69.91
134,Hoor,171.33,79.88,14.33
135,Hoganas,285.34,133.03,23.86
136,Horby,184.42,85.98,15.42
137,Helsingborg,2329.93,1086.28,194.85
138,Kavlinge,307.16,143.21,25.69
139,Klippan,239.86,111.83,20.06
140,Kristianstad,1408.8,656.82,117.82
141,Landskrona,590.83,275.46,49.41
142,Lomma,181.48,84.61,15.18
143,Lund,2341.02,1091.46,195.78
144,Malmo,5385.83,2511.04,450.41
145,Osby,188.83,88.04,15.79
146,Perstorp,147.83,68.92,12.36
147,Simrishamn,303.41,141.46,25.37
148,Sjobo,221.58,103.31,18.53
149,Skurup,159.46,74.34,13.34
150,Staffanstorp,199.68,93.1,16.7
151,Svalov,150.6,70.22,12.59
152,Svedala,251.61,117.31,21.04
153,Tomelilla,187.2,87.28,15.65
154,Trelleborg,543.68,253.48,45.47
155,Vellinge,287.87,134.21,24.07
156,Ystad,454.02,211.68,37.97
157,Osteraker,347.1,161.83,29.03
158,Botkyrka,802.34,374.08,67.1
