id,Region,industrial
15,Douglas,294.3895923854334
4,Ramsey,85.54603668050987
10,Peel,58.60094341887318
20,Castletown,35.06896800057614
22,Port Erin,37.99138200062414
23,Port St. Mary,20.893079194373094
5,Laxey,18.275992030150995
17,Onchan,99.53654847924719
1,Andreas,15.233628201742807
19,Arbory,20.140666634659244
11,Ballaugh,11.253474806155028
14,Braddan,39.48530259020093
2,Bride,4.165530403053509
8,German,10.533775835993952
12,Jurby,8.461915164318121
3,Lezayre,13.914180089780826
6,Lonan,17.218252634611233
21,Malew,23.630116186955377
16,Marown,24.49157404517848
7,Maughold,10.740961903161534
13,Michael,17.349106992822332
9,Patrick,17.185539045058455
24,Rushen,16.760262380872362
18,Santon,7.63317089564779
