id,Region,industrial
2,Decan,126.4039343213562
1,Gjakove,326.49056402601553
16,Gllogoc,277.07234246721396
4,Gjilan,390.51828553150654
23,Dragash,186.62048192771084
13,Istog,130.85030387034865
29,Kacanik,155.1147776948502
14,Klin,80.41576927177738
17,Fushe Kosova,132.75589081991683
5,Kamenice,119.92493869282438
7,Mitrovice,254.33233820236697
8,Leposaviq,0.0
18,Lipjan,236.54686000639725
19,Novoberde,26.297099904040945
20,Obiliq,48.02079112911824
3,Rahovec,259.92205992110036
15,Peje,364.8563812773217
21,Podujeve,268.30664249920034
22,Prishtine,701.383036571063
25,Prizren,1279.5381170700502
9,Skenderaj,116.24080392365923
27,Shtime,99.47163876745921
28,Shterpce,14.355421686746986
26,Suhareke,326.6176031559867
30,Ferizaj,541.9489284571915
6,Viti,225.62149482887298
10,Vushtrri,157.52852116430324
11,Zubin Potok,0.0
12,Zveqan,0.0
24,Malisheve,160.57746028361234
31,Junik,9.782013007783346
32,Mamushe,25.661904254184883
33,Hani i Elezit,52.46716067811067
34,Gracanice,42.81218680029854
35,Ranillug,3.3030173792515196
36,Partesh,1.6515086896257598
37,Kllokot,5.58972171873334
