TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR+PC/LWAL+CDM/H:1,63.6,63.6
CR+PC/LWAL+CDM/H:2,60,60
CR+PC/LWAL+CDM/HBET:3-5,57,57
CR+PC/LWAL+CDM/HBET:6-,50,50
CR/LFINF+CDM/H:1,63.6,63.6
CR/LFINF+CDM/H:2,60,60
CR/LFINF+CDM/HBET:3-5,57,57
MCF/LWAL+CDL/H:1,63.6,63.6
MCF/LWAL+CDL/H:2,60,60
MUR/LWAL+CDN/H:1,63.6,63.6
MUR/LWAL+CDN/H:2,60,60
MUR/LWAL+CDN/HBET:3-5,57,57
W/LWAL+CDL/H:1,63.6,63.6
W/LWAL+CDL/H:2,60,60
CR/LDUAL+CDL/HBET:6-,50,50
CR/LDUAL+CDM/HBET:6-,50,50
CR/LDUAL+CDM/HBET:6-/SOS,50,50
CR/LFINF+CDL/HBET:3-5,57,57
CR/LFINF+CDM/HBET:3-5/SOS,57,57
MCF/LWAL+CDL/HBET:3-5,57,57
