TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR+PC/LWAL+CDH/HBET:3-5,91,91
CR+PC/LWAL+CDL/HBET:3-5,91,91
CR+PC/LWAL+CDM/HBET:3-5,91,91
CR+PC/LWAL+CDN/HBET:3-5,91,91
CR/LFINF+CDL/HBET:3-5,91,91
CR/LFINF+CDM/H:2,95,95
CR/LFINF+CDM/HBET:3-5,91,91
CR/LFINF+CDN/HBET:3-5,91,91
CR/LWAL+CDH/HBET:3-5,91,91
CR/LWAL+CDL/H:1,135,135
CR/LWAL+CDL/H:2,95,95
CR/LWAL+CDL/HBET:3-5,91,91
CR/LWAL+CDM/H:1,135,135
CR/LWAL+CDM/H:2,95,95
CR/LWAL+CDM/HBET:3-5,91,91
CR/LWAL+CDN/H:1,135,135
CR/LWAL+CDN/H:2,95,95
CR/LWAL+CDN/HBET:3-5,91,91
MIX(MUR+W)/LWAL+CDL/H:1,135,135
MIX(MUR+W)/LWAL+CDL/H:2,95,95
MIX(MUR+W)/LWAL+CDM/H:1,135,135
MIX(MUR+W)/LWAL+CDM/H:2,95,95
MIX(MUR+W)/LWAL+CDN/H:1,135,135
MIX(MUR+W)/LWAL+CDN/H:2,95,95
MIX/LH+CDL/H:2,95,95
MIX/LH+CDM/H:2,95,95
MIX/LH+CDN/H:2,95,95
MUR+CL/LWAL+CDN/H:1,135,135
MUR+CL/LWAL+CDN/H:2,95,95
W/LWAL+CDH/HBET:3-5,91,91
W/LWAL+CDL/H:1,135,135
W/LWAL+CDL/H:2,95,95
W/LWAL+CDL/HBET:3-5,91,91
W/LWAL+CDM/H:1,135,135
W/LWAL+CDM/H:2,95,95
W/LWAL+CDM/HBET:3-5,91,91
W/LWAL+CDN/H:1,135,135
W/LWAL+CDN/H:2,95,95
W/LWAL+CDN/HBET:3-5,91,91
CR+PC/LWAL+CDH/HBET:6-,85,85
CR+PC/LWAL+CDL/HBET:6-,85,85
CR+PC/LWAL+CDM/HBET:6-,85,85
CR+PC/LWAL+CDN/HBET:6-,85,85
CR/LFINF+CDH/HBET:6-,85,85
CR/LFINF+CDL/HBET:6-,85,85
CR/LFINF+CDM/HBET:6-,85,85
CR/LFINF+CDN/H:2,95,95
CR/LFINF+CDN/HBET:6-,85,85
CR/LWAL+CDH/HBET:6-,85,85
CR/LWAL+CDL/HBET:6-,85,85
CR/LWAL+CDM/HBET:6-,85,85
CR/LWAL+CDN/HBET:6-,85,85
