TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LFINF+CDL/H:1,82,82
CR/LFINF+CDL/H:2,76,76
CR/LFINF+CDL/HBET:3-5,71.8,71.8
MCF/LWAL+CDL/H:1,82,82
MCF/LWAL+CDL/H:2,76,76
MCF/LWAL+CDL/HBET:3-5,71.8,71.8
MUR/LWAL+CDN/H:1,82,82
MUR/LWAL+CDN/H:2,76,76
MUR/LWAL+CDN/HBET:3-5,71.8,71.8
CR/LDUAL+CDM/HBET:6-,69,69
CR/LFINF+CDL/HBET:6-,69,69
CR/LFINF+CDM/HBET:3-5,71.8,71.8
CR/LFINF+CDM/HBET:6-,69,69
CR/LFINF+CDN/HBET:3-5,71.8,71.8
CR/LFINF+CDN/HBET:6-,69,69
MCF/LWAL+CDM/H:1,82,82
MCF/LWAL+CDM/H:2,76,76
MCF/LWAL+CDM/HBET:3-5,71.8,71.8
