TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LFINF+CDL/HBET:3-5,85.3,85.3
CR/LFINF+CDM/HBET:3-5,85.3,85.3
CR/LFINF+CDN/HBET:3-5,85.3,85.3
CR/LWAL+CDH/HBET:3-5,85.3,85.3
CR/LWAL+CDH/HBET:6-,84,84
CR/LWAL+CDM/HBET:3-5,85.3,85.3
MUR+CL/LWAL+CDN/H:1,94,94
MUR+CL/LWAL+CDN/H:2,92,92
MUR+ST/LWAL+CDN/H:1,94,94
MUR+ST/LWAL+CDN/H:2,92,92
W/LWAL+CDH/H:1,94,94
W/LWAL+CDH/H:2,92,92
W/LWAL+CDH/HBET:3-5,85.3,85.3
W/LWAL+CDL/H:1,94,94
W/LWAL+CDL/H:2,92,92
W/LWAL+CDL/HBET:3-5,85.3,85.3
W/LWAL+CDM/H:1,94,94
W/LWAL+CDM/H:2,92,92
W/LWAL+CDM/HBET:3-5,85.3,85.3
W/LWAL+CDN/H:2,92,92
W/LWAL+CDN/HBET:5-8,84,84
CR/LFINF+CDH/H:2,92,92
CR/LFINF+CDL/H:2,92,92
CR/LFINF+CDL/HBET:6-,84,84
CR/LFINF+CDM/H:2,92,92
CR/LFINF+CDM/HBET:6-,84,84
CR/LWAL+CDL/HBET:3-5,85.3,85.3
CR/LWAL+CDL/HBET:6-,84,84
CR/LWAL+CDM/HBET:6-,84,84
MIX(MUR+CR)/LWAL+CDL/HBET:3-5,85.3,85.3
MIX(MUR+CR)/LWAL+CDM/HBET:3-5,85.3,85.3
S/LFINF+CDN/HBET:3-5,85.3,85.3
