TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LDUAL+CDH/H:2,130,130
CR/LDUAL+CDH/HBET:3-5,120,120
CR/LWAL+CDH/H:1,140,140
CR/LWAL+CDH/H:2,130,130
CR/LWAL+CDL/H:1,140,140
CR/LWAL+CDL/H:2,130,130
CR/LWAL+CDL/HBET:3-5,120,120
CR/LWAL+CDM/H:1,140,140
CR/LWAL+CDM/H:1/YBET:1981-1990,140,140
CR/LWAL+CDM/H:2,130,130
CR/LWAL+CDM/H:2/YBET:1981-1990,130,130
CR/LWAL+CDM/HBET:3-5,120,120
CR/LWAL+CDM/HBET:3-5/YBET:1981-1990,120,120
CR/LWAL+CDN/H:1,140,140
CR/LWAL+CDN/H:2,130,130
MUR/LWAL+CDN/H:1,140,140
MUR/LWAL+CDN/H:2,130,130
MUR/LWAL+CDN/HBET:3-5,120,120
W/LWAL+CDH/H:1,140,140
W/LWAL+CDH/H:2,130,130
W/LWAL+CDH/HBET:3-5,120,120
W/LWAL+CDL/H:1,140,140
W/LWAL+CDL/H:2,130,130
W/LWAL+CDM/H:1,140,140
W/LWAL+CDM/H:1/YBET:1981-1990,140,140
W/LWAL+CDM/HBET:3-5,120,120
W/LWAL+CDM/HBET:3-5/YBET:1981-1990,120,120
W/LWAL+CDN/H:1,140,140
CR/LDUAL+CDH/HBET:6-,95.5,95.5
CR/LWAL+CDH/HBET:3-5,120,120
CR/LWAL+CDM/HBET:6-,95.5,95.5
CR/LWAL+CDM/HBET:6-/YBET:1981-1990,95.5,95.5
CR/LWAL+CDN/HBET:3-5,120,120
CR/LWAL+CDN/HBET:6-,95.5,95.5
MCF/LWAL+CDL/H:1,140,140
MCF/LWAL+CDL/H:2,130,130
