TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
MUR+STRUB/LWAL+CDN/H:1,110,110
MUR+STRUB/LWAL+CDN/H:2,100,100
MUR+STRUB/LWAL+CDN/H:3,96,96
MUR+STRUB/LWAL+CDN/H:4,86,86
CR/LFINF+CDN/H:1,110,110
CR/LFINF+CDN/H:2,100,100
CR/LFINF+CDN/H:3,96,96
CR/LFINF+CDN/H:4,86,86
CR/LFINF+CDN/H:5,81,81
CR/LFINF+CDN/H:7,60,60
MUR+CL/LWAL+CDN/H:3,96,96
MUR+CL/LWAL+CDN/H:4,86,86
MUR+STRUB/LWAL+CDN/H:5,81,81
CR/LFINF+CDN/H:6,70.6054,70.6054
MUR+CL/LWAL+CDN/H:5,81,81
MUR+CL/LWAL+CDN/H:6,70.6054,70.6054
MUR+CL/LWAL+CDN/H:7,60,60
CR/LFINF+CDN/H:2/SOS,100,100
CR/LFINF+CDN/H:3/SOS,96,96
CR/LFINF+CDN/H:8,60,60
CR/LFINF+CDN/H:4/SOS,86,86
CR/LFINF+CDN/H:5/SOS,81,81
CR/LFINF+CDN/H:6/SOS,70.6054,70.6054
CR/LFINF+CDN/H:7/SOS,60,60
CR/LFINF+CDL/H:1,110,110
CR/LFINF+CDL/H:2,100,100
CR/LFINF+CDL/H:3,96,96
MCF/LWAL+CDL/H:1,110,110
MCF/LWAL+CDL/H:2,100,100
MCF/LWAL+CDL/H:3,96,96
MUR+CL/LWAL+CDN/H:8,60,60
CR/LFINF+CDN/H:8/SOS,60,60
CR/LFINF+CDL/H:2/SOS,100,100
CR/LFINF+CDL/H:4,86,86
MCF/LWAL+CDL/H:4,86,86
CR/LFINF+CDL/H:7,60,60
CR/LFINF+CDL/H:3/SOS,96,96
CR/LFINF+CDL/H:4/SOS,86,86
CR/LFINF+CDL/H:5,81,81
CR/LFINF+CDL/H:6,70.6054,70.6054
CR/LFINF+CDL/H:5/SOS,81,81
CR/LFINF+CDL/H:6/SOS,70.6054,70.6054
CR/LFINF+CDL/H:7/SOS,60,60
MCF/LWAL+CDL/H:5,81,81
MCF/LWAL+CDL/H:6,70.6054,70.6054
MCF/LWAL+CDL/H:7,60,60
MUR+STDRE/LWAL+CDN/H:4,86,86
CR/LFINF+CDL/H:8,60,60
MUR+STDRE/LWAL+CDN/H:5,81,81
MUR+STDRE/LWAL+CDN/H:8,60,60
MCF/LWAL+CDL/H:8,60,60
MUR+STDRE/LWAL+CDN/H:6,70.6054,70.6054
MUR+STDRE/LWAL+CDN/H:7,60,60
CR/LFINF+CDL/H:8/SOS,60,60
