TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR+PC/LWAL+CDL/HBET:3-5,56,56
CR+PC/LWAL+CDM/HBET:3-5,56,56
CR/LDUAL+CDH/HBET:3-5,56,56
CR/LDUAL+CDL/HBET:3-5,56,56
CR/LDUAL+CDM/HBET:3-5,56,56
CR/LFINF+CDL/HBET:3-5,56,56
CR/LFINF+CDM/HBET:3-5,56,56
MCF/LWAL+CDL/H:1,72,72
MCF/LWAL+CDL/H:2,70,70
MUR+CL/LWAL+CDN/H:1,72,72
MUR+CL/LWAL+CDN/H:2,70,70
MUR+CL/LWAL+CDN/HBET:3-5,56,56
MUR+ST/LWAL+CDN/H:1,72,72
MUR+ST/LWAL+CDN/H:2,70,70
CR+PC/LWAL+CDL/HBET:6-,53.6,53.6
CR+PC/LWAL+CDM/H:2,70,70
CR+PC/LWAL+CDM/HBET:6-,53.6,53.6
CR/LDUAL+CDH/HBET:6-,53.6,53.6
CR/LDUAL+CDL/HBET:6-,53.6,53.6
CR/LDUAL+CDM/HBET:6-,53.6,53.6
CR/LFINF+CDN/HBET:6-,53.6,53.6
