TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LDUAL+CDM/HBET:3-5,64,64
CR/LFINF+CDL/H:1,82.4,82.4
CR/LFINF+CDL/H:2,70,70
CR/LFINF+CDL/HBET:3-5,64,64
CR/LFINF+CDL/HBET:6-,60,60
CR/LFINF+CDM/H:1,82.4,82.4
CR/LFINF+CDM/H:2,70,70
CR/LFINF+CDM/HBET:3-5,64,64
CR/LFINF+CDM/HBET:6-,60,60
CR/LFINF+CDN/HBET:3-5,64,64
CR/LFINF+CDN/HBET:6-,60,60
MCF/LWAL+CDL/H:1,82.4,82.4
MCF/LWAL+CDL/H:2,70,70
MCF/LWAL+CDL/HBET:3-5,64,64
MCF/LWAL+CDM/H:1,82.4,82.4
MCF/LWAL+CDM/H:2,70,70
MCF/LWAL+CDM/HBET:3-5,64,64
MUR/LWAL+CDN/H:1,82.4,82.4
MUR/LWAL+CDN/H:2,70,70
MUR/LWAL+CDN/HBET:3-5,64,64
CR/LDUAL+CDL/HBET:3-5,64,64
CR/LDUAL+CDL/HBET:6-,60,60
CR/LDUAL+CDM/HBET:6-,60,60
CR/LFINF+CDL/HBET:3-5/SOS,64,64
CR/LFINF+CDM/HBET:3-5/SOS,64,64
CR/LFINF+CDN/H:1,82.4,82.4
CR/LFINF+CDN/H:2,70,70
CR/LFINF+CDN/HBET:3-5/SOS,64,64
CR/LWAL+CDL/HBET:6-,60,60
CR/LWAL+CDM/HBET:6-,60,60
