TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
EU+ETR/LWAL+CDN/H:1/BPD/RSH3+RMT1+RWO,65,65
MCF+CLBLH/LWAL+CDM/HBET:1-3,70,70
MCF+CLBLH/LWAL+CDM/HBET:1-3/BPD/RSH3+RMT1+RWO/FC,70,70
MUR+CLBLH/LWAL+CDN/HBET:1-2,69,69
MUR+CLBLH/LWAL+CDN/HBET:1-2/BPD/RSH3+RMT1+RWO/FM,69,69
MUR+CLBRS/LWAL+CDN/H:1/BPD/RSH2+RMT1+RWO,65,65
MUR+CLBRS/LWAL+CDN/HBET:1-2/RSH3+RMT1+RWO/FW,69,69
MUR+CLBRS/LWAL+CDN/HBET:1-3,70,70
MUR+CLBRS/LWAL+CDN/HBET:1-3/BPD/RSH3+RMT1+RWO/FM,70,70
MUR+CLBRS/LWAL+CDN/HBET:2-5/BPD/RSH3+RMT1+RWO/FC,70,70
MUR+CLBRS/LWAL+CDN/HBET:3-5/BPD/RSH3+RMT1+RWO/FC,74,74
W+WLI/LWAL+CDN/H:1/BPD/EWE/RSH3+RMT1,65,65
MUR+CLBRS/LWAL+CDN/HBET:1-2/FW,69,69
EU/LWAL+CDN/H:1,65,65
MUR/LWAL+CDN/H:1,65,65
W/LWAL+CDN/H:1,65,65
MUR+CLBRS/LWAL+CDN/HBET:1-2,69,69
MUR+CLBRS/LWAL+CDN/HBET:3-5,74,74
W+WLI/LWAL+CDN/H:1,65,65
CR+CIP/LDUAL+CDL/HBET:4-7,80,80
CR+CIP/LDUAL+CDL/HBET:4-7/RSH1/FC,80,80
CR+CIP/LDUAL+CDM/HBET:4-7,80,80
CR+CIP/LDUAL+CDM/HBET:4-7/RSH1/FC,80,80
CR+CIP/LDUAL+CDN/HBET:4-7,80,80
CR+CIP/LDUAL+CDN/HBET:4-7/RSH1/FC,80,80
CR+CIP/LFINF+CDL/HBET:4-7,80,80
CR+CIP/LFINF+CDL/HBET:4-7/BPD/EWMA/RSH1/FC,80,80
CR+CIP/LFINF+CDM/HBET:4-7,80,80
CR+CIP/LFINF+CDM/HBET:4-7/BPD/EWMA/RSH1/FC,80,80
CR+CIP/LFINF+CDN/HBET:4-7,80,80
CR+CIP/LFINF+CDN/HBET:4-7/BPD/EWMA/RSH1/FC,80,80
CR+PC/LWAL+CDL/HBET:5-10,80,80
CR+PC/LWAL+CDL/HBET:5-10/RSH1/FC,80,80
CR+PC/LWAL+CDM/HBET:5-10,80,80
CR+PC/LWAL+CDM/HBET:5-10/RSH1/FC,80,80
CR+PC/LWAL+CDN/HBET:5-10,80,80
CR+PC/LWAL+CDN/HBET:5-10/RSH1/FC,80,80
MCF+CLBLH/LWAL+CDL/HBET:1-3/BPD/RSH3+RMT1+RWO/FC,70,70
MCF/LWAL+CDL/HBET:1-3,70,70
MCF/LWAL+CDM/HBET:1-3,70,70
MUR+CLBRS/LWAL+CDN/H:1,65,65
MUR+CLBRS/LWAL+CDN/HBET:2-5,70,70
MUR/LWAL+CDN/HBET:1-3,70,70
