TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR+PC/LWAL+CDN/HBET:3-5,69,69
CR/LFINF+CDL/H:1,105,105
CR/LFINF+CDL/H:2,100,100
CR/LFINF+CDL/HBET:3-5,69,69
CR/LFINF+CDL/HBET:6-,62.5,62.5
CR/LFINF+CDN/HBET:3-5,69,69
CR/LFINF+CDN/HBET:6-,62.5,62.5
MCF/LWAL+CDL/H:1,105,105
MCF/LWAL+CDL/H:2,100,100
MCF/LWAL+CDL/HBET:3-5,69,69
MUR+ADO/LWAL+CDN/H:1,105,105
MUR+ADO/LWAL+CDN/H:2,100,100
MUR+CL/LWAL+CDN/H:1,105,105
MUR+CL/LWAL+CDN/H:2,100,100
MUR+CL/LWAL+CDN/HBET:3-5,69,69
MUR+ST/LWAL+CDN/H:1,105,105
MUR+ST/LWAL+CDN/H:2,100,100
W/LFM+CDL/H:1,105,105
W/LFM+CDL/H:2,100,100
W/LFM+CDL/HBET:3-5,69,69
W/LFM+CDN/H:1,105,105
W/LFM+CDN/H:2,100,100
W/LFM+CDN/HBET:3-5,69,69
