TAXONOMY,AREA_DWELLING_URBAN,AREA_DWELLING_RURAL
CR/LDUAL+CDH/HBET:10-15,75,75
CR/LDUAL+CDH/H:6,80,80
CR/LDUAL+CDH/H:7,80,80
CR/LDUAL+CDH/H:8,80,80
CR/LDUAL+CDH/H:9,77,77
CR/LDUAL+CDL/HBET:10-15,75,75
CR/LDUAL+CDL/HBET:10-15/YBET:1974-1994,75,75
CR/LDUAL+CDM/HBET:10-15,75,75
CR/LFINF+CDH/HBET:10-15,75,75
CR/LFINF+CDH/H:2,100,100
CR/LFINF+CDH/H:3,100,100
CR/LFINF+CDH/H:4,90,90
CR/LFINF+CDH/H:5,83,83
CR/LFINF+CDH/H:6,80,80
CR/LFINF+CDH/H:7,80,80
CR/LFINF+CDH/H:8,80,80
CR/LFINF+CDH/H:9,77,77
CR/LFINF+CDL/HBET:10-15,75,75
CR/LFINF+CDL/HBET:10-15/YBET:1974-1994,75,75
CR/LFINF+CDL/H:3,100,100
CR/LFINF+CDL/H:3/YBET:1974-1994,100,100
CR/LFINF+CDL/H:4,90,90
CR/LFINF+CDL/H:4/YBET:1974-1994,90,90
CR/LFINF+CDL/H:5,83,83
CR/LFINF+CDL/H:5/YBET:1974-1994,83,83
CR/LFINF+CDL/H:6,80,80
CR/LFINF+CDL/H:6/YBET:1974-1994,80,80
CR/LFINF+CDL/H:7,80,80
CR/LFINF+CDL/H:7/YBET:1974-1994,80,80
CR/LFINF+CDL/H:8,80,80
CR/LFINF+CDL/H:8/YBET:1974-1994,80,80
CR/LFINF+CDL/H:9,77,77
CR/LFINF+CDL/H:9/YBET:1974-1994,77,77
CR/LFINF+CDM/HBET:10-15,75,75
CR/LFINF+CDM/H:2,100,100
CR/LFINF+CDM/H:3,100,100
CR/LFINF+CDM/H:4,90,90
CR/LFINF+CDM/H:5,83,83
CR/LFINF+CDM/H:6,80,80
CR/LFINF+CDM/H:7,80,80
CR/LFINF+CDM/H:8,80,80
CR/LFINF+CDM/H:9,77,77
CR/LFINF+CDN/HBET:10-15,75,75
CR/LFINF+CDN/H:7,80,80
CR/LFINF+CDN/H:8,80,80
CR/LFINF+CDN/H:9,77,77
CR/LFLS+CDL/H:2,100,100
CR/LFLS+CDL/H:2/YBET:1974-1994,100,100
CR/LFLS+CDL/H:3,100,100
CR/LFLS+CDL/H:3/YBET:1974-1994,100,100
CR/LFLS+CDL/H:4,90,90
CR/LFLS+CDL/H:4/YBET:1974-1994,90,90
CR/LFLS+CDL/H:5,83,83
CR/LFLS+CDL/H:5/YBET:1974-1994,83,83
CR/LFLS+CDL/H:6,80,80
CR/LFLS+CDL/H:6/YBET:1974-1994,80,80
CR/LFLS+CDL/H:7,80,80
CR/LFLS+CDL/H:7/YBET:1974-1994,80,80
CR/LFLS+CDL/H:8,80,80
CR/LFLS+CDL/H:8/YBET:1974-1994,80,80
CR/LFLS+CDL/H:9,77,77
CR/LFLS+CDL/H:9/YBET:1974-1994,77,77
CR/LFLS+CDM/H:3,100,100
CR/LFLS+CDM/H:4,90,90
CR/LFLS+CDM/H:5,83,83
CR/LFLS+CDM/H:6,80,80
CR/LFLS+CDM/H:7,80,80
CR/LFLS+CDM/H:8,80,80
CR/LFLS+CDM/H:9,77,77
CR/LFLS+CDN/H:7,80,80
CR/LFLS+CDN/H:8,80,80
CR/LFLS+CDN/H:9,77,77
MCF/LWAL+CDH/H:1,100,100
MCF/LWAL+CDH/H:2,100,100
MCF/LWAL+CDH/H:3,100,100
MCF/LWAL+CDH/H:4,90,90
MCF/LWAL+CDH/H:5,83,83
MCF/LWAL+CDH/H:6,80,80
MCF/LWAL+CDM/H:1,100,100
MCF/LWAL+CDM/H:2,100,100
MCF/LWAL+CDM/H:3,100,100
MCF/LWAL+CDM/H:4,90,90
MCF/LWAL+CDM/H:5,83,83
MCF/LWAL+CDM/H:6,80,80
MUR+CL/LWAL+CDN/H:1,100,100
MUR+CL/LWAL+CDN/H:2,100,100
MUR+CL/LWAL+CDN/H:3,100,100
MUR+CL/LWAL+CDN/H:4,90,90
MUR+CL/LWAL+CDN/H:5,83,83
MUR+CL/LWAL+CDN/H:6,80,80
MUR+ST/LWAL+CDN/H:1,100,100
MUR+ST/LWAL+CDN/H:2,100,100
MUR+ST/LWAL+CDN/H:3,100,100
MUR+ST/LWAL+CDN/H:4,90,90
MUR+ST/LWAL+CDN/H:5,83,83
MUR+ST/LWAL+CDN/H:6,80,80
CR/LFLS+CDN/H:2,100,100
CR/LFLS+CDN/H:3,100,100
CR/LFLS+CDN/H:4,90,90
CR/LFLS+CDN/H:5,83,83
CR/LFLS+CDN/H:6,80,80
