TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR+PC/LWAL+CDN/H:2,2,0.75,1.5
CR+PC/LWAL+CDN/HBET:3-5,5,4,20
CR/LFINF+CDL/H:2,2,0.75,1.5
CR/LFINF+CDM/H:2,2,0.75,1.5
CR/LFINF+CDN/HBET:3-5,5,4,20
CR/LFLS+CDN/HBET:3-5,5,4,20
MCF/LWAL+CDL/H:1,1,1,1
MCF/LWAL+CDL/H:2,2,0.75,1.5
MCF/LWAL+CDM/H:1,1,1,1
MCF/LWAL+CDM/H:2,2,0.75,1.5
MUR+CL/LWAL+CDN/H:1,1,1,1
MUR+CL/LWAL+CDN/H:2,2,0.75,1.5
MUR+ST/LWAL+CDN/H:1,1,1,1
MUR+ST/LWAL+CDN/H:2,2,0.75,1.5
W/LWAL+CDN/H:1,1,1,1
W/LWAL+CDN/H:2,2,0.75,1.5
CR/LDUAL+CDL/HBET:3-5,5,4,20
CR/LDUAL+CDM/HBET:3-5,5,4,20
CR/LFLS+CDL/HBET:3-5,5,4,20
CR/LFLS+CDM/HBET:3-5,5,4,20
CR+PC/LWAL+CDN/HBET:6-,7,5,35
CR/LDUAL+CDL/HBET:6-,7,5,35
CR/LDUAL+CDM/HBET:6-,7,5,35
CR/LDUAL+CDN/HBET:6-,7,5,35
CR/LFINF+CDL/H:1,1,1,1
CR/LFINF+CDM/H:1,1,1,1
CR/LFLS+CDN/HBET:6-,7,5,35
