TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR/LDUAL+CDH/H:2,2,0.5,1.0
CR/LDUAL+CDH/HBET:3-5,3,2.0,6.0
CR/LWAL+CDH/H:1,1,1.0,1.0
CR/LWAL+CDH/H:2,2,0.5,1.0
CR/LWAL+CDL/H:1,1,1.0,1.0
CR/LWAL+CDL/H:2,2,0.5,1.0
CR/LWAL+CDL/HBET:3-5,3,2.0,6.0
CR/LWAL+CDM/H:1,1,1.0,1.0
CR/LWAL+CDM/H:1/YBET:1981-1990,1,1.0,1.0
CR/LWAL+CDM/H:2,2,0.5,1.0
CR/LWAL+CDM/H:2/YBET:1981-1990,2,0.5,1.0
CR/LWAL+CDM/HBET:3-5,3,2.0,6.0
CR/LWAL+CDM/HBET:3-5/YBET:1981-1990,3,2.0,6.0
CR/LWAL+CDN/H:1,1,1.0,1.0
CR/LWAL+CDN/H:2,2,0.5,1.0
MUR/LWAL+CDN/H:1,1,1.0,1.0
MUR/LWAL+CDN/H:2,2,0.5,1.0
MUR/LWAL+CDN/HBET:3-5,3,2.0,6.0
W/LWAL+CDH/H:1,1,1.0,1.0
W/LWAL+CDH/H:2,2,0.5,1.0
W/LWAL+CDH/HBET:3-5,3,2.0,6.0
W/LWAL+CDL/H:1,1,1.0,1.0
W/LWAL+CDL/H:2,2,0.5,1.0
W/LWAL+CDM/H:1,1,1.0,1.0
W/LWAL+CDM/H:1/YBET:1981-1990,1,1.0,1.0
W/LWAL+CDM/HBET:3-5,3,2.0,6.0
W/LWAL+CDM/HBET:3-5/YBET:1981-1990,3,2.0,6.0
W/LWAL+CDN/H:1,1,1.0,1.0
CR/LDUAL+CDH/HBET:6-,6,3.0,18.0
CR/LWAL+CDH/HBET:3-5,3,2.0,6.0
CR/LWAL+CDM/HBET:6-,6,3.0,18.0
CR/LWAL+CDM/HBET:6-/YBET:1981-1990,6,3.0,18.0
CR/LWAL+CDN/HBET:3-5,3,2.0,6.0
CR/LWAL+CDN/HBET:6-,6,3.0,18.0
MCF/LWAL+CDL/H:1,1,1.0,1.0
MCF/LWAL+CDL/H:2,2,0.5,1.0
