TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR+PC/LWAL+CDL/HBET:3-5,4,3.6,14.4
CR+PC/LWAL+CDM/HBET:3-5,4,3.6,14.4
CR/LDUAL+CDH/HBET:3-5,4,3.6,14.4
CR/LDUAL+CDL/HBET:3-5,4,3.6,14.4
CR/LDUAL+CDM/HBET:3-5,4,3.6,14.4
CR/LFINF+CDL/HBET:3-5,4,3.6,14.4
CR/LFINF+CDM/HBET:3-5,4,3.6,14.4
MCF/LWAL+CDL/H:1,1,1.0,1.0
MCF/LWAL+CDL/H:2,2,0.57,1.14
MUR+CL/LWAL+CDN/H:1,1,1.0,1.0
MUR+CL/LWAL+CDN/H:2,2,0.57,1.14
MUR+CL/LWAL+CDN/HBET:3-5,4,3.6,14.4
MUR+ST/LWAL+CDN/H:1,1,1.0,1.0
MUR+ST/LWAL+CDN/H:2,2,0.57,1.14
CR+PC/LWAL+CDL/HBET:6-,6,4.0,24.0
CR+PC/LWAL+CDM/H:2,2,0.57,1.14
CR+PC/LWAL+CDM/HBET:6-,6,4.0,24.0
CR/LDUAL+CDH/HBET:6-,6,4.0,24.0
CR/LDUAL+CDL/HBET:6-,6,4.0,24.0
CR/LDUAL+CDM/HBET:6-,6,4.0,24.0
CR/LFINF+CDN/HBET:6-,6,4.0,24.0
