TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR+CIP/LFINF+CDN/H:1/YPRE:1945,1,1,1
CR+CIP/LFINF+CDN/H:1/YBET:1946-1960,1,1,1
CR+CIP/LFM+CDL/H:1/YBET:1960-1977,1,1,1
CR+CIP/LFINF+CDL/H:1/YBET:1960-1977,1,1,1
CR+PC/LFM+CDL/H:1/YBET:1960-1977,1,1,1
CR+PC/LWAL+CDL/H:1/YBET:1960-1977,1,1,1
CR+PC/LFM+CDM/H:1/YBET:1977-1992,1,1,1
CR+PC/LDUAL+CDM/H:1/YBET:1977-1992,1,1,1
CR+PC/LWAL+CDM/H:1/YBET:1977-1992,1,1,1
CR+CIP/LFM+CDM/H:1/YBET:1977-1992,1,1,1
CR+CIP/LFM+CDM/H:1/YBET:1993-2002,1,1,1
CR+CIP/LFINF+CDM/H:1/YBET:1993-2002,1,1,1
CR+PC/LWAL+CDM/H:1/YBET:1993-2002,1,1,1
CR+CIP/LFM+CDH/H:1/YBET:2003-2006,1,1,1
CR+CIP/LFINF+CDH/H:1/YBET:2003-2006,1,1,1
CR+CIP/LFM+CDH/H:1/YBET:2007-2011,1,1,1
CR+CIP/LFINF+CDH/H:1/YBET:2007-2011,1,1,1
MCF+CLBRS+MOM/LFM+CDN/H:1/YPRE:1945/FC,1,1,1
MCF+CLBRS+MOM/LFM+CDN/H:1/YBET:1946-1960/FC,1,1,1
MCF+CLBRS+MOM/LFM+CDL/H:1/YBET:1960-1977/FC,1,1,1
MCF+CLBRS+MOCL/LFM+CDM/H:1/YBET:1977-1992/FC,1,1,1
MCF+CLBRS+MOCL/LFM+CDM/H:1/YBET:1993-2002/FC,1,1,1
MCF+CBS+MOCL/LFM+CDH/H:1/YBET:2003-2006/FC,1,1,1
MCF+CBS+MOCL/LFM+CDH/H:1/YBET:2007-2011/FC,1,1,1
MCF+CLBRS+MOM/LFM+CDN/H:1/YPRE:1945/FW,1,1,1
MCF+CLBRS+MOM/LFM+CDN/H:1/YBET:1946-1960/FW,1,1,1
MCF+CLBRS+MOM/LFM+CDL/H:1/YBET:1960-1977/FW,1,1,1
MCF+CLBRS+MOCL/LFM+CDM/H:1/YBET:1977-1992/FW,1,1,1
MCF+CLBRS+MOCL/LFM+CDM/H:1/YBET:1993-2002/FW,1,1,1
