TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR/LFINF+CDL/HBET:3-5,3,1,3
CR/LFINF+CDL/HBET:6-,6,1,6
CR/LFINF+CDN/H:1,1,1,1
CR/LFINF+CDN/H:2,2,0.5,1
CR/LWAL+CDM/H:1,1,1,1
CR/LWAL+CDM/H:2,2,0.5,1
CR/LWAL+CDM/HBET:3-5,3,1,3
CR/LWAL+CDN/H:1,1,1,1
CR/LWAL+CDN/H:2,2,0.5,1
MCF/LWAL+CDL/H:1,1,1,1
MCF/LWAL+CDL/H:2,2,0.5,1
MCF/LWAL+CDL/HBET:3-5,3,1,3
MIX/LH+CDL/H:2,2,0.5,1
MUR+CL/LWAL+CDN/H:1,1,1,1
MUR+CL/LWAL+CDN/H:2,2,0.5,1
MUR+CL/LWAL+CDN/HBET:3-5,3,1,3
MUR+ST/LWAL+CDN/H:1,1,1,1
MUR+ST/LWAL+CDN/H:2,2,0.5,1
MUR+ST/LWAL+CDN/HBET:3-5,3,1,3
W/LFM+CDL/H:1,1,1,1
W/LFM+CDL/H:2,2,0.5,1
W/LFM+CDN/H:1,1,1,1
W/LFM+CDN/H:2,2,0.5,1
CR+PC/LWAL+CDL/HBET:6-,6,1,6
CR/LDUAL+CDM/HBET:3-5,3,1,3
CR/LDUAL+CDM/HBET:6-,6,1,6
CR/LFINF+CDM/HBET:3-5,3,1,3
CR/LFINF+CDM/HBET:6-,6,1,6
CR/LFINF+CDN/HBET:3-5,3,1,3
CR/LWAL+CDM/HBET:6-,6,1,6
CR/LWAL+CDN/HBET:3-5,3,1,3
MCF/LWAL+CDL/HBET:6-,6,1,6
MIX/LH+CDL/HBET:3-5,3,1,3
