TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR+PC/LWAL+CDL/HBET:1-3,2,0.5,1
CR/LDUAL+CDH/HBET:1-3,2,0.5,1
CR/LDUAL+CDH/HBET:4-6,4,0.4808,1.9232
CR/LDUAL+CDH/HBET:7-,7,4,28
CR/LDUAL+CDL/HBET:1-3,2,0.5,1
CR/LDUAL+CDL/HBET:4-6,4,0.4808,1.9232
CR/LDUAL+CDL/HBET:7-,7,4,28
CR/LFINF(CBH)+CDL/HBET:1-3,2,0.5,1
CR/LFINF(CBH)+CDL/HBET:4-6,4,0.4808,1.9232
CR/LFINF(CBH)+CDL/HBET:4-6/SOS,4,0.4808,1.9232
CR/LFINF(CBH)+CDL/HBET:7-,7,4,28
CR/LFINF(CBH)+CDL/HBET:7-/SOS,7,4,28
CR/LFINF(CL)+CDL/HBET:1-3,2,0.5,1
CR/LFINF(CL)+CDL/HBET:4-6,4,0.4808,1.9232
CR/LFINF(CL)+CDL/HBET:7-,7,4,28
CR/LFINF+CDL/HBET:1-3,2,0.5,1
CR/LFINF+CDL/HBET:4-6,4,0.4808,1.9232
CR/LFINF+CDL/HBET:7-,7,4,28
CR/LFINF+CDN/HBET:1-3,2,0.5,1
CR/LWAL+CDH/HBET:1-3,2,0.5,1
CR/LWAL+CDH/HBET:4-6,4,0.4808,1.9232
CR/LWAL+CDH/HBET:7-,7,4,28
CR/LWAL+CDL/HBET:1-3,2,0.5,1
CR/LWAL+CDL/HBET:4-6,4,0.4808,1.9232
MUR+ADO/LWAL+CDN/HBET:1-3,2,0.5,1
MUR+CBH/LWAL+CDN/HBET:1-3,2,0.5,1
MUR+CL/LWAL+CDN/HBET:1-3,2,0.5,1
MUR+STRUB/LWAL+CDN/HBET:1-3,2,0.5,1
MUR+STRUB/LWAL+CDN/HBET:4-6,4,0.4808,1.9232
S/LFM+CDL/HBET:1-3,2,0.5,1
W/LFM+CDL/HBET:1-3,2,0.5,1
W/LFM+CDN/HBET:1-3,2,0.5,1
W/LWAL+CDL/HBET:1-3,2,0.5,1
W/LWAL+CDN/HBET:1-3,2,0.5,1
CR/LFINF(CL)+CDL/HBET:4-6/SOS,4,0.4808,1.9232
CR/LFINF(CL)+CDL/HBET:7-/SOS,7,4,28
CR/LFINF+CDL/HBET:4-6/SOS,4,0.4808,1.9232
CR/LFINF+CDL/HBET:7-/SOS,7,4,28
CR/LWAL+CDL/HBET:4-6/SOS,4,0.4808,1.9232
