REGION,POPULATION,ID
BERAT,36496,4111
BOGOVË,1098,41318
CUKALAT,3045,4112
ÇEPAN,740,41316
ÇOROVODË,4051,41317
GJERBËS,813,41319
KOZARE,5622,41213
KUÇOVË,12654,41214
KUTALLI,9643,4113
LESHNJË,496,41320
LUMAS,3981,4114
OTLLAK,9218,4115
PERONDI,9005,41215
POLIÇAN,4318,41321
POSHNJË,7375,4116
POTOM,897,41322
QENDËR SKRAPAR,2545,41323
ROSHNIK,2513,4117
SINJË,3351,4118
TERPAN,1716,4119
URA VAJGURORE,7232,41110
VELABISHT,8453,41111
VENDRESHË,984,41324
VERTOP,4919,41112
ZHEPË,779,41325
ARRAS,3055,42534
BAZ,2228,42649
BULQIZË,8177,42426
BURREL,10862,42650
DERJAN,1102,42651
FUSHË BULQIZË,3342,42427
FUSHË MUHUR,2780,42542
FUSHË ÇIDHËN,2909,42535
GJORICË,4214,42428
GURRË,3369,42652
KALA E DODËS,2252,42536
KASTRIOT,6200,42537
KLOS.,7873,42653
KOMSI,4283,42654
LIS,3824,42655
LURË,1096,42538
LUZNI,2433,42539
MACUKULL,1565,42656
MAQELLARË,10662,42540
MARTANESH,1836,42657
MELAN,3649,42541
OSTREN,3034,42429
PESHKOPI,13251,42543
QENDËR TOMIN,7590,42544
RUKAJ,2507,42658
SELISHTË,1605,42545
SHUPENZË,5503,42430
SLLOVË,2405,42546
SUÇ,2716,42659
TREBISHT,993,42432
ULËZ,1229,42660
XIBËR,2660,42661
ZALL DARDHË,1051,42547
ZALL REÇ,681,42548
ZERQAN,4111,42433
BUBQ,5951,43872
CUDHI,1812,43873
DURRËS,113249,43762
FUSHË KRUJË,18477,43874
GJEPALAJ,3449,43763
ISHËM,5001,43764
KATUND I RI,10161,43765
KODËR THUMANË,12335,43875
KRUJË,11721,43876
MAMINAS,4463,43766
MANËZ,6652,43767
NIKËL,9518,43877
RRASHBULL,24081,43768
SHIJAK,7568,43769
SUKTH,15966,43770
XHAFZOTAJ,12381,43771
BELSH,8781,44979
BRADASHESH,10700,44980
CËRRIK,6695,44981
ELBASAN,78703,44982
FIERZË,2065,44983
FUNARË,2122,44984
GJERGJAN,5126,44985
GJINAR,3478,44986
GJOCAJ,5207,44c122
GOSTIMË,8116,44987
GRACEN,2192,44988
GRAMSH,8440,44a102
GREKAN,3138,44989
HOTOLISHT,5706,44b112
KAJAN,3925,44990
KARINË,1350,44c123
KLOS,3262,44991
KODOVJAT,2355,44a103
KUKUR,2560,44a104
KUSHOVË,659,44a105
LABINOT FUSHË,7058,44992
LABINOT MAL,5291,44993
LENIE,779,44a106
LIBRAZHD,6937,44b113
LUNIK,2621,44b114
MOLLAS,5530,44994
ORENJË,3883,44b115
PAJOVË,6626,44c125
PAPËR,6348,44995
PEQIN,6353,44c126
PËRPARIM,3423,44c124
PËRRENJAS,5847,44b116
PISHAJ,4906,44a107
POLIS,3385,44b117
POROÇAN,1269,44a108
QENDËR    .,8551,44b118
QUKËS,8211,44b119
RRAJCË,8421,44b120
RRASË,1594,44996
SHALËS,3842,44997
SHEZË,3177,44c127
SHIRGJAN,7307,44998
SHUSHICË,8731,44999
SKËNDERBEGAS,1239,44a109
STËBLEVË,809,42431
STRAVAJ,2427,44b121
SULT,631,44a110
TREGAN,3036,449100
TUNJË,1393,44a111
ZAVALIN,1622,449101
ALLKAJ,4319,45ee145
ARANITAS,2714,45f161
BALLAGAT,2461,45ee146
BALLSH,7657,45f162
BUBULLIMË,5548,45ee147
CAKRAN,11722,45d128
DERMENAS,7788,45d129
DIVJAKË,8445,45ee148
DUSHK,7872,45ee149
FIER,55845,45d130
FIERSHEGAN,7023,45ee150
FRAKULL,6820,45d131
FRATAR,3221,45f163
GOLEM.,5243,45ee151
GRABIAN,3638,45ee152
GRADISHTË,7521,45ee153
GRESHICË,1152,45f164
HEKAL,2623,45f165
HYSGJOKAJ,2603,45ee154
KARBUNARË,4193,45ee155
KOLONJË,5728,45ee156
KRUTJE,7564,45ee157
KUMAN,5611,45d132
KURJAN,3618,45d133
KUTË,1977,45f166
LEVAN,8159,45d134
LIBOFSHË,6149,45d135
LUSHNJE,31105,45ee158
MBROSTAR,7460,45d136
NGRAÇAN,588,45f167
PATOS,15397,45d137
PORTËZ,8259,45d138
QENDËR (FIER),4207,45d139
QENDËR (MALLAKASTËR),6253,45f168
ROSKOVEC,4975,45d140
RREMAS,4449,45ee159
RUZHDIE,2326,45d141
SELITË,877,45f169
STRUM,7538,45d142
TËRBUF,10201,45ee160
TOPOJË,4246,45d143
ZHARRËS,5236,45d144
ANTIGONË,998,46g170
BALLABAN,1047,46h184
BUZ,737,46i192
CEPO,1727,46g171
ÇARÇOVË,918,46h183
DISHNICË,1159,46h185
DROPULL I POSHTËM,2100,46g172
DROPULL I SIPËRM,971,46g173
FRASHËR,387,46h186
FSHAT MEMALIAJ,1606,46i193
GJIROKASTËR,19836,46g174
KËLCYRË,2651,46h187
KRAHËS,2554,46i194
KURVELESH,705,46i195
LAZARAT,2801,46g175
LIBOHOVË,1992,46g176
LOPËS,723,46i196
LUFTINJË,1734,46i197
LUNXHËRI,1941,46g177
MEMALIAJ,2647,46i198
ODRIE,433,46g178
PËRMET,5945,46h188
PETRAN,1622,46h189
PICAR,937,46g179
POGON,432,46g180
QENDËR PISKOVË,1742,46h190
QENDËR (TEPELENË),3179,46i199
QENDËR LIBOHOVË,1264,46g181
QESARAT,1379,46i200
SUKË,1256,46h191
TEPELENË,4342,46i201
ZAGORI,411,46g182
BARMASH,480,47k208
BILISHT,6250,47j203
BUÇIMAS,15687,47m232
ÇËRRAVË,7009,47m231
ÇLIRIM,355,47k207
DARDHAS,2182,47m233
DRENOVË,5581,47l215
ERSEKË,3746,47k209
GORË,1565,47l216
HOÇISHT,4461,47j204
HUDENISHT,5990,47m234
KORÇË,51152,47l217
LEKAS,392,47l218
LESKOVIK,1525,47k211
LIBONIK,8922,47l219
LIQENAS,3290,47l220
MALIQ,4290,47l221
MIRAS,6577,47j205
MOGLICË,951,47l222
MOLLAJ,3438,47l223
MOLLAS.,1520,47k212
NOVOSELË,355,47k213
PIRG,7652,47l224
POGRADEC,20848,47m235
POJAN,10864,47l225
PROGËR,3988,47j206
PROPTISHT,4785,47m236
QENDËR BILISHT,5440,47j202
QENDËR ERSEKE,2673,47k214
QENDËR LESKOVIK,416,47k210
QENDËR KORCE,9022,47l226
TREBINJË,2481,47m237
VELÇAN,2548,47m238
VITHKUQ,1519,47l227
VOSKOP,3832,47l228
VOSKOPOJË,1058,47l229
VRESHTAS,7513,47l230
ARRËN,462,48o243
BAJRAM CURRI,5340,48p258
BICAJ,5631,48o244
BUJAN,2550,48p259
BUSHTRICË,1486,48o245
BYTYÇ,1563,48p260
FAJZA,3491,48n239
FIERZË .,1607,48p261
GJINAJ,1106,48n240
GOLAJ,6187,48n241
GRYKË ÇAJË,1440,48o246
