ID_1,TAXONOMY,DWELLINGS,SETTLEMENT_TYPE,POPULATION
1,CR/LFM+CDL/HBET:3-5,1761.437,URBAN,4227.4488
1,MR/LWAL+CDL/H:2,574.3816,URBAN,1378.5159
1,MR/LWAL+CDL/H:2,1187.0554,URBAN,2848.9329
1,S/LFM+CDL/H:1,191.4605,URBAN,459.5053
1,S/LWAL+CDL/H:1,76.5842,URBAN,183.8021
1,W/LFM+CDL/H:1,38.2921,URBAN,91.9011
2,CR/LFM+CDL/HBET:3-5,4.4,RURAL,10.56
2,CR/LFM+CDL/HBET:3-5,1477.6843,URBAN,3546.4423
2,MR/LWAL+CDL/H:2,2.6632,RURAL,6.3916
2,MR/LWAL+CDL/H:2,481.8536,URBAN,1156.4486
2,MR/LWAL+CDL/H:2,4.1684,RURAL,10.0042
2,MR/LWAL+CDL/H:2,995.8307,URBAN,2389.9937
2,S/LFM+CDL/H:1,160.6179,URBAN,385.4829
2,S/LWAL+CDL/H:1,64.2471,URBAN,154.1931
2,W/LFM+CDL/H:1,32.1236,URBAN,77.0966
3,CR/LFM+CDL/HBET:3-5,41.7848,RURAL,100.2834
3,CR/LFM+CDL/HBET:3-5,1553.236,URBAN,3727.7665
3,MR/LWAL+CDL/H:2,25.2908,RURAL,60.6979
3,MR/LWAL+CDL/H:2,506.49,URBAN,1215.576
3,MR/LWAL+CDL/H:2,39.5856,RURAL,95.0053
3,MR/LWAL+CDL/H:2,1046.746,URBAN,2512.1905
3,S/LFM+CDL/H:1,2.1992,RURAL,5.2781
3,S/LFM+CDL/H:1,168.83,URBAN,405.192
3,S/LWAL+CDL/H:1,67.532,URBAN,162.0768
3,W/LFM+CDL/H:1,1.0996,RURAL,2.639
3,W/LFM+CDL/H:1,33.766,URBAN,81.0384
4,CR/LFM+CDL/HBET:3-5,169.5852,RURAL,407.0045
4,CR/LFM+CDL/HBET:3-5,3153.2894,URBAN,7567.8946
4,MR/LWAL+CDL/H:2,102.6437,RURAL,246.3448
4,MR/LWAL+CDL/H:2,1028.2465,URBAN,2467.7917
4,MR/LWAL+CDL/H:2,160.6597,RURAL,385.5832
4,MR/LWAL+CDL/H:2,2125.0429,URBAN,5100.1029
4,S/LFM+CDL/H:1,8.9255,RURAL,21.4213
4,S/LFM+CDL/H:1,342.7488,URBAN,822.5972
4,S/LWAL+CDL/H:1,137.0995,URBAN,329.0389
4,W/LFM+CDL/H:1,4.4628,RURAL,10.7106
4,W/LFM+CDL/H:1,68.5498,URBAN,164.5194
5,CR/LFM+CDL/HBET:3-5,2.3269,RURAL,5.5844
5,CR/LFM+CDL/HBET:3-5,1768.7225,URBAN,4244.934
5,MR/LWAL+CDL/H:2,1.4084,RURAL,3.3801
5,MR/LWAL+CDL/H:2,576.7573,URBAN,1384.2176
5,MR/LWAL+CDL/H:2,2.2044,RURAL,5.2905
5,MR/LWAL+CDL/H:2,1191.9652,URBAN,2860.7164
5,S/LFM+CDL/H:1,192.2524,URBAN,461.4059
5,S/LWAL+CDL/H:1,76.901,URBAN,184.5624
5,W/LFM+CDL/H:1,38.4505,URBAN,92.2812
6,CR/LFM+CDL/HBET:3-5,4.5042,RURAL,10.8101
6,CR/LFM+CDL/HBET:3-5,436.7186,URBAN,1048.1247
6,MR/LWAL+CDL/H:2,2.7262,RURAL,6.543
6,MR/LWAL+CDL/H:2,142.4083,URBAN,341.7798
6,MR/LWAL+CDL/H:2,4.2671,RURAL,10.2412
6,MR/LWAL+CDL/H:2,294.3104,URBAN,706.3449
6,S/LFM+CDL/H:1,47.4694,URBAN,113.9266
6,S/LWAL+CDL/H:1,18.9878,URBAN,45.5706
6,W/LFM+CDL/H:1,9.4939,URBAN,22.7853
7,CR/LFM+CDL/HBET:3-5,1.3058,RURAL,3.134
7,CR/LFM+CDL/HBET:3-5,2111.3793,URBAN,5067.3104
7,MR/LWAL+CDL/H:2,688.4933,URBAN,1652.3838
7,MR/LWAL+CDL/H:2,1.2371,RURAL,2.9691
7,MR/LWAL+CDL/H:2,1422.8861,URBAN,3414.9266
7,S/LFM+CDL/H:1,229.4978,URBAN,550.7946
7,S/LWAL+CDL/H:1,91.7991,URBAN,220.3178
7,W/LFM+CDL/H:1,45.8996,URBAN,110.1589
