ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE,POPULATION
1,CR/LWAL+CDL/HBET:3-5,2926.0539,RURAL,17933.7209
1,CR/LWAL+CDL/HBET:3-5,8522.0491,URBAN,52231.4547
1,MUR+CB/LWAL+CDN/H:1,457.1959,RURAL,2802.1439
1,MUR+CB/LWAL+CDN/H:1,1331.5702,URBAN,8161.1648
1,MUR/LWAL+CDN/H:1,3200.3714,RURAL,19615.0073
1,MUR/LWAL+CDN/H:1,9320.9912,URBAN,57128.1536
1,MUR/LWAL+CDN/H:1,365.7567,RURAL,2241.7151
1,MUR/LWAL+CDN/H:1,1065.2561,URBAN,6528.9318
1,W/LFM+CDL/H:1,2194.5404,RURAL,13450.2907
1,W/LFM+CDL/H:1,6391.5368,URBAN,39173.591
2,CR/LWAL+CDL/HBET:3-5,2068.2259,RURAL,12676.1117
2,CR/LWAL+CDL/HBET:3-5,1723.8816,URBAN,10565.633
2,MUR+CB/LWAL+CDN/H:1,323.1603,RURAL,1980.6425
2,MUR+CB/LWAL+CDN/H:1,269.3565,URBAN,1650.8801
2,MUR/LWAL+CDN/H:1,2262.1221,RURAL,13864.4972
2,MUR/LWAL+CDN/H:1,1885.4955,URBAN,11556.1611
2,MUR/LWAL+CDN/H:1,258.5282,RURAL,1584.514
2,MUR/LWAL+CDN/H:1,215.4852,URBAN,1320.7041
2,W/LFM+CDL/H:1,1551.1694,RURAL,9507.0838
2,W/LFM+CDL/H:1,1292.9112,URBAN,7924.2247
3,CR/LWAL+CDL/HBET:3-5,2540.8798,RURAL,15572.9976
3,CR/LWAL+CDL/HBET:3-5,14597.0421,URBAN,89464.9555
3,MUR+CB/LWAL+CDN/H:1,397.0125,RURAL,2433.2809
3,MUR+CB/LWAL+CDN/H:1,2280.7878,URBAN,13978.8993
3,MUR/LWAL+CDN/H:1,2779.0873,RURAL,17032.9661
3,MUR/LWAL+CDN/H:1,15965.5147,URBAN,97852.2951
3,MUR/LWAL+CDN/H:1,317.61,RURAL,1946.6247
3,MUR/LWAL+CDN/H:1,1824.6303,URBAN,11183.1194
3,W/LFM+CDL/H:1,1905.6599,RURAL,11679.7482
3,W/LFM+CDL/H:1,10947.7815,URBAN,67098.7166
4,CR/LWAL+CDL/HBET:3-5,2661.481,RURAL,16312.1598
4,MUR+CB/LWAL+CDN/H:1,415.8564,RURAL,2548.775
4,MUR/LWAL+CDN/H:1,2910.9949,RURAL,17841.4248
4,MUR/LWAL+CDN/H:1,332.6851,RURAL,2039.02
4,W/LFM+CDL/H:1,1996.1108,RURAL,12234.1198
5,CR/LWAL+CDL/HBET:3-5,1898.575,RURAL,11636.3252
5,MUR+CB/LWAL+CDN/H:1,296.6523,RURAL,1818.1758
5,MUR/LWAL+CDN/H:1,2076.5664,RURAL,12727.2307
5,MUR/LWAL+CDN/H:1,237.3219,RURAL,1454.5406
5,W/LFM+CDL/H:1,1423.9313,RURAL,8727.2439
6,CR/LWAL+CDL/HBET:3-5,2529.2887,RURAL,15501.9559
6,MUR+CB/LWAL+CDN/H:1,395.2014,RURAL,2422.1806
6,MUR/LWAL+CDN/H:1,2766.4095,RURAL,16955.2642
