REGION,POPULATION,ID
Aartselaar,14335,20
Antwerpen,498473,21
Boechout,12764,22
Boom,17042,23
Borsbeek,10235,24
Brasschaat,37256,25
Brecht,27849,26
Edegem,21178,27
Essen,17963,28
Hemiksem,10346,29
Hove (Antwerpen),8198,30
Kalmthout,17960,31
Kapellen (Antwerpen),26930,32
Kontich,20631,33
Lint,8672,34
Mortsel,24897,36
Niel,9408,37
Ranst,18805,38
Rumst,14780,39
Schelle,8098,40
Schilde,19441,41
Schoten,33615,42
Stabroek,17963,43
Wijnegem,9055,44
Wommelgem,12405,45
Wuustwezel,19385,46
Zandhoven,12541,47
Zoersel,21455,48
Zwijndrecht,18677,49
Malle,14645,35
Berlaar,10900,50
Bonheiden,14686,51
Bornem,20739,52
Duffel,16779,53
Heist-op-den-Berg,40281,54
Lier,34200,55
Mechelen,82205,56
Nijlen,21833,57
Putte,16592,58
Puurs,16633,59
Sint-Amands,8149,60
Sint-Katelijne-Waver,20362,61
Willebroek,24569,62
Arendonk,13227,63
Baarle-Hertog,2603,64
Balen,21339,65
Beerse,17056,66
Dessel,9185,67
Geel,37529,68
Grobbendonk,11056,69
Herentals,27179,70
Herenthout,8741,71
Herselt,14400,72
Hoogstraten,20072,73
Hulshout,9986,74
Kasterlee,18168,75
Lille,16395,77
Meerhout,9817,78
Merksplas,8641,79
Mol,34529,80
Olen,11794,81
Oud-Turnhout,12924,82
Ravels,14455,83
Retie,10841,84
Rijkevorsel,11293,85
Turnhout,41385,86
Vorselaar,7560,87
Vosselaar,10501,88
Westerlo,24222,89
Laakdal,15439,76
Anderlecht,108940,1
Oudergem,31457,9
Sint-Agatha-Berchem,22819,11
Brussel,174383,2
Etterbeek,45430,4
Evere,36672,5
Vorst (Brussel-Hoofdstad),52028,18
Ganshoren,23130,6
Elsene,82854,3
Jette,48117,7
Koekelberg,20335,8
Sint-Jans-Molenbeek,92661,13
Sint-Gillis,48829,12
Sint-Joost-ten-Node,27820,14
Schaarbeek,127525,10
Ukkel,78406,17
Watermaal-Bosvoorde,24277,19
Sint-Lambrechts-Woluwe,51581,15
Sint-Pieters-Woluwe,39514,16
Asse,30595,199
Beersel,24409,200
Bever,2155,201
Dilbeek,40255,202
Galmaarden,8519,204
Gooik,9113,205
Grimbergen,35472,206
Halle (Halle-Vilvoorde),36347,207
Herne,6622,208
Hoeilaart,10429,209
Kampenhout,11252,210
Kapelle-op-den-Bos,9090,211
Liedekerke,12543,214
Londerzeel,17794,216
Machelen (Halle-Vilvoorde),13585,217
Meise,18353,218
Merchtem,15582,219
Opwijk,13474,220
Overijse,24533,221
Pepingen,4458,222
Sint-Pieters-Leeuw,31902,225
Steenokkerzeel,12092,226
Ternat,15085,227
Vilvoorde,40558,228
Zaventem,31299,231
Zemst,21990,232
Roosdaal,11303,223
Drogenbos,4945,203
Kraainem,13415,212
Linkebeek,4812,215
Sint-Genesius-Rode,17972,224
Wemmel,15326,229
Wezembeek-Oppem,13715,230
Lennik,8880,213
Affligem,12476,198
Aarschot,28647,233
Begijnendijk,9853,234
Bekkevoort,6097,235
Bertem,9570,236
Bierbeek,9508,237
Boortmeerbeek,11891,238
Boutersem,7696,239
Diest,23206,240
Geetbets,5932,241
Haacht,14195,243
Herent,20442,244
Hoegaarden,6647,245
Holsbeek,9712,246
Huldenberg,9471,247
Keerbergen,12749,248
Kortenaken,7817,249
Kortenberg,19158,250
Landen,15462,251
Leuven,97270,252
Lubbeek,13889,254
Oud-Heverlee,11012,255
Rotselaar,15768,256
Tervuren,21238,258
Tienen,32799,260
Tremelo,14606,261
Zoutleeuw,8246,262
Linter,7100,253
Scherpenheuvel-Zichem,22611,257
Tielt-Winge,10438,259
Glabbeek,5312,242
Bevekom,6742,326
Eigenbrakel,38572,327
Kasteelbrakel,9843,328
Chaumont-Gistoux,11491,330
Court-Saint-Etienne,9948,331
Genepiën,14913,332
Graven,12774,333
Incourt,4864,335
Itter,6460,336
Geldenaken,13431,337
Terhulpen,7479,338
Mont-Saint-Guibert,6896,340
Nijvel,26445,341
Perwijs (Nijvel),8104,344
Rixensart,22016,347
Tubeke,23857,348
Villers-la-Ville,10164,349
Waterloo,29699,351
Waver,33167,352
Chastre,6986,329
Hélécine,3213,334
Lasne,14079,339
Orp-Jauche,8267,342
Ottignies-Louvain-la-Neuve,31040,343
Ramillies,6162,345
Rebecq,10593,346
Walhain,6443,350
Beernem,15231,263
Blankenberge,19114,264
Brugge,117260,265
Damme,10845,266
Jabbeke,13710,267
Oostkamp,22560,269
Torhout,19993,270
Zedelgem,22375,271
Zuienkerke,2767,272
Knokke-Heist,34034,268
Diksmuide,16403,273
Houthulst,9652,274
Koekelare,8467,275
Kortemark,12187,276
Lo-Reninge,3320,277
Ieper,35218,279
Mesen,945,376
Poperinge,20010,281
Wervik,18278,283
Zonnebeke,12317,284
Heuvelland,8003,278
Langemark-Poelkapelle,7962,280
Vleteren,3716,282
Anzegem,14345,285
Avelgem,9671,286
Deerlijk,11314,287
Harelbeke,26819,288
Kortrijk,75223,289
Kuurne,12986,290
Lendelede,5653,291
Menen,32964,292
Waregem,36658,294
Wevelgem,31121,295
Zwevegem,24139,296
Spiere-Helkijn,2126,293
Bredene,16411,297
Gistel,11806,299
Ichtegem,13878,300
Middelkerke,18902,301
Oostende,69980,302
Oudenburg,9061,303
De Haan,12533,298
Hooglede,9971,304
Ingelmunster,10752,305
Izegem,27299,306
Ledegem,9603,307
Lichtervelde,8502,308
Moorslede,10870,309
Roeselare,58452,310
Staden,10980,311
Dentergem,8311,313
Meulebeke,11100,314
Oostrozebeke,7546,315
Pittem,6732,316
Ruiselede,5214,317
Tielt (Tielt),19779,318
Wielsbeke,9177,319
Wingene,14016,320
Ardooie,9072,312
Alveringem,4958,321
De Panne,10748,322
Koksijde,21994,323
Nieuwpoort,11398,324
Veurne,11571,325
Aalst (Aalst),81286,133
Denderleeuw,18890,134
Geraardsbergen,32477,136
Haaltert,17669,137
Herzele,17244,138
Lede,17896,139
Ninove,37132,140
Sint-Lievens-Houtem,9875,141
Zottegem,25084,142
Erpe-Mere,19420,135
Berlare,14588,143
Buggenhout,14183,144
Dendermonde,44318,145
Hamme (Dendermonde),24220,146
Laarne,12218,147
Lebbeke,18267,148
Waasmunster,10518,149
Wetteren,23920,150
Wichelen,11300,151
Zele,20778,152
Assenede,13896,153
Eeklo,20324,154
Kaprijke,6305,155
Maldegem,23088,156
Sint-Laureins,6546,157
Zelzate,12582,158
Aalter,19735,159
Deinze,29553,161
De Pinte,10290,160
Destelbergen,17672,162
Evergem,33277,163
Gavere,12457,164
Gent,248358,165
Knesselare,8187,166
Lochristi,21616,167
Lovendegem,9500,168
Melle,10879,169
Merelbeke,23402,170
Moerbeke (Gent),6037,171
Nazareth,11263,172
Nevele,11953,173
Oosterzele,13372,174
Sint-Martens-Latem,8391,175
Waarschoot,7940,176
Wachtebeke,7235,177
Zomergem,8172,178
Zulte,15130,179
Kruishoutem,8162,183
Oudenaarde,30025,186
Ronse,25202,187
Zingem,7209,189
Brakel,14191,180
Kluisbergen,6490,182
Wortegem-Petegem,6282,188
Horebeke,2081,181
Lierde,6501,184
Maarkedal,6457,185
Zwalm,8100,190
Beveren (Sint-Niklaas),46588,191
Kruibeke,15994,192
Lokeren,39623,193
Sint-Gillis-Waas,18811,194
Sint-Niklaas (Sint-Niklaas),72735,195
Stekene,17448,196
Temse,28586,197
Aat,28332,353
Beloeil,13761,354
Bernissart,11729,355
Brugelette,3490,356
Chièvres,6625,357
Elzele,5877,358
Vloesberg,3410,359
Frasnes-lez-Anvaing,11347,360
Chapelle-lez-Herlaimont,14433,362
Charleroi,204150,363
Châtelet,36093,364
Courcelles,30367,365
Farciennes,11045,366
Fleurus,22604,367
Fontaine-l’Evêque,17180,368
Gerpinnes,12230,369
Manage,22466,371
Montigny-le-Tilleul,10151,372
Pont-à-Celles,16842,373
Seneffe,10918,374
Aiseau-Presles,10650,361
Les Bons Villers,9102,370
Boussu,20105,378
Dour,16943,380
Frameries,21189,381
Hensies,6778,382
Jurbeke,10043,384
Lens,4250,385
Bergen,92721,386
Quaregnon,18989,387
Quiévrain,6688,389
Saint-Ghislain,22987,390
Colfontaine,20198,379
Honnelles,5031,383
Quévy,7829,388
Moeskroen,55257,377
Komen-Waasten,17810,375
’s Gravenbrakel,21313,391
Edingen,13006,393
La Louvière,78296,394
Lessen,18412,396
Le Roeulx,8282,395
Opzullik,8160,397
Zinnik,26309,398
Ecaussinnes,10633,392
Anderlues,11763,399
Beaumont,7084,400
Binche,32946,401
Chimay,9871,402
Erquelinnes,9752,403
Froidchapelle,3777,405
Lobbes,5695,407
Merbes-le-Château,4283,408
Momignies,5274,409
Thuin,14641,412
Estinnes,7727,404
Ham-sur-Heure-Nalinnes,13384,406
Morlanwelz,19203,410
Sivry-Rance,4884,411
Antoing,7667,413
Celles (Doornik),5496,415
Estaimpuis,10037,416
Pecq,5464,419
Péruwelz,17108,420
Rumes,5138,421
Doornik,69592,422
Brunehaut,7865,414
Leuze-en-Hainaut,13535,417
Mont-de-l’Enclus,3528,418
Amay,13727,423
Burdinne,2998,425
Clavier,4435,426
Ferrières,4713,428
Hamoir,3806,429
Héron,4949,430
Hoei,21204,431
Marchin,5242,432
Modave,3952,433
Nandrin,5744,434
Ouffet,2721,435
Verlaine,3809,437
Villers-Le-Bouillet,6339,438
Wanze,13131,439
Anthisnes,4080,424
Engis,5762,427
Tinlot,2587,436
Ans,27652,440
Awans,8859,441
Aywaille,11822,442
Bitsingen,8724,444
Beyne-Heusay,12036,443
Chaudfontaine,21000,446
Comblain-au-Pont,5394,447
Dalhem,6908,448
Esneux,13172,449
Fléron,16250,451
Herstal,38770,453
Juprelle,9040,454
Luik,195965,455
Oupeye,24177,457
Saint-Nicolas (Luik),23227,458
Seraing,63363,459
Soumagne,16277,460
Sprimont,13881,461
Wezet,17124,463
Grâce-Hollogne,21937,452
Blégny,13197,445
Flémalle,25351,450
Neupré,9868,456
Trooz,8369,462
Amel,5440,464
Aubel,4185,465
Baelen,4257,466
Büllingen,5720,467
Bütgenbach,5718,469
Dison,15147,470
Eupen,19099,471
Herve,17152,472
Jalhay,8305,473
Kelmis,10940,474
Lierneux,3486,475
Limburg,5786,476
Lontzen,5480,477
Malmedy,12232,478
Olne,3817,479
Pepinster,9726,480
Raeren,10488,482
Sankt Vith,9399,483
Spa,10544,484
Stavelot,6884,485
Stoumont,3208,486
Theux,12007,487
Verviers,56325,490
Weismes,7054,491
Welkenraedt,9655,492
Trois-Ponts,2511,489
Burg-Reuland,3975,468
Plombières,9890,481
Thimister-Clermont,5460,488
Berloz,2950,493
Braives,5853,494
Crisnée,3037,495
Donceel,2934,496
Fexhe-le-Haut-Clocher,3183,498
Geer,3197,499
Hannuit,15404,500
Lijsem,3210,501
Oerle,3570,502
Remicourt,5583,503
Saint-Georges-sur-Meuse,6520,504
Borgworm,14754,505
Wasseiges,2713,506
Faimes,3776,497
As,7867,90
Beringen,43258,91
Diepenbeek,18272,92
Genk,65051,93
Gingelom,8221,507
Halen,9257,94
Hasselt,73930,96
Herk-de-Stad,12282,97
Leopoldsburg,15114,99
Lummen,14344,100
Nieuwerkerken (Hasselt),6695,101
Opglabbeek,10127,102
Sint-Truiden,40130,103
Tessenderlo,17965,104
Zonhoven,20858,105
Zutendaal,7074,106
Ham,10397,95
Heusden-Zolder,32065,98
Bocholt,12731,107
Bree,15263,108
Kinrooi,12291,113
Lommel,33227,114
Maaseik,24747,115
Neerpelt,16588,117
Overpelt,14299,118
Peer,16185,119
Hamont-Achel,14199,110
Hechtel-Eksel,11886,111
Houthalen-Helchteren,30356,112
Meeuwen-Gruitrode,12927,116
Dilsen-Stokkem,19868,109
Alken,11301,120
Bilzen,31267,121
Borgloon,10474,122
Heers,7106,123
Herstappe,85,124
Hoeselt,9608,125
Kortessem,8336,126
Lanaken,25777,127
Riemst,16232,129
Tongeren,30374,130
Wellen,7392,132
Maasmechelen,37225,128
Voeren,4200,131
Aarlen,28023,508
Attert,5122,509
Aubange,15858,510
Martelange,1731,511
Messancy,7863,512
Bastenaken,15059,513
Bertogne,3176,514
Fauvillers,2236,515
Houffalize,5029,517
Vielsalm,7536,520
Vaux-sur-Sûre,5131,519
Gouvy,5394,516
Sainte-Ode,2442,518
Durbuy,11186,521
Erezée,3117,522
Hotton,5600,523
La Roche-en-Ardenne,4306,524
Marche-en-Famenne,17418,526
Nassogne,5208,527
Rendeux,2688,528
Tenneville,2691,529
Manhay,3442,525
Bertrix,8422,530
Bouillon,5467,531
Daverdisse,1405,532
Herbeumont,1557,533
Léglise,4760,534
Libin,4851,535
Neufchâteau (Neufchâteau),7093,537
Paliseul,5208,538
Saint-Hubert,5709,539
Tellin,2500,540
Wellin,3000,541
Libramont-Chevigny,10488,536
Chiny,5154,542
Etalle,5602,543
Florenville,5483,544
Meix-devant-Virton,2738,546
Musson,4410,547
Saint-Léger (Virton),3314,549
Tintigny,3903,550
Virton,11587,551
Habay,8219,545
Rouvroy,2079,548
Anhée,7034,552
Beauraing,9005,553
Bièvre,3172,554
Ciney,15714,555
Dinant,13780,556
Gedinne,4465,557
Hamois,7225,558
Havelange,5057,560
Houyet,4562,561
Onhaye,3130,562
Rochefort,12403,563
Somme-Leuze,4963,564
Yvoir,9274,566
Hastière,5664,559
Vresse-sur-Semois,2853,565
Andenne,25537,567
Assesse,6660,568
Eghezée,15275,569
Floreffe,7818,571
Fosses-la-Ville,9904,572
Gesves,6749,574
Mettet,12711,577
Namen,110175,578
Ohey,4697,579
Profondeville,11562,580
Sombreffe,8140,582
Sambreville,27486,581
Fernelmont,7150,570
Jemeppe-sur-Sambre,18494,575
La Bruyère,8861,576
Gembloux,23749,573
Cerfontaine,4833,583
Couvin,13795,584
Doische,2896,585
Florennes,11512,586
Philippeville,9053,587
Walcourt,18114,589
Viroinval,5914,588
