REGION,POPULATION,ID
Brcko,43007,1
Foca - Fbih,1933,2
Gorazde,20897,3
Pale - Fbih,904,4
Bosansko Grahovo,2449,5
Drvar,7036,6
Glamoc,3860,7
Kupres - Fbih,5057,8
Livno,34133,9
Tomislavgrad,31592,10
Bugojno,31470,11
Busovaca,17910,12
Dobreti?i,1629,13
Donji Vakuf,13985,14
Fojnica,12356,15
Gornji Vakuf-Uskoplje,20933,16
Jajce,27258,17
Kiseljak,20722,18
Kresevo,5273,19
Novi Travnik,23832,20
Travnik,53482,21
Vitez,25836,22
capljina,26157,23
citluk,18140,24
Jablanica,10111,25
Konjic,25148,26
Grad Mostar,105797,27
Neum,4653,28
Prozor,14280,29
Ravno,3219,30
Stolac,14502,31
Domaljevac-samac,4771,32
Odzak,18821,33
Orasje,19861,34
Centar Sarajevo,55181,35
Hadzi?i,23891,36
Ilidza,66730,37
Ilijas,19603,38
Novi Grad Sarajevo,118553,39
Novo Sarajevo,64814,40
Stari Grad Sarajevo,36976,41
Trnovo - Fbih,1502,42
Vogos?a,26343,43
zivinice,57765,44
celi?,10502,45
Banovi?i,22773,46
Doboj-Istok,10248,47
Gracanica,45220,48
Gradacac,39340,49
Kalesija,33053,50
Kladanj,12348,51
Lukavac,44520,52
Sapna,11178,53
Srebrenik,39678,54
Teocak,7424,55
Tuzla,110979,56
Biha?,56261,57
Bosanska Krupa,25545,58
Bosanski Petrovac,7328,59
Buzim,19340,60
Cazin,66149,61
Kljuc,16744,62
Sanski Most,41475,63
Velika Kladusa,40419,64
siroki Brijeg,28929,65
Grude,17308,66
Ljubuski,28184,67
Posusje,20477,68
zepce,30219,69
Breza,14168,70
Doboj-Jug,4137,71
Kakanj,37441,72
Maglaj,23146,73
Olovo,10175,74
Tesanj,43063,75
Vares,8892,76
Visoko,39938,77
Zavidovi?i,35988,78
Zenica,110663,79
sipovo,10293,80
celinac,15548,81
Banja Luka,185042,82
Gradiska,51727,83
Kostajnica,5977,84
Kozarska Dubica,21524,85
Istocni Drvar,79,86
Jezero,1144,87
Kotor Varos,19710,88
Krupa Na Uni,1597,89
Kupres - Rs,300,90
Laktasi,34966,91
Mrkonji? Grad,16671,92
Novi Grad,27115,93
Ostra Luka,2786,94
Petrovac,361,95
Prijedor,89397,96
Prnjavor,35956,97
Ribnik,6048,98
Knezevo,9793,99
Srbac,17587,100
Tesli?,38536,101
Bijeljina,107715,102
Lopare,15357,103
Ugljevik,15710,104
Samac,17273,105
Brod,16619,106
Derventa,27404,107
Doboj,71441,108
Donji zabar,3809,109
Modrica,25720,110
Pelagi?evo,5220,111
Petrovo,6474,112
Vukosavlje,4667,113
cajnice,4895,114
Foca - Rs,18288,115
Kalinovik,2029,116
Novo Gorazde,3117,117
Rudo,7963,118
Visegrad,10668,119
Istocno Novo Sarajevo,10642,120
Han Pijesak,3530,121
Istocna Ilidza,14763,122
Istocni Stari Grad,1131,123
Pale - Rs,20909,124
Rogatica,10723,125
Sokolac,12021,126
Trnovo - Rs,2050,127
Berkovi?i,2114,128
Bile?a,10807,129
Gacko,8990,130
Ljubinje,3511,131
Istocni Mostar,257,132
Nevesinje,12961,133
Trebinje,29198,134
sekovi?i,6761,135
Bratunac,20340,136
Mili?i,11441,137
Osmaci,6016,138
Srebrenica,13409,139
Vlasenica,11467,140
Zvornik,58856,141
Usora,6603,142
