REGION,POPULATION,ID
Bansko,13125,1
Belitsa,9927,2
Blagoevgrad,77441,3
Gotse Delchev,31236,4
Garmen,14981,5
Kresna,5441,6
Petrich,54006,7
Razlog,20598,8
Sandanski,40470,9
Satovcha,15444,10
Simitli,14283,11
Strumyani,5778,12
Hadzhidimovo,10091,13
Yakoruda,10731,14
Aitos,28687,15
Burgas,212902,16
Kameno,10393,17
Karnobat,25477,18
Malko Tarnovo,3793,19
Nesebar,22348,20
Pomorie,27658,21
Primorsko,6064,22
Ruen,29101,23
Sozopol,12610,24
Sredets,14934,25
Sungurlare,12559,26
Tsarevo,9291,27
Avren,8574,28
Aksakovo,20426,29
Beloslav,11023,30
Byala,3242,31
Varna,343704,32
Vetrino,5415,33
Valchi Dol,10052,34
Devnya,8730,35
Dolni Chiflik,19360,36
Dalgopol,14389,37
Provadiya,22934,38
Suvorovo,7225,39
Veliko Tarnovo,88670,40
Gorna Orhyahovitsa,46685,41
Elena,9434,42
Zlataritsa,3991,43
Lyaskovets,13397,44
Pavlikeni,23869,45
Polski Trambesh,14451,46
Svishtov,42734,47
Strazhitsa,12721,48
Suhindol,2542,49
Belogradchik,6602,50
Boinitsa,1341,51
Bregovo,5514,52
Vidin,63257,53
Gramada,2007,54
Dimovo,6514,55
Kula,4717,56
Makresh,1630,57
Novo Selo,2979,58
Ruzh,4374,59
Chuprene,2083,60
Borovan,5714,61
Byala Slatina,24606,62
Vratsa,73894,63
Kozloduy,21180,64
Krivodol,9390,65
Mezdra,21748,66
Miziya,7570,67
Oryahovo,11522,68
Roman,6223,69
Hairedin,5001,70
Gabrovo,65268,71
Dryanovo,9685,72
Sevlievo,35995,73
Tryavna,11754,74
Balchik,20317,75
General Toshevo,15097,76
Dobrich,91030,77
Dobrich-selska,22081,78
Kavarna,15358,79
Krushari,4547,80
Tervel,16178,81
Shabla,5069,82
Ardino,11572,83
Dzhebel,8167,84
Balchik,21916,85
Krumovgrad,17823,86
Kardzhali,67460,87
Momchilgrad,16263,88
Chernoochene,9607,89
BobovDol,9067,90
Boboshevo,2870,91
Dupnitsa,44988,92
Kocherinovo,5214,93
Kyustendil,60681,94
Nevestino,2821,95
Rila,2888,96
Sapareva Banya,7528,97
Treklyano,629,98
Apriltsi,3338,99
Letnitsa,3776,100
Lovech,49738,101
Loukovit,18125,102
Teteven,21307,103
Troyan,32399,104
Ugarchin,6505,105
Yablanitsa,6234,106
Berkovitsa,18803,107
Boichinovtsi,9272,108
Brusartsi,5078,109
Valchedram,9900,110
Varshets,8203,111
Georgy Damyanovo,2771,112
Lom,28139,113
Medkovets,4029,114
Montana,53856,115
Chiprovtsi,3715,116
Yakimovo,4332,117
Batak,6144,118
Belovo,8891,119
Bratsigovo,9648,120
Velingrad,37100,121
Lesichevo,5408,122
Pazardzhik,114817,123
Panagyurishte,25263,124
Peshtera,18899,125
Rakitovo,15064,126
Septemvri,25794,127
Strelcha,4913,128
Surnitsa,3607,129
Breznik,6945,130
Zemen,2762,131
Kovachevtsi,1600,132
Pernik,97181,133
Radomir,20896,134
