REGION,POPULATION,ID
Dugo Selo,17466,539
Ivani?-Grad,14548,542
Jastrebarsko,15866,544
Samobor,37633,556
Sveta Nedelja,18059,557
Sveti Ivan Zelina,15959,558
Velika Gorica,63517,98
Vrbovec,14797,559
Zapreši?,25223,560
Bedenica,1432,534
Bistra,6632,93
Brckovljani,6837,535
Brdovec,11134,536
Dubrava,5245,537
Dubravica,1437,538
Farkaševac,1937,540
Gradec,3681,541
Jakovlje,3930,543
Klin?a Sela,5231,545
Kloštar Ivani?,6091,546
Kraši?,2640,547
Kravarsko,1987,94
Križ,6963,548
Luka,1351,549
Marija Gorica,2233,550
Orle,1975,95
Pisarovina,3689,551
Pokupsko,2224,96
Preseka,1448,552
Puš?a,2700,553
Rakovec,1252,554
Rugvica,7871,555
Stupnik,3735,97
Žumberak,883,533
Donja Stubica,5680,190
Klanjec,2915,195
Krapina,12480,198
Oroslavje,6138,206
Pregrada,6594,208
Zabok,8994,214
Zlatar,6096,217
Bedekov?ina,8041,187
Budinš?ina,2503,188
Desini?,2933,189
?urmanec,4235,186
Gornja Stubica,5284,191
Hraš?ina,1617,192
Hum na Sutli,5060,193
Jesenje,1560,194
Konjš?ina,3790,196
Kraljevec na Sutli,1727,197
Krapinske Toplice,5367,199
Kumrovec,1588,200
Lobor,3188,201
Ma?e,2534,202
Marija Bistrica,5976,203
Mihovljan,1938,204
Novi Golubovec,996,205
Petrovsko,2656,207
Radoboj,3387,209
Stubi?ke Toplice,2805,210
Sveti Križ Za?retje,6165,211
Tuhelj,2104,212
Veliko Trgoviš?e,4945,213
Zagorska Sela,996,215
Zlatar-Bistrica,2600,216
Glina,9283,354
Hrvatska Kostajnica,2756,357
Kutina,22760,359
Novska,13518,364
Petrinja,24671,365
Sisak,47768,367
Donji Kukuruzari,1634,352
Dvor,5570,353
Gvozd,2970,355
Hrvatska Dubica,2089,356
Jasenovac,1997,358
Lekenik,6032,360
Lipovljani,3455,361
Majur,1185,362
Martinska Ves,3488,363
Popova?a,11905,366
Sunja,5748,368
Topusko,2985,369
Velika Ludina,2625,370
Duga Resa,11180,145
Karlovac,55705,148
Ogulin,13915,152
Ozalj,6817,153
Slunj,5076,158
Barilovi?,2990,141
Bosiljevo,1284,142
Cetingrad,2027,143
Dragani?,2741,144
Generalski Stol,2642,146
Josipdol,3773,147
Kamanje,891,567
Krnjak,1985,149
Lasinja,1624,150
Netreti?,2862,151
Plaški,2090,154
Rakovica,2387,155
Ribnik,475,156
Saborsko,632,157
Tounj,1150,159
Vojni?,4764,160
Žakanje,1889,140
Ivanec,13758,435
Lepoglava,8283,438
Ludbreg,8478,440
Novi Marof,13246,443
Varaždin,46946,449
Varaždinske Toplice,6364,450
Bednja,3992,427
Beretinec,2176,428
Breznica,2200,430
Brezni?ki Hum,1356,429
Cestica,5806,431
Donja Vo?a,2443,432
Gornji Kneginec,5349,434
Jalžabet,3615,436
Klenovnik,2022,437
Ljubeš?ica,1858,439
Mali Bukovec,2212,441
Martijanec,3843,433
Maruševec,6381,442
Petrijanec,4812,444
Sra?inec,4842,445
Sveti ?ur?,3804,446
