ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE
1,CR/LFINF+CDL/HBET:4-10,136.853145,RURAL
1,CR/LFINF+CDL/HBET:4-10,765.84336,URBAN
1,CR/LWAL+CDL/HBET:4-10,178.851345,RURAL
1,CR/LWAL+CDL/HBET:4-10,1000.86933,URBAN
1,MUR+CB/LWAL+CDN/HBET:1-2,118.3199,RURAL
1,MUR+CB/LWAL+CDN/HBET:1-2,662.1298,URBAN
1,MUR+CL/LWAL+CDN/HBET:1-3,236.6399,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-3,1324.2595,URBAN
1,MUR+CL/LWAL+CDN/HBET:1-4,493.179,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,2759.8772,URBAN
1,MUR+CL/LWAL+CDN/HBET:1-4,378.6238,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,2118.8152,URBAN
1,MUR+ST/LWAL+CDN/HBET:1-4,331.2958,RURAL
1,MUR+ST/LWAL+CDN/HBET:1-4,1853.9633,URBAN
1,W/LPB+CDL/HBET:1-3,10.7564,RURAL
1,W/LPB+CDL/HBET:1-3,60.1936,URBAN
1,CR/LFINF+CDN/HBET:4-10,775.501155,RURAL
1,CR/LFINF+CDN/HBET:4-10,4339.77904,URBAN
1,CR/LWAL+CDN/HBET:4-10,1013.490955,RURAL
1,CR/LWAL+CDN/HBET:4-10,5671.59287,URBAN
2,CR/LFINF+CDL/HBET:4-10,168.26907,RURAL
2,CR/LFINF+CDL/HBET:4-10,844.46379,URBAN
2,CR/LWAL+CDL/HBET:4-10,219.908355,RURAL
2,CR/LWAL+CDL/HBET:4-10,1103.6172,URBAN
2,MUR+CB/LWAL+CDN/HBET:1-2,145.4814,RURAL
2,MUR+CB/LWAL+CDN/HBET:1-2,730.1031,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-3,290.9628,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-3,1460.2062,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-4,606.3929,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,3043.2024,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-4,465.5405,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,2336.3299,URBAN
2,MUR+ST/LWAL+CDN/HBET:1-4,407.3479,RURAL
2,MUR+ST/LWAL+CDN/HBET:1-4,2044.2887,URBAN
2,W/LPB+CDL/HBET:1-3,13.2256,RURAL
2,W/LPB+CDL/HBET:1-3,66.373,URBAN
2,CR/LFINF+CDN/HBET:4-10,953.52473,RURAL
2,CR/LFINF+CDN/HBET:4-10,4785.29481,URBAN
2,CR/LWAL+CDN/HBET:4-10,1246.147345,RURAL
2,CR/LWAL+CDN/HBET:4-10,6253.8308,URBAN
3,CR/LFINF+CDL/HBET:4-10,418.99827,RURAL
3,CR/LFINF+CDL/HBET:4-10,594.548385,URBAN
3,CR/LWAL+CDL/HBET:4-10,547.58262,RURAL
3,CR/LWAL+CDL/HBET:4-10,777.00648,URBAN
3,MUR+CB/LWAL+CDN/HBET:1-2,362.2558,RURAL
3,MUR+CB/LWAL+CDN/HBET:1-2,514.0322,URBAN
3,MUR+CL/LWAL+CDN/HBET:1-3,724.5117,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-3,1028.0645,URBAN
3,MUR+CL/LWAL+CDN/HBET:1-4,1509.9482,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,2142.5799,URBAN
3,MUR+CL/LWAL+CDN/HBET:1-4,1159.2187,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,1644.9032,URBAN
3,MUR+ST/LWAL+CDN/HBET:1-4,1014.3163,RURAL
3,MUR+ST/LWAL+CDN/HBET:1-4,1439.2903,URBAN
3,W/LPB+CDL/HBET:1-3,32.9323,RURAL
3,W/LPB+CDL/HBET:1-3,46.7302,URBAN
3,CR/LFINF+CDN/HBET:4-10,2374.32353,RURAL
3,CR/LFINF+CDN/HBET:4-10,3369.107515,URBAN
3,CR/LWAL+CDN/HBET:4-10,3102.96818,RURAL
3,CR/LWAL+CDN/HBET:4-10,4403.03672,URBAN
4,CR/LFINF+CDL/HBET:4-10,355.705665,RURAL
4,CR/LFINF+CDL/HBET:4-10,509.13438,URBAN
4,CR/LWAL+CDL/HBET:4-10,464.86647,RURAL
4,CR/LWAL+CDL/HBET:4-10,665.38017,URBAN
4,MUR+CB/LWAL+CDN/HBET:1-2,307.5346,RURAL
4,MUR+CB/LWAL+CDN/HBET:1-2,440.1853,URBAN
4,MUR+CL/LWAL+CDN/HBET:1-3,615.0691,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-3,880.3707,URBAN
4,MUR+CL/LWAL+CDN/HBET:1-4,1281.86,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,1834.7726,URBAN
4,MUR+CL/LWAL+CDN/HBET:1-4,984.1106,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,1408.5931,URBAN
