ID,POPULATION
1,120259
2,125758
3,132718
4,119250
5,86782
6,114795
7,128464
8,187304
9,61333
10,92427
11,70460
12,51081
13,70765
14,102768
15,114853
16,106847
17,206501
18,378965
19,156517
20,89342
21,113288
22,92989
23,118452
24,91724
25,162820
26,79686
27,112206
28,79086
29,120058
30,118875
31,95091
32,112181
33,72460
34,113330
35,103152
36,89906
37,170702
38,74840
39,96329
40,211853
41,263075
42,152222
43,177173
44,329961
45,123558
46,40486
47,232032
48,133023
49,109539
50,139178
51,104371
52,167750
53,105112
54,60727
55,87622
56,62033
57,75718
58,184871
59,47613
60,53125
61,108998
62,83873
63,64100
64,63800
65,48022
66,44794
67,22923
68,29923
69,27394
70,12845
71,29857
72,15028
73,18036
74,13452
75,49237
76,71140
77,136084
78,84212
79,109775
80,42600
81,112189
82,53382
83,95445
84,86056
85,159133
86,96703
87,74333
88,104169
89,123736
90,94360
91,113662
92,151451
93,124799
94,55498
95,107320
96,143814
97,145047
98,192849
