REGION,ID,POPULATION
Albertslund,1,27821
Allerød,2,25236
Ballerup,3,48233
Bornholm,4,39627
Brøndby,5,35538
Christiansø,6,91
Dragør,7,14269
Egedal,8,43006
Fredensborg,9,40778
Frederiksberg,10,105132
Frederikssund,11,45162
Furesø,12,40798
Gentofte,13,75878
Gladsaxe,14,69483
Glostrup,15,22628
Gribskov,16,41269
Høje-Taastrup,17,50514
Hørsholm,18,25113
Halsnæs,19,31315
Helsingør,20,62676
Herlev,21,28546
Hillerød,22,50351
Hvidovre,23,53254
Ishøj,24,22894
Copenhagen,25,611822
Lyngby-Taarbæk,26,55757
Rødovre,27,39107
Rudersdal,28,56159
Tårnby,29,43089
Vallensbæk,30,16031
Aarhus,31,340376
Favrskov,32,48194
Hedensted,33,46646
Herning,34,88727
Holstebro,35,58373
Horsens,36,89629
Ikast-Brande,37,41290
Lemvig,38,20133
Norddjurs,39,38180
Odder,40,22595
Randers,41,98185
Ringkøbing-Skjern,42,57012
Samsø,43,3729
Silkeborg,44,91853
Skanderborg,45,60996
Skive,46,46557
Struer,47,21238
Syddjurs,48,42392
Viborg,49,96880
Aalborg,50,213467
Brønderslev,51,36158
Frederikshavn,52,60171
Hjørring,53,65298
Jammerbugt,54,38639
Læsø,55,1789
Mariagerfjord,56,42088
Morsø,57,20551
Rebild,58,29765
Thisted,59,43751
Vesthimmerlands,60,37285
Faxe,61,36101
Greve,62,50012
Guldborgsund,63,61229
Holbæk,64,71026
Køge,65,60381
Kalundborg,66,48994
Lejre,67,27549
Lolland,68,42084
Næstved,69,82887
Odsherred,70,33114
Ringsted,71,34403
Roskilde,72,87180
Slagelse,73,78973
Solrød,74,22374
Sorø,75,29635
Stevns,76,22731
Vordingborg,77,46067
Ærø,78,6199
Aabenraa,79,59078
Assens,80,41418
Billund,81,26491
Esbjerg,82,116045
Faaborg-Midtfyn,83,51477
Fanø,84,3403
Fredericia,85,51158
Haderslev,86,55941
Kerteminde,87,23797
Kolding,88,92491
Langeland,89,12605
Middelfart,90,38122
Nordfyns,91,29587
Nyborg,92,32018
Odense,93,202250
Sønderborg,94,74684
Svendborg,95,58620
Tønder,96,37727
Varde,97,50324
Vejen,98,42893
Vejle,99,113978
