ID_1,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE
1,CR/LFINF+CDL/H:3,5073.8792,RURAL
1,CR/LFINF+CDL/H:3,41319.6039,URBAN
1,CR/LWAL+CDL/HBET:4-10,261.832,RURAL
1,CR/LWAL+CDL/HBET:4-10,2132.2529,URBAN
1,MUR+CB/LWAL+CDN/HBET:1-2,1415.308,RURAL
1,MUR+CB/LWAL+CDN/HBET:1-2,11525.6915,URBAN
1,MUR+CB/LWAL+CDN/HBET:1-4,134.4543,RURAL
1,MUR+CB/LWAL+CDN/HBET:1-4,1094.9407,URBAN
1,MUR+CL/LWAL+CDN/HBET:1-4,84.9185,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,691.5415,URBAN
1,MUR+CL/LWAL+CDN/HBET:1-4,622.7355,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,5071.3042,URBAN
1,W/LPB+CDL/HBET:1-3,912.8737,RURAL
1,W/LPB+CDL/HBET:1-3,7434.071,URBAN
1,W/LWAL+CDL/HBET:1-3,318.4443,RURAL
1,W/LWAL+CDL/HBET:1-3,2593.2806,URBAN
2,CR/LFINF+CDL/H:3,927.8218,RURAL
2,CR/LWAL+CDL/HBET:4-10,47.8792,RURAL
2,MUR+CB/LWAL+CDN/HBET:1-2,258.8066,RURAL
2,MUR+CB/LWAL+CDN/HBET:1-4,24.5866,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,15.5284,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,113.8749,RURAL
2,W/LPB+CDL/HBET:1-3,166.9303,RURAL
2,W/LWAL+CDL/HBET:1-3,58.2315,RURAL
3,CR/LFINF+CDL/H:3,1678.4434,RURAL
3,CR/LFINF+CDL/H:3,14286.5166,URBAN
3,CR/LWAL+CDL/HBET:4-10,86.6142,RURAL
3,CR/LWAL+CDL/HBET:4-10,737.24,URBAN
3,MUR+CB/LWAL+CDN/HBET:1-2,468.1851,RURAL
3,MUR+CB/LWAL+CDN/HBET:1-2,3985.0813,URBAN
3,MUR+CB/LWAL+CDN/HBET:1-4,44.4776,RURAL
3,MUR+CB/LWAL+CDN/HBET:1-4,378.5827,URBAN
3,MUR+CL/LWAL+CDN/HBET:1-4,28.0911,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,239.1049,URBAN
3,MUR+CL/LWAL+CDN/HBET:1-4,206.0014,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,1753.4358,URBAN
3,W/LPB+CDL/HBET:1-3,301.9794,RURAL
3,W/LPB+CDL/HBET:1-3,2570.3775,URBAN
3,W/LWAL+CDL/HBET:1-3,105.3416,RURAL
3,W/LWAL+CDL/HBET:1-3,896.6433,URBAN
4,CR/LFINF+CDL/H:3,1917.4009,RURAL
4,CR/LFINF+CDL/H:3,1626.6155,URBAN
4,CR/LWAL+CDL/HBET:4-10,98.9454,RURAL
4,CR/LWAL+CDL/HBET:4-10,83.9397,URBAN
4,MUR+CB/LWAL+CDN/HBET:1-2,534.8399,RURAL
4,MUR+CB/LWAL+CDN/HBET:1-2,453.7282,URBAN
4,MUR+CB/LWAL+CDN/HBET:1-4,50.8098,RURAL
4,MUR+CB/LWAL+CDN/HBET:1-4,43.1042,URBAN
4,MUR+CL/LWAL+CDN/HBET:1-4,32.0904,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,27.2237,URBAN
4,MUR+CL/LWAL+CDN/HBET:1-4,235.3295,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,199.6404,URBAN
4,W/LPB+CDL/HBET:1-3,344.9717,RURAL
4,W/LPB+CDL/HBET:1-3,292.6547,URBAN
4,W/LWAL+CDL/HBET:1-3,120.339,RURAL
4,W/LWAL+CDL/HBET:1-3,102.0888,URBAN
5,CR/LFINF+CDL/H:3,2224.9558,RURAL
5,CR/LFINF+CDL/H:3,1222.1607,URBAN
5,CR/LWAL+CDL/HBET:4-10,114.8164,RURAL
5,CR/LWAL+CDL/HBET:4-10,63.0683,URBAN
5,MUR+CB/LWAL+CDN/HBET:1-2,620.6292,RURAL
5,MUR+CB/LWAL+CDN/HBET:1-2,340.9095,URBAN
5,MUR+CB/LWAL+CDN/HBET:1-4,58.9598,RURAL
5,MUR+CB/LWAL+CDN/HBET:1-4,32.3864,URBAN
5,MUR+CL/LWAL+CDN/HBET:1-4,37.2378,RURAL
5,MUR+CL/LWAL+CDN/HBET:1-4,20.4546,URBAN
5,MUR+CL/LWAL+CDN/HBET:1-4,273.0769,RURAL
