ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE
1,CR/LFINF+CDL/H:3,11098.351,RURAL
1,CR/LFINF+CDL/H:3,7910.1543,URBAN
1,CR/LWAL+CDL/HBET:4-10,654.9632,RURAL
1,CR/LWAL+CDL/HBET:4-10,466.8135,URBAN
1,MUR+CB/LWAL+CDN/HBET:1-2,6245.0739,RURAL
1,MUR+CB/LWAL+CDN/HBET:1-2,4451.0665,URBAN
1,MUR+CB/LWAL+CDN/HBET:1-4,533.795,RURAL
1,MUR+CB/LWAL+CDN/HBET:1-4,380.453,URBAN
1,MUR+CL/LWAL+CDN/HBET:1-4,225.9623,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,161.0506,URBAN
1,MUR+CL/LWAL+CDN/HBET:1-4,1296.8271,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,924.2907,URBAN
1,W/LPB+CDL/HBET:1-3,3025.9299,RURAL
1,W/LPB+CDL/HBET:1-3,2156.6782,URBAN
1,W/LWAL+CDL/HBET:1-3,1319.7508,RURAL
1,W/LWAL+CDL/HBET:1-3,940.6292,URBAN
2,CR/LFINF+CDL/H:3,15344.0399,RURAL
2,CR/LFINF+CDL/H:3,12512.9794,URBAN
2,CR/LWAL+CDL/HBET:4-10,905.5202,RURAL
2,CR/LWAL+CDL/HBET:4-10,738.4467,URBAN
2,MUR+CB/LWAL+CDN/HBET:1-2,8634.1351,RURAL
2,MUR+CB/LWAL+CDN/HBET:1-2,7041.0893,URBAN
2,MUR+CB/LWAL+CDN/HBET:1-4,737.999,RURAL
2,MUR+CB/LWAL+CDN/HBET:1-4,601.8341,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-4,312.4045,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,254.7641,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-4,1792.93,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,1462.1245,URBAN
2,W/LPB+CDL/HBET:1-3,4183.5033,RURAL
2,W/LPB+CDL/HBET:1-3,3411.6238,URBAN
2,W/LWAL+CDL/HBET:1-3,1824.6232,RURAL
2,W/LWAL+CDL/HBET:1-3,1487.9701,URBAN
3,CR/LFINF+CDL/H:3,1425.5447,RURAL
3,CR/LFINF+CDL/H:3,1897.8574,URBAN
3,CR/LWAL+CDL/HBET:4-10,84.1277,RURAL
3,CR/LWAL+CDL/HBET:4-10,112.001,URBAN
3,MUR+CB/LWAL+CDN/HBET:1-2,802.1581,RURAL
3,MUR+CB/LWAL+CDN/HBET:1-2,1067.9298,URBAN
3,MUR+CB/LWAL+CDN/HBET:1-4,68.5641,RURAL
3,MUR+CB/LWAL+CDN/HBET:1-4,91.2808,URBAN
3,MUR+CL/LWAL+CDN/HBET:1-4,29.0241,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,38.6404,URBAN
3,MUR+CL/LWAL+CDN/HBET:1-4,166.5729,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,221.762,URBAN
3,W/LPB+CDL/HBET:1-3,388.6702,RURAL
3,W/LPB+CDL/HBET:1-3,517.4447,URBAN
3,W/LWAL+CDL/HBET:1-3,169.5174,RURAL
3,W/LWAL+CDL/HBET:1-3,225.6821,URBAN
4,CR/LFINF+CDL/H:3,10909.3799,RURAL
4,CR/LFINF+CDL/H:3,7732.2689,URBAN
4,CR/LWAL+CDL/HBET:4-10,643.8111,RURAL
4,CR/LWAL+CDL/HBET:4-10,456.3157,URBAN
4,MUR+CB/LWAL+CDN/HBET:1-2,6138.7393,RURAL
4,MUR+CB/LWAL+CDN/HBET:1-2,4350.9699,URBAN
4,MUR+CB/LWAL+CDN/HBET:1-4,524.7061,RURAL
4,MUR+CB/LWAL+CDN/HBET:1-4,371.8973,URBAN
4,MUR+CL/LWAL+CDN/HBET:1-4,222.1148,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,157.4289,URBAN
4,MUR+CL/LWAL+CDN/HBET:1-4,1274.7461,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,903.505,URBAN
4,W/LPB+CDL/HBET:1-3,2974.4075,RURAL
4,W/LPB+CDL/HBET:1-3,2108.1784,URBAN
4,W/LWAL+CDL/HBET:1-3,1297.2795,RURAL
