REGION,POPULATION,ID
Komotini,66919,1110101
Arriana,16577,1110102
Iasmos,13810,1110103
Maroneia-Sapes,14733,1110104
Drama,58944,1110201
Doxato,14516,1110202
Kato Nevrokopi,7860,1110203
Paranesti,3901,1110204
Prosotsani,13066,1110205
Alexandroupoli,72959,1110301
Didymoteicho,19493,1110302
Orestiada,37695,1110303
Samothrace,2859,1110304
Soufli,14941,1110305
Thasos,13770,1110401
Kavala,70501,1110501
Nestos,22331,1110502
Pangaio,32085,1110503
Xanthi,65133,1110601
Abdera,19005,1110602
Myki,15540,1110603
Topeiros,11544,1110604
Thessaloniki,325182,1120701
Ampelokipoi-Menemeni,52127,1120702
Volvi,23478,1120703
Delta,45839,1120704
Thermaikos,50264,1120705
Thermi,53201,1120706
Kalamaria,91518,1120707
Kordelio-Evosmos,101753,1120708
Langadas,41103,1120709
Neapoli-Sykies,84741,1120710
Pavlos Melas,99245,1120711
Pylaia-Chortiatis,70110,1120712
Chalkidona,33673,1120713
Oraiokastro,38317,1120714
Veria,66547,1120801
Alexandria,41570,1120802
Naousa,32494,1120803
Kilkis,51926,1120901
Paionia,28493,1120902
Edessa,28814,1121001
Almopia,27556,1121002
Pella,63122,1121003
Skydra,20188,1121004
Katerini,85851,1121101
Dio-Olympos,25668,1121102
Pydna-Kolindros,15179,1121103
Serres,76817,1121201
Amphipolis,9182,1121202
Visaltia,20030,1121203
Emmanouil Pappas,14664,1121204
Irakleia,21145,1121205
Nea Zichni,12397,1121206
Sintiki,22195,1121207
Polygyros,22048,1121301
Aristotelis,18294,1121302
Kassandra,16672,1121303
Nea Propontida,36500,1121304
Sithonia,12394,1121305
Kozani,71388,1211401
Voio,18386,1211402
Eordaia,45592,1211403
Servia-Velventos,14830,1211404
Grevena,25905,1211501
Deskati,5852,1211502
Kastoria,35874,1211601
Nestorio,2646,1211602
Orestida,11802,1211603
Florina,32881,1211701
Amyntaio,16973,1211702
Prespes,1560,1211703
Ioannina,112486,1221801
North Tzoumerka,5714,1221802
Dodoni,9693,1221803
Zagori,3724,1221804
Zitsa,14766,1221805
Konitsa,6362,1221806
Metsovo,6196,1221807
Pogoni,8960,1221808
Arta,43166,1221901
Georgios Karaiskakis,5780,1221902
Central Tzoumerka,6178,1221903
Nikolaos Skoufas,12753,1221904
Igoumenitsa,25814,1222001
Souli,10063,1222002
Filiates,7710,1222003
Preveza,31733,1222101
Ziros,13892,1222102
Parga,11866,1222103
Larissa,162591,2312201
Agia,11470,2312202
Elassona,32121,2312203
Kileler,20854,2312204
Tempi,13712,2312205
Tyrnavos,25032,2312206
Farsala,18545,2312207
Karditsa,56747,2312301
Argithea,3450,2312302
Lake Plastiras,4635,2312303
Mouzaki,13122,2312304
Palamas,16726,2312305
Sofades,18864,2312306
Volos,144449,2312401
Almyros,18614,2312402
Zagora-Mouresi,5809,2312403
South Pelion,10216,2312404
Rigas Feraios,10922,2312405
Skiathos,6088,2312501
Alonnisos,2750,2312502
Skopelos,4960,2312503
Trikala,81355,2312601
Kalambaka,21991,2312602
Pyli,14343,2312603
Farkadona,13396,2312604
Lamia,75315,2322701
Amfikleia-Elateia,10922,2322702
Domokos,11495,2322703
Lokroi,19623,2322704
Makrakomi,16036,2322705
Molos-Agios Konstantinos,12090,2322706
Stylida,12750,2322707
Livadeia,31315,2322801
Aliartos,10887,2322802
Distomo-Arachova-Antikyra,8188,2322803
Thebes,36477,2322804
Orchomenus,11621,2322805
Tanagra,19432,2322806
Chalcis,102223,2322901
Dirfys-Messapia,18800,2322902
Eretria,13053,2322903
Istiaia-Aidipsos,21083,2322904
Karystos,12180,2322905
Kymi-Aliveri,28437,2322906
Mantoudi-Limni-Agia Anna,12045,2322907
Skyros,2994,2322908
Karpenisi,13105,2323001
Agrafa,6976,2323002
Delphi,26716,2323101
Dorida,13627,2323102
Corfu,102071,2413201
Paxi,2300,2413202
Zakynthos,40759,2413301
Ithaca,3231,2413401
Cephalonia,35801,2413501
Lefkada,22652,2413601
Meganisi,1041,2413602
Patras,213984,2423701
Aigialeia,49872,2423702
West Achaea,25916,2423703
Erymanthos,8877,2423704
Kalavryta,11045,2423705
Missolonghi,34416,2423801
Aktio-Vonitsa,17370,2423802
Agrinio,94181,2423803
Amfilochia,17056,2423804
Thermo,8242,2423805
Nafpaktia,27800,2423806
Xiromero,11737,2423807
Pyrgos,47995,2423901
Ilida,32219,2423902
Andravida-Kyllini,21581,2423903
Andritsaina-Krestena,14109,2423904
Olympia,13409,2423905
Zacharo,8953,2423906
Pineios,21034,2423907
Tripoli,47254,2434001
North Kynouria,10341,2434002
Gortynia,10109,2434003
Megalopolis,10687,2434004
South Kynouria,8294,2434005
Nafplio,33356,2434101
Argos-Mykines,42022,2434102
Epidaurus,8115,2434103
Ermionida,13551,2434104
Corinth,58192,2434201
Velo-Vocha,19027,2434202
Loutraki-Agioi Theodoroi,21221,2434203
Nemea,6483,2434204
Xylokastro-Evrostina,17365,2434205
Sikyona,22794,2434206
Sparti,35259,2434301
East Mani,13005,2434302
Elafonisos,1041,2434303
Evrotas,17891,2434304
Monemvasia,21942,2434305
Kalamata,69849,2434401
West Mani,6945,2434402
Messini,23482,2434403
Oichalia,11228,2434404
Pylos-Nestor,21077,2434405
Trifylia,27373,2434406
Athens,664046,3514501
Vyronas,61308,3514502
Galatsi,59345,3514503
Dafni-Ymittos,33628,3514504
Zografou,71026,3514505
Ilioupoli,78153,3514506
Kaisariani,26458,3514507
Filadelfeia-Chalkidona,35556,3514508
Marousi,72333,3514601
Agia Paraskevi,59704,3514602
Vrilissia,30741,3514603
Irakleio,49642,3514604
Kifisia,71259,3514605
Lykovrysi-Pefki,31153,3514606
Metamorfosi,29891,3514607
Nea Ionia,67134,3514608
Papagou-Cholargos,44539,3514609
Penteli,34934,3514610
Filothei-Psychiko,26968,3514611
Chalandri,74192,3514612
Peristeri,139981,3514701
Agia Varvara,26550,3514702
Agioi Anargyroi-Kamatero,62529,3514703
Aigaleo,69946,3514704
Ilio,84793,3514705
Petroupoli,58979,3514706
Chaidari,46897,3514707
Kallithea,100641,3514801
Agios Dimitrios,71294,3514802
Alimos,41720,3514803
Glyfada,87305,3514804
Elliniko-Argyroupoli,51356,3514805
Moschato-Tavros,40413,3514806
Nea Smyrni,73076,3514807
Palaio Faliro,64021,3514808
Acharnes,106943,3514901
Vari-Voula-Vouliagmeni,48399,3514902
Dionysos,40193,3514903
Kropia,30307,3514904
Lavreotiki,25102,3514905
Marathon,33423,3514906
Markopoulo Mesogaias,20040,3514907
Paiania,26668,3514908
Pallini,54415,3514909
