ID_1,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE
1,CR/LFINF+CDN/H:3,10094.381,RURAL
1,CR/LFINF+CDN/H:3,16625.053,URBAN
1,CR/LWAL+CDN/HBET:4-10,777.1626,RURAL
1,CR/LWAL+CDN/HBET:4-10,1279.9565,URBAN
1,MUR+CB/LWAL+CDN/HBET:1-2,1746.4327,RURAL
1,MUR+CB/LWAL+CDN/HBET:1-2,2876.3068,URBAN
1,MUR+CB/LWAL+CDN/HBET:1-4,550.1263,RURAL
1,MUR+CB/LWAL+CDN/HBET:1-4,906.0366,URBAN
1,MUR+CL/LWAL+CDN/HBET:1-4,288.1614,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,474.5906,URBAN
1,MUR+CL/LWAL+CDN/HBET:1-4,1597.9859,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,2631.8207,URBAN
1,W/LPB+CDL/HBET:1-3,1859.9508,RURAL
1,W/LPB+CDL/HBET:1-3,3063.2667,URBAN
1,W/LWAL+CDL/HBET:1-3,785.8947,RURAL
1,W/LWAL+CDL/HBET:1-3,1294.338,URBAN
2,CR/LFINF+CDN/H:3,12611.6247,RURAL
2,CR/LFINF+CDN/H:3,19973.7375,URBAN
2,CR/LWAL+CDN/HBET:4-10,970.9642,RURAL
2,CR/LWAL+CDN/HBET:4-10,1537.7704,URBAN
2,MUR+CB/LWAL+CDN/HBET:1-2,2181.942,RURAL
2,MUR+CB/LWAL+CDN/HBET:1-2,3455.6639,URBAN
2,MUR+CB/LWAL+CDN/HBET:1-4,687.3117,RURAL
2,MUR+CB/LWAL+CDN/HBET:1-4,1088.5341,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-4,360.0204,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,570.1845,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-4,1996.4769,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,3161.9325,URBAN
2,W/LPB+CDL/HBET:1-3,2323.7682,RURAL
2,W/LPB+CDL/HBET:1-3,3680.2821,URBAN
2,W/LWAL+CDL/HBET:1-3,981.8739,RURAL
2,W/LWAL+CDL/HBET:1-3,1555.0488,URBAN
3,CR/LFINF+CDN/H:3,8302.6141,RURAL
3,CR/LFINF+CDN/H:3,85581.6517,URBAN
3,CR/LWAL+CDN/HBET:4-10,639.2151,RURAL
3,CR/LWAL+CDN/HBET:4-10,6588.8988,URBAN
3,MUR+CB/LWAL+CDN/HBET:1-2,1436.4384,RURAL
3,MUR+CB/LWAL+CDN/HBET:1-2,14806.5141,URBAN
3,MUR+CB/LWAL+CDN/HBET:1-4,452.4781,RURAL
3,MUR+CB/LWAL+CDN/HBET:1-4,4664.052,URBAN
3,MUR+CL/LWAL+CDN/HBET:1-4,237.0123,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,2443.0748,URBAN
3,MUR+CL/LWAL+CDN/HBET:1-4,1314.3412,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,13547.9604,URBAN
3,W/LPB+CDL/HBET:1-3,1529.8069,RURAL
3,W/LPB+CDL/HBET:1-3,15768.9375,URBAN
3,W/LWAL+CDL/HBET:1-3,646.3973,RURAL
3,W/LWAL+CDL/HBET:1-3,6662.9314,URBAN
4,CR/LFINF+CDN/H:3,12093.1598,RURAL
4,CR/LFINF+CDN/H:3,9517.8161,URBAN
4,CR/LWAL+CDN/HBET:4-10,931.0478,RURAL
4,CR/LWAL+CDN/HBET:4-10,732.773,URBAN
4,MUR+CB/LWAL+CDN/HBET:1-2,2092.2422,RURAL
4,MUR+CB/LWAL+CDN/HBET:1-2,1646.681,URBAN
4,MUR+CB/LWAL+CDN/HBET:1-4,659.0563,RURAL
4,MUR+CB/LWAL+CDN/HBET:1-4,518.7045,URBAN
4,MUR+CL/LWAL+CDN/HBET:1-4,345.22,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,271.7024,URBAN
4,MUR+CL/LWAL+CDN/HBET:1-4,1914.4016,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,1506.7131,URBAN
4,W/LPB+CDL/HBET:1-3,2228.2379,RURAL
4,W/LPB+CDL/HBET:1-3,1753.7153,URBAN
4,W/LWAL+CDL/HBET:1-3,941.509,RURAL
4,W/LWAL+CDL/HBET:1-3,741.0064,URBAN
5,CR/LFINF+CDN/H:3,10900.0103,RURAL
5,CR/LFINF+CDN/H:3,13771.4576,URBAN
5,CR/LWAL+CDN/HBET:4-10,839.1876,RURAL
5,CR/LWAL+CDN/HBET:4-10,1060.2593,URBAN
5,MUR+CB/LWAL+CDN/HBET:1-2,1885.8149,RURAL
5,MUR+CB/LWAL+CDN/HBET:1-2,2382.6051,URBAN
5,MUR+CB/LWAL+CDN/HBET:1-4,594.0317,RURAL
5,MUR+CB/LWAL+CDN/HBET:1-4,750.5206,URBAN
5,MUR+CL/LWAL+CDN/HBET:1-4,311.1595,RURAL
5,MUR+CL/LWAL+CDN/HBET:1-4,393.1298,URBAN
5,MUR+CL/LWAL+CDN/HBET:1-4,1725.5207,RURAL
5,MUR+CL/LWAL+CDN/HBET:1-4,2180.0837,URBAN
5,W/LPB+CDL/HBET:1-3,2008.3929,RURAL
5,W/LPB+CDL/HBET:1-3,2537.4745,URBAN
5,W/LWAL+CDL/HBET:1-3,848.6167,RURAL
5,W/LWAL+CDL/HBET:1-3,1072.1723,URBAN
