ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE,DWELLINGS,DWELLINGS_PER_BUILDING
1,CR/LFINF+CDN/H:3,2345.9196,RURAL,7037.7588,3
1,CR/LFINF+CDN/H:3,11054.6877,URBAN,33164.0631,3
1,CR/LWAL+CDN/HBET:4-10,125.0363,RURAL,1250.363,10
1,CR/LWAL+CDN/HBET:4-10,589.2092,URBAN,5892.092,10
1,MUR+CB/LWAL+CDN/HBET:1-2,774.0344,RURAL,774.0344,1
1,MUR+CB/LWAL+CDN/HBET:1-2,3647.4858,URBAN,3647.4858,1
1,MUR+CB/LWAL+CDN/HBET:1-4,132.479,RURAL,529.916,4
1,MUR+CB/LWAL+CDN/HBET:1-4,624.2812,URBAN,2497.1248,4
1,MUR+CL/LWAL+CDN/HBET:1-4,64.0067,RURAL,256.0268,4
1,MUR+CL/LWAL+CDN/HBET:1-4,301.619,URBAN,1206.476,4
1,MUR+CL/LWAL+CDN/HBET:1-4,459.955,RURAL,919.91,2
1,MUR+CL/LWAL+CDN/HBET:1-4,2167.4483,URBAN,4334.8966,2
1,W/LPB+CDL/HBET:1-3,556.7093,RURAL,556.7093,1
1,W/LPB+CDL/HBET:1-3,2623.384,URBAN,2623.384,1
1,W/LWAL+CDL/HBET:1-3,287.2858,RURAL,861.8574,3
1,W/LWAL+CDL/HBET:1-3,1353.7784,URBAN,4061.3352,3
2,CR/LFINF+CDN/H:3,1768.9648,RURAL,5306.8944,3
2,CR/LFINF+CDN/H:3,884.0247,URBAN,2652.0741,3
2,CR/LWAL+CDN/HBET:4-10,94.2849,RURAL,942.849,10
2,CR/LWAL+CDN/HBET:4-10,47.1181,URBAN,471.181,10
2,MUR+CB/LWAL+CDN/HBET:1-2,583.6686,RURAL,583.6686,1
2,MUR+CB/LWAL+CDN/HBET:1-2,291.6833,URBAN,291.6833,1
2,MUR+CB/LWAL+CDN/HBET:1-4,99.8971,RURAL,399.5884,4
2,MUR+CB/LWAL+CDN/HBET:1-4,49.9227,URBAN,199.6908,4
2,MUR+CL/LWAL+CDN/HBET:1-4,48.2649,RURAL,193.0596,4
2,MUR+CL/LWAL+CDN/HBET:1-4,24.12,URBAN,96.48,4
2,MUR+CL/LWAL+CDN/HBET:1-4,346.8338,RURAL,693.6676,2
2,MUR+CL/LWAL+CDN/HBET:1-4,173.3272,URBAN,346.6544,2
2,W/LPB+CDL/HBET:1-3,419.7924,RURAL,419.7924,1
2,W/LPB+CDL/HBET:1-3,209.7876,URBAN,209.7876,1
2,W/LWAL+CDL/HBET:1-3,216.6308,RURAL,649.8924,3
2,W/LWAL+CDL/HBET:1-3,108.2594,URBAN,324.7782,3
3,CR/LFINF+CDN/H:3,1474.8757,RURAL,4424.6271,3
3,CR/LFINF+CDN/H:3,807.5828,URBAN,2422.7484,3
3,CR/LWAL+CDN/HBET:4-10,78.6101,RURAL,786.101,10
3,CR/LWAL+CDN/HBET:4-10,43.0438,URBAN,430.438,10
3,MUR+CB/LWAL+CDN/HBET:1-2,486.6341,RURAL,486.6341,1
3,MUR+CB/LWAL+CDN/HBET:1-2,266.4613,URBAN,266.4613,1
3,MUR+CB/LWAL+CDN/HBET:1-4,83.2893,RURAL,333.1572,4
3,MUR+CB/LWAL+CDN/HBET:1-4,45.6059,URBAN,182.4236,4
3,MUR+CL/LWAL+CDN/HBET:1-4,40.2409,RURAL,160.9636,4
