ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE
1,CR/LFINF+CDN/HBET:4-10,527.7716,RURAL
1,CR/LWAL+CDN/HBET:4-10,95.8535,RURAL
1,MUR+CB/LWAL+CDN/HBET:1-2,23.0972,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,406.5112,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,1940.1669,RURAL
1,MUR+ST/LWAL+CDN/HBET:1-4,161.6806,RURAL
1,W/LPB+CDL/HBET:1-3,102.7827,RURAL
2,CR/LFINF+CDN/HBET:4-10,326.3557,RURAL
2,CR/LFINF+CDN/HBET:4-10,824.8229,URBAN
2,CR/LWAL+CDN/HBET:4-10,59.2725,RURAL
2,CR/LWAL+CDN/HBET:4-10,149.8037,URBAN
2,MUR+CB/LWAL+CDN/HBET:1-2,14.2825,RURAL
2,MUR+CB/LWAL+CDN/HBET:1-2,36.0973,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-4,251.3724,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,635.3122,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-4,1199.732,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,3032.1717,URBAN
2,MUR+ST/LWAL+CDN/HBET:1-4,99.9777,RURAL
2,MUR+ST/LWAL+CDN/HBET:1-4,252.681,URBAN
2,W/LPB+CDL/HBET:1-3,63.5572,RURAL
2,W/LPB+CDL/HBET:1-3,160.6329,URBAN
3,CR/LFINF+CDN/HBET:4-10,580.8246,RURAL
3,CR/LWAL+CDN/HBET:4-10,105.4889,RURAL
3,MUR+CB/LWAL+CDN/HBET:1-2,25.419,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,447.3748,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,2135.1978,RURAL
3,MUR+ST/LWAL+CDN/HBET:1-4,177.9331,RURAL
3,W/LPB+CDL/HBET:1-3,113.1146,RURAL
4,CR/LFINF+CDN/HBET:4-10,158.7421,RURAL
4,CR/LFINF+CDN/HBET:4-10,11.8098,URBAN
4,CR/LWAL+CDN/HBET:4-10,28.8306,RURAL
4,CR/LWAL+CDN/HBET:4-10,2.1449,URBAN
4,MUR+CB/LWAL+CDN/HBET:1-2,6.9471,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,122.2696,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,9.0964,URBAN
4,MUR+CL/LWAL+CDN/HBET:1-4,583.5594,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,43.4146,URBAN
4,MUR+ST/LWAL+CDN/HBET:1-4,48.63,RURAL
4,MUR+ST/LWAL+CDN/HBET:1-4,3.6179,URBAN
4,W/LPB+CDL/HBET:1-3,30.9148,RURAL
4,W/LPB+CDL/HBET:1-3,2.2999,URBAN
5,CR/LFINF+CDN/HBET:4-10,521.9712,RURAL
5,CR/LWAL+CDN/HBET:4-10,94.8,RURAL
5,MUR+CB/LWAL+CDN/HBET:1-2,22.8434,RURAL
5,MUR+CL/LWAL+CDN/HBET:1-4,402.0435,RURAL
5,MUR+CL/LWAL+CDN/HBET:1-4,1918.8439,RURAL
5,MUR+ST/LWAL+CDN/HBET:1-4,159.9037,RURAL
5,W/LPB+CDL/HBET:1-3,101.653,RURAL
6,CR/LFINF+CDN/HBET:4-10,618.3104,RURAL
6,CR/LFINF+CDN/HBET:4-10,19.455,URBAN
6,CR/LWAL+CDN/HBET:4-10,112.2971,RURAL
6,CR/LWAL+CDN/HBET:4-10,3.5334,URBAN
6,MUR+CB/LWAL+CDN/HBET:1-2,27.0595,RURAL
6,MUR+CL/LWAL+CDN/HBET:1-4,476.2478,RURAL
6,MUR+CL/LWAL+CDN/HBET:1-4,14.985,URBAN
6,MUR+CL/LWAL+CDN/HBET:1-4,2273.0009,RURAL
6,MUR+CL/LWAL+CDN/HBET:1-4,71.5196,URBAN
6,MUR+ST/LWAL+CDN/HBET:1-4,189.4167,RURAL
6,MUR+ST/LWAL+CDN/HBET:1-4,5.96,URBAN
6,W/LPB+CDL/HBET:1-3,120.4149,RURAL
6,W/LPB+CDL/HBET:1-3,3.7888,URBAN
7,CR/LFINF+CDN/HBET:4-10,369.4647,RURAL
7,CR/LFINF+CDN/HBET:4-10,617.3458,URBAN
7,CR/LWAL+CDN/HBET:4-10,67.1019,RURAL
7,CR/LWAL+CDN/HBET:4-10,112.1219,URBAN
7,MUR+CB/LWAL+CDN/HBET:1-2,16.1691,RURAL
7,MUR+CB/LWAL+CDN/HBET:1-2,27.0173,URBAN
7,MUR+CL/LWAL+CDN/HBET:1-4,284.5767,RURAL
7,MUR+CL/LWAL+CDN/HBET:1-4,475.5048,URBAN
7,MUR+CL/LWAL+CDN/HBET:1-4,1358.2071,RURAL
7,MUR+CL/LWAL+CDN/HBET:1-4,2269.4549,URBAN
7,MUR+ST/LWAL+CDN/HBET:1-4,113.1839,RURAL
7,MUR+ST/LWAL+CDN/HBET:1-4,189.1212,URBAN
7,W/LPB+CDL/HBET:1-3,71.9526,RURAL
7,W/LPB+CDL/HBET:1-3,120.2271,URBAN
8,CR/LFINF+CDN/HBET:4-10,644.6912,RURAL
8,CR/LFINF+CDN/HBET:4-10,51.5111,URBAN
8,CR/LWAL+CDN/HBET:4-10,117.0883,RURAL
8,CR/LWAL+CDN/HBET:4-10,9.3554,URBAN
8,MUR+CB/LWAL+CDN/HBET:1-2,28.2141,RURAL
8,MUR+CB/LWAL+CDN/HBET:1-2,2.2543,URBAN
8,MUR+CL/LWAL+CDN/HBET:1-4,496.5674,RURAL
8,MUR+CL/LWAL+CDN/HBET:1-4,39.676,URBAN
8,MUR+CL/LWAL+CDN/HBET:1-4,2369.9806,RURAL
8,MUR+CL/LWAL+CDN/HBET:1-4,189.3625,URBAN
8,MUR+ST/LWAL+CDN/HBET:1-4,197.4984,RURAL
8,MUR+ST/LWAL+CDN/HBET:1-4,15.7802,URBAN
8,W/LPB+CDL/HBET:1-3,125.5525,RURAL
8,W/LPB+CDL/HBET:1-3,10.0317,URBAN
9,CR/LFINF+CDN/HBET:4-10,45.7736,RURAL
9,CR/LFINF+CDN/HBET:4-10,1466.3702,URBAN
9,CR/LWAL+CDN/HBET:4-10,8.3134,RURAL
9,CR/LWAL+CDN/HBET:4-10,266.3211,URBAN
9,MUR+CB/LWAL+CDN/HBET:1-2,2.0032,RURAL
9,MUR+CB/LWAL+CDN/HBET:1-2,64.1738,URBAN
9,MUR+CL/LWAL+CDN/HBET:1-4,35.2567,RURAL
9,MUR+CL/LWAL+CDN/HBET:1-4,1129.458,URBAN
9,MUR+CL/LWAL+CDN/HBET:1-4,168.2706,RURAL
9,MUR+CL/LWAL+CDN/HBET:1-4,5390.5952,URBAN
9,MUR+ST/LWAL+CDN/HBET:1-4,14.0226,RURAL
9,MUR+ST/LWAL+CDN/HBET:1-4,449.2163,URBAN
9,W/LPB+CDL/HBET:1-3,8.9143,RURAL
9,W/LPB+CDL/HBET:1-3,285.5732,URBAN
10,CR/LFINF+CDN/HBET:4-10,17.4283,RURAL
