ID_0,TAXONOMY,SETTLEMENT_TYPE,DWELLINGS,POPULATION
148,CR/LFINF+CDN/HBET:1-3,RURAL,470.1869,701.6779
148,CR/LFINF+CDN/HBET:1-3,URBAN,1872.3481,2794.1762
148,CR/LFINF+CDN/HBET:4-7,RURAL,745.4183,1112.4161
148,CR/LFINF+CDN/HBET:4-7,URBAN,2968.3567,4429.7916
148,CR/LFINF+CDN/HBET:1-3,RURAL,206.4235,308.0537
148,CR/LFINF+CDN/HBET:1-3,URBAN,822.0065,1226.7115
148,CR/LFINF+CDN/HBET:4-7,RURAL,179.6649,268.1208
148,CR/LFINF+CDN/HBET:4-7,URBAN,715.4501,1067.6934
148,MUR+CL/LWAL+CDN/H:1,RURAL,332.5712,496.3087
148,MUR+CL/LWAL+CDN/H:1,URBAN,1324.3438,1976.3686
148,MUR+CL/LWAL+CDN/H:1,RURAL,844.8074,1260.7383
148,MUR+CL/LWAL+CDN/H:1,URBAN,3364.1376,5020.4305
148,MUR+CL/LWAL+CDN/H:1,RURAL,527.5268,787.2483
148,MUR+CL/LWAL+CDN/H:1,URBAN,2100.6832,3134.9294
148,MUR+CL/LWAL+CDN/H:1,RURAL,516.0588,770.1342
148,MUR+CL/LWAL+CDN/H:1,URBAN,2055.0162,3066.7788
