REGION,POPULATION,ID
Aerodrom,72009,4
Butel,36154,16
Gazi Baba,72617,26
Gjorche Petrov,41634,28
Karposh,59666,34
Kisela Voda,57236,37
Saraj,35408,66
Centar,45412,18
Chair,64773,6
Shuto Orizari,22017,2
Arachinovo,11597,9
Berovo,13941,10
Bitola,95385,11
Bogdanci,8707,12
Bogovinje,28997,13
Bosilovo,14260,14
Brvenica,15855,15
Valandovo,11890,76
Vasilevo,12122,77
Vevchani,2433,79
Veles,55108,78
Vinica,19938,80
Vraneshtica,1312,81
Vrapchishte,25399,82
Gevgelija,22988,27
Gostivar,81042,29
Gradsko,3760,30
Debar,19542,20
Debarca,5507,19
Delchevo,17505,21
Demir Kapija,4545,23
Demir Hisar,9497,22
Dojran,3426,68
Dolneni,13568,24
Drugovo,3249,25
Zhelino,24390,3
Zajas,11605,83
Zelenikovo,4077,84
Zrnovci,3264,85
Ilinden,15894,31
Jegunovce,10790,32
Kavadarci,38741,35
Karbinci,4012,33
Kichevo,30138,36
Konche,3536,39
Kochani,38092,38
Kratovo,10441,40
Kriva Palanka,20820,41
Krivogashtani,6150,42
Krushevo,9684,43
Kumanovo,105484,44
Lipkovo,27058,46
Lozovo,2858,47
Mavrovo i Rostusha,8618,50
Makedonska Kamenica,8110,48
Makedonski Brod,7141,49
Mogila,6710,51
Negotino,19212,52
Novatsi,3549,53
Novo Selo,11567,54
Oslomej,10420,56
Ohrid,55749,55
Petrovets,8255,58
Pehchevo,5517,57
Plasnica,4545,59
Prilep,76768,60
Probishtip,16193,61
Radovish,28244,62
Rankovce,4144,63
Resen,16825,64
Rosoman,4141,65
Sveti Nikole,18497,73
Sopishte,5656,67
Staro Nagorichane,4840,69
Struga,63376,70
Strumica,54676,71
Studenichani,17246,72
Tearce,22454,74
Tetovo,86580,75
Centar Zhupa,6519,17
Chashka,7673,5
Cheshinovo - Obleshevo,7490,7
Chucher - Sandevo,8493,8
Shtip,47796,1
