REGION,POPULATION,ID
0101 Halden,30790,NO0101
0104 Moss,32407,NO0104
0105 Sarpsborg,55127,NO0105
0106 Fredrikstad,80121,NO0106
0111 Hvaler,4517,NO0111
0118 Aremark,1398,NO0118
0119 Marker,3597,NO0119
0121 Rømskog,685,NO0121
0122 Trøgstad,5367,NO0122
0123 Spydeberg,5765,NO0123
0124 Askim,15720,NO0124
0125 Eidsberg,11406,NO0125
0127 Skiptvet,3783,NO0127
0128 Rakkestad,8173,NO0128
0135 Råde,7398,NO0135
0136 Rygge,15747,NO0136
0137 Våler (Østfold),5335,NO0137
0138 Hobøl,5557,NO0138
0211 Vestby,17188,NO0211
0213 Ski,30698,NO0213
0214 Ås,19288,NO0214
0215 Frogn,15743,NO0215
0216 Nesodden,18869,NO0216
0217 Oppegård,26988,NO0217
0219 Bærum,124008,NO0219
0220 Asker,60781,NO0220
0221 Aurskog-Høland,16162,NO0221
0226 Sørum,17665,NO0226
0227 Fet,11555,NO0227
0228 Rælingen,17730,NO0228
0229 Enebakk,10927,NO0229
0230 Lørenskog,37406,NO0230
0231 Skedsmo,53276,NO0231
0233 Nittedal,23213,NO0233
0234 Gjerdrum,6546,NO0234
0235 Ullensaker,35102,NO0235
0236 Nes (Akershus),21241,NO0236
0237 Eidsvoll,24415,NO0237
0238 Nannestad,12657,NO0238
0239 Hurdal,2910,NO0239
0301 Oslo kommune,666759,NO0301
0402 Kongsvinger,17857,NO0402
0403 Hamar,30598,NO0403
0412 Ringsaker,33842,NO0412
0415 Løten,7633,NO0415
0417 Stange,20317,NO0417
0418 Nord-Odal,5100,NO0418
0419 Sør-Odal,7866,NO0419
0420 Eidskog,6127,NO0420
0423 Grue,4777,NO0423
0425 Åsnes,7329,NO0425
0426 Våler (Hedmark),3743,NO0426
0427 Elverum,21086,NO0427
0428 Trysil,6550,NO0428
0429 Åmot,4518,NO0429
0430 Stor-Elvdal,2530,NO0430
0432 Rendalen,1858,NO0432
0434 Engerdal,1274,NO0434
0436 Tolga,1620,NO0436
0437 Tynset,5584,NO0437
0438 Alvdal,2441,NO0438
0439 Folldal,1577,NO0439
0441 Os (Hedmark),1963,NO0441
0501 Lillehammer,27781,NO0501
0502 Gjøvik,30319,NO0502
0511 Dovre,2675,NO0511
0512 Lesja,2048,NO0512
0513 Skjåk,2202,NO0513
0514 Lom,2360,NO0514
0515 Vågå,3640,NO0515
0516 Nord-Fron,5723,NO0516
0517 Sel,5916,NO0517
0519 Sør-Fron,3163,NO0519
0520 Ringebu,4502,NO0520
0521 Øyer,5082,NO0521
0522 Gausdal,6204,NO0522
0528 Østre Toten,14887,NO0528
0529 Vestre Toten,13179,NO0529
0532 Jevnaker,6696,NO0532
0533 Lunner,9080,NO0533
0534 Gran,13707,NO0534
0536 Søndre Land,5717,NO0536
0538 Nordre Land,6773,NO0538
0540 Sør-Aurdal,3026,NO0540
0541 Etnedal,1351,NO0541
0542 Nord-Aurdal,6490,NO0542
0543 Vestre Slidre,2114,NO0543
0544 Øystre Slidre,3248,NO0544
0545 Vang,1596,NO0545
0602 Drammen,68363,NO0602
0604 Kongsberg,27216,NO0604
0605 Ringerike,30034,NO0605
0612 Hole,6772,NO0612
0615 Flå,1081,NO0615
0616 Nes (Buskerud),3357,NO0616
0617 Gol,4612,NO0617
0618 Hemsedal,2442,NO0618
0619 Ål,4719,NO0619
0620 Hol,4535,NO0620
0621 Sigdal,3502,NO0621
0622 Krødsherad,2257,NO0622
0623 Modum,13786,NO0623
0624 Øvre Eiker,18562,NO0624
0625 Nedre Eiker,24718,NO0625
0626 Lier,25740,NO0626
0627 Røyken,21931,NO0627
0628 Hurum,9462,NO0628
0631 Flesberg,2696,NO0631
0632 Rollag,1399,NO0632
0633 Nore og Uvdal,2530,NO0633
0701 Horten,27202,NO0701
0702 Holmestrand (-2017),10861,NO0702
0704 Tønsberg,44922,NO0704
0709 Larvik (-2017),44082,NO0709
0710 Sandefjord,62019,NO0710
0711 Svelvik,6653,NO0711
0713 Sande (Vestfold),9496,NO0713
0714 Hof (-2017),3176,NO0714
0716 Re,9486,NO0716
0722 Nøtterøy (-2017),21748,NO0722
0723 Tjøme (-2017),4928,NO0723
0728 Lardal (-2017),2475,NO0728
0805 Porsgrunn,36198,NO0805
0806 Skien,54316,NO0806
0807 Notodden,12757,NO0807
0811 Siljan,2357,NO0811
0814 Bamble,14138,NO0814
0815 Kragerø,10586,NO0815
0817 Drangedal,4148,NO0817
0819 Nome,6585,NO0819
0821 Bø (Telemark),6262,NO0821
0822 Sauherad,4303,NO0822
0826 Tinn,5894,NO0826
0827 Hjartdal,1593,NO0827
0828 Seljord,2979,NO0828
0829 Kviteseid,2442,NO0829
0830 Nissedal,1476,NO0830
0831 Fyresdal,1319,NO0831
0833 Tokke,2228,NO0833
0834 Vinje,3726,NO0834
0901 Risør,6936,NO0901
0904 Grimstad,22692,NO0904
0906 Arendal,44576,NO0906
0911 Gjerstad,2511,NO0911
0912 Vegårshei,2104,NO0912
0914 Tvedestrand,6051,NO0914
0919 Froland,5713,NO0919
0926 Lillesand,10702,NO0926
0928 Birkenes,5178,NO0928
0929 Åmli,1856,NO0929
0935 Iveland,1342,NO0935
0937 Evje og Hornnes,3614,NO0937
0938 Bygland,1200,NO0938
0940 Valle,1246,NO0940
0941 Bykle,952,NO0941
1001 Kristiansand,89268,NO1001
1002 Mandal,15600,NO1002
1003 Farsund,9769,NO1003
1004 Flekkefjord,9090,NO1004
1014 Vennesla,14425,NO1014
1017 Songdalen,6568,NO1017
1018 Søgne,11321,NO1018
1021 Marnardal,2309,NO1021
1026 Åseral,937,NO1026
1027 Audnedal,1765,NO1027
1029 Lindesnes,4950,NO1029
1032 Lyngdal,8588,NO1032
1034 Hægebostad,1702,NO1034
1037 Kvinesdal,5988,NO1037
1046 Sirdal,1836,NO1046
1101 Eigersund,14899,NO1101
1102 Sandnes,75497,NO1102
1103 Stavanger,132729,NO1103
1106 Haugesund,37166,NO1106
1111 Sokndal,3316,NO1111
1112 Lund,3259,NO1112
1114 Bjerkreim,2826,NO1114
1119 Hå,18800,NO1119
1120 Klepp,19042,NO1120
1121 Time,18656,NO1121
1122 Gjesdal,11902,NO1122
1124 Sola,26016,NO1124
1127 Randaberg,10873,NO1127
1129 Forsand,1245,NO1129
1130 Strand,12662,NO1130
1133 Hjelmeland,2708,NO1133
1134 Suldal,3853,NO1134
1135 Sauda,4760,NO1135
1141 Finnøy,3235,NO1141
1142 Rennesøy,4892,NO1142
1144 Kvitsøy,534,NO1144
1145 Bokn,855,NO1145
1146 Tysvær,11041,NO1146
1149 Karmøy,42229,NO1149
1151 Utsira,201,NO1151
1160 Vindafjord,8828,NO1160
1201 Bergen,278556,NO1201
1211 Etne,4135,NO1211
1216 Sveio,5656,NO1216
1219 Bømlo,11806,NO1219
1221 Stord,18821,NO1221
1222 Fitjar,3189,NO1222
1223 Tysnes,2847,NO1223
1224 Kvinnherad,13241,NO1224
1227 Jondal,1108,NO1227
1228 Odda,7025,NO1228
1231 Ullensvang,3377,NO1231
1232 Eidfjord,921,NO1232
1233 Ulvik,1131,NO1233
1234 Granvin,933,NO1234
1235 Voss,14514,NO1235
1238 Kvam,8423,NO1238
1241 Fusa,3895,NO1241
1242 Samnanger,2488,NO1242
1243 Os (Hordaland),20152,NO1243
1244 Austevoll,5156,NO1244
1245 Sund,7058,NO1245
1246 Fjell,25204,NO1246
1247 Askøy,28821,NO1247
1251 Vaksdal,4123,NO1251
1252 Modalen,383,NO1252
1253 Osterøy,8026,NO1253
1256 Meland,8021,NO1256
1259 Øygarden,4913,NO1259
1260 Radøy,5128,NO1260
1263 Lindås,15731,NO1263
1264 Austrheim,2884,NO1264
1265 Fedje,587,NO1265
1266 Masfjorden,1710,NO1266
1401 Flora,11999,NO1401
1411 Gulen,2371,NO1411
1412 Solund,794,NO1412
1413 Hyllestad,1438,NO1413
1416 Høyanger,4190,NO1416
1417 Vik,2722,NO1417
1418 Balestrand,1288,NO1418
1419 Leikanger,2332,NO1419
1420 Sogndal,7941,NO1420
1421 Aurland,1787,NO1421
1422 Lærdal,2159,NO1422
1424 Årdal,5363,NO1424
1426 Luster,5151,NO1426
1428 Askvoll,3065,NO1428
1429 Fjaler,2862,NO1429
1430 Gaular,2966,NO1430
1431 Jølster,3049,NO1431
1432 Førde,13009,NO1432
1433 Naustdal,2848,NO1433
1438 Bremanger,3847,NO1438
1439 Vågsøy,6031,NO1439
1441 Selje,2791,NO1441
1443 Eid,6064,NO1443
1444 Hornindal,1198,NO1444
1445 Gloppen,5783,NO1445
1449 Stryn,7218,NO1449
1502 Molde,26822,NO1502
1504 Ålesund,47199,NO1504
1505 Kristiansund,24442,NO1505
1511 Vanylven,3203,NO1511
1514 Sande (Møre og Romsdal),2540,NO1514
1515 Herøy (Møre og Romsdal),8957,NO1515
1516 Ulstein,8457,NO1516
1517 Hareid,5185,NO1517
1519 Volda,9102,NO1519
1520 Ørsta,10744,NO1520
1523 Ørskog,2296,NO1523
1524 Norddal,1663,NO1524
1525 Stranda,4623,NO1525
1526 Stordal,1005,NO1526
1528 Sykkylven,7695,NO1528
1529 Skodje,4667,NO1529
1531 Sula,9007,NO1531
1532 Giske,8176,NO1532
1534 Haram,9312,NO1534
1535 Vestnes,6577,NO1535
1539 Rauma,7503,NO1539
1543 Nesset,2963,NO1543
1545 Midsund,2085,NO1545
1546 Sandøy,1246,NO1546
1547 Aukra,3547,NO1547
1548 Fræna,9741,NO1548
1551 Eide,3454,NO1551
1554 Averøy,5856,NO1554
1557 Gjemnes,2611,NO1557
1560 Tingvoll,3109,NO1560
1563 Sunndal,7126,NO1563
1566 Surnadal,5986,NO1566
1567 Rindal,2026,NO1567
1571 Halsa,1599,NO1571
1573 Smøla,2160,NO1573
1576 Aure,3590,NO1576
1601 Trondheim (-2017),190464,NO1601
1612 Hemne (-2017),4259,NO1612
1613 Snillfjord (-2017),982,NO1613
1617 Hitra (-2017),4659,NO1617
1620 Frøya (-2017),4937,NO1620
1621 Ørland (-2017),5291,NO1621
1622 Agdenes (-2017),1711,NO1622
1624 Rissa (-2017),6628,NO1624
1627 Bjugn (-2017),4822,NO1627
1630 Åfjord (-2017),3263,NO1630
1632 Roan (-2017),959,NO1632
1633 Osen (-2017),978,NO1633
1634 Oppdal (-2017),6973,NO1634
1635 Rennebu (-2017),2556,NO1635
1636 Meldal (-2017),3960,NO1636
1638 Orkdal (-2017),11891,NO1638
1640 Røros (-2017),5623,NO1640
1644 Holtålen (-2017),2046,NO1644
1648 Midtre Gauldal (-2017),6319,NO1648
1653 Melhus (-2017),16213,NO1653
1657 Skaun (-2017),8000,NO1657
1662 Klæbu (-2017),6050,NO1662
1663 Malvik (-2017),13820,NO1663
1664 Selbu (-2017),4098,NO1664
1665 Tydal (-2017),861,NO1665
1702 Steinkjer (-2017),21972,NO1702
1703 Namsos (-2017),13051,NO1703
1711 Meråker (-2017),2508,NO1711
1714 Stjørdal (-2017),23625,NO1714
1717 Frosta (-2017),2630,NO1717
1718 Leksvik (-2017),3480,NO1718
1719 Levanger (-2017),19892,NO1719
1721 Verdal (-2017),14849,NO1721
1724 Verran (-2017),2515,NO1724
1725 Namdalseid (-2017),1593,NO1725
1736 Snåase - Snåsa (-2017),2159,NO1736
1738 Lierne (-2017),1389,NO1738
1739 Raarvihke - Røyrvik (-2017),469,NO1739
1740 Namsskogan (-2017),872,NO1740
1742 Grong (-2017),2467,NO1742
1743 Høylandet (-2017),1264,NO1743
1744 Overhalla (-2017),3840,NO1744
1748 Fosnes (-2017),628,NO1748
1749 Flatanger (-2017),1090,NO1749
1750 Vikna (-2017),4418,NO1750
