ID,POPULATION
1,1724
2,1323
3,9309
4,3442
5,10006
6,12373
7,322
8,486
9,686
10,465
11,1123
12,1151
13,938
14,794
15,760
16,364
17,1691
18,8924
19,715
20,1873
21,527
22,107
23,364
24,2205
25,767
26,3386
27,494
28,932
29,341
30,396
31,225
32,1589
33,3779
34,758
35,740
36,2056
37,569
38,1152
39,6284
40,2378
41,532
42,32
43,335
44,699
45,341
46,524
47,362
48,74
49,1036
50,649
51,714
52,821
53,1070
54,740
55,6070
56,4931
57,540
58,1335
59,567
60,451
61,1073
62,2522
63,932
64,605
65,290
66,1768
67,329
68,362
69,1240
70,400
71,2661
72,436
73,542
74,458
75,1298
76,5733
77,708
78,688
79,1389
80,782
81,7261
82,723
83,11123
84,890
85,2111
86,2742
87,1679
88,1071
89,546
90,4165
91,858
92,716
93,11346
94,373
95,1373
96,4013
97,1836
98,599
99,2230
100,639
101,2482
102,3258
103,729
104,84
105,3406
106,724
107,3554
108,1169
109,1589
110,2732
111,4877
112,16597
113,5487
114,14756
115,1758
116,8528
117,2381
118,2073
119,5621
120,887
121,1713
122,2009
123,2040
124,491
125,1171
126,1057
127,624
128,5511
129,1252
130,2185
131,820
132,2484
133,994
134,2414
135,4068
136,1602
137,1713
138,2764
139,105
140,1223
141,3185
142,1993
143,126
144,801
145,1253
146,103
147,2222
148,382
149,1340
150,119
151,1081
152,1257
153,1599
154,598
155,2253
156,1150
157,1029
158,540
159,9157
160,7354
161,753
162,5571
163,13431
164,9099
165,1418
166,1924
167,4817
168,1222
169,4960
170,993
171,8094
172,9657
173,2047
174,1439
175,924
176,1458
177,2312
178,1300
179,1931
180,2538
181,2784
182,10363
183,9832
184,1403
185,3515
186,6673
187,6189
188,7544
189,1438
190,1332
191,4176
192,3815
193,2503
194,933
195,2152
196,3183
197,2593
198,4522
199,4098
200,1945
201,1002
202,2682
203,1459
204,3699
205,2745
206,3419
207,3166
208,3087
209,3531
210,1390
211,809
212,1925
213,2795
214,12204
215,2208
216,2079
217,2595
218,3324
219,1985
220,5228
221,3944
222,1804
223,2413
224,10705
225,2652
226,1406
227,7722
228,6250
229,2627
230,2371
231,3318
232,3837
233,11448
234,3521
235,17855
236,6276
237,2316
238,6827
239,21713
240,8420
241,6551
242,2716
243,6044
244,3309
245,1559
246,12511
247,7991
248,3397
249,1815
250,1237
251,5483
252,1325
253,8636
254,3791
255,2038
256,7142
257,5790
258,4867
259,1181
260,4931
261,3023
262,10579
263,4069
264,1882
265,3600
266,5073
267,4696
268,2242
269,1903
270,1511
271,834
272,890
273,726
274,720
275,1852
276,1778
277,2777
278,1592
279,1187
280,2014
281,986
282,1179
283,2625
284,1805
285,1790
286,991
287,2033
288,1753
289,3069
290,4606
291,1459
292,1313
293,946
294,1067
295,4752
296,1752
297,7254
298,3912
299,409
456,5137
457,1005
458,892
459,741
460,1482
461,536
462,3788
463,355
464,608
465,531
466,600
467,651
468,380
469,1259
470,1245
471,1834
472,758
473,902
474,6395
475,6590
476,4543
477,7620
478,1301
479,1386
480,386
481,1747
482,255
483,108
484,569
485,1097
486,864
487,595
488,464
489,274
490,448
491,4898
492,649
493,338
494,943
495,3306
496,591
497,514
498,467
499,863
500,444
501,4696
502,1346
503,542
504,364
505,849
506,857
507,335
508,2824
509,567
510,596
511,229
512,220
513,797
514,2564
515,4075
516,4344
517,888
518,1078
