REGION,POPULATION,ID
Bratislava I,44798,27
Bratislava II,108139,26
Bratislava III,61418,25
Bratislava IV,93058,28
Bratislava V,121259,29
Malacky,64354,30
Pezinok,54164,31
Senec,51825,32
Dunajská Streda,112384,73
Galanta,94533,74
Hlohovec,45351,75
Piešťany,63928,76
Senica,60891,77
Skalica,46791,78
Trnava,127125,79
Bánovce nad Bebravou,38640,64
Ilava,62042,65
Myjava,29243,66
Nové Mesto nad Váhom,63530,67
Partizánske,48005,69
Považská Bystrica,65150,70
Prievidza,140444,71
Púchov,45761,68
Trenčín,112767,72
Komárno,108556,45
Levice,120021,46
Nitra,163540,47
Nové Zámky,149594,48
Šaľa,54000,44
Topoľčany,74089,49
Zlaté Moravce,43622,50
Bytča,30788,2
Čadca,92843,3
Dolný Kubín,39364,4
Kysucké Nové Mesto,33778,5
Liptovský Mikuláš,73984,6
Martin,97813,7
Námestovo,56053,8
Ružomberok,59420,9
Turčianske Teplice,16866,10
Tvrdošín,35062,11
Žilina,156361,1
Banská Bystrica,111984,15
Banská Štiavnica,17151,14
Brezno,65909,16
Detva,33514,17
Krupina,22885,18
Lučenec,72837,19
Poltár,23666,20
Revúca,40918,21
Rimavská Sobota,83124,22
Veľký Krtíš,46741,23
Zvolen,67633,24
Žarnovica,27634,12
Žiar nad Hronom,48125,13
Bardejov,75793,51
Humenné,64845,52
Kežmarok,63231,53
Levoča,31880,54
Medzilaborce,12668,55
Poprad,104348,56
Prešov,161782,57
Sabinov,54067,58
Snina,39633,59
Stará Ľubovňa,50684,60
Stropkov,21027,61
Svidník,33506,62
Vranov nad Topľou,76504,63
Gelnica,30841,33
Košice I,68262,37
Košice II,79850,36
Košice III,30745,35
Košice IV,57236,38
Košice - okolie,106999,34
Michalovce,109121,39
Rožňava,61887,40
Sobrance,23776,41
Spišská Nová Ves,93516,42
Trebišov,103779,43
