ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE
1,CR/LFINF+CDN/H:3,399.5653,RURAL
1,CR/LFINF+CDN/H:3,2.4582,URBAN
1,CR/LWAL+CDN/HBET:4-10,28.1096,RURAL
1,MUR+CB/LWAL+CDN/HBET:1-2,299.8018,RURAL
1,MUR+CB/LWAL+CDN/HBET:1-2,1.8444,URBAN
1,MUR+CB/LWAL+CDN/HBET:1-4,28.1096,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,9.0973,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,178.0616,RURAL
1,MUR+CL/LWAL+CDN/HBET:1-4,1.0955,URBAN
1,W/LPB+CDL/HBET:1-3,251.351,RURAL
1,W/LPB+CDL/HBET:1-3,1.5464,URBAN
1,W/LWAL+CDL/HBET:1-3,156.6983,RURAL
2,CR/LFINF+CDN/H:3,350.5559,RURAL
2,CR/LFINF+CDN/H:3,481.1992,URBAN
2,CR/LWAL+CDN/HBET:4-10,24.6618,RURAL
2,CR/LWAL+CDN/HBET:4-10,33.8526,URBAN
2,MUR+CB/LWAL+CDN/HBET:1-2,263.029,RURAL
2,MUR+CB/LWAL+CDN/HBET:1-2,361.0533,URBAN
2,MUR+CB/LWAL+CDN/HBET:1-4,24.6618,RURAL
2,MUR+CB/LWAL+CDN/HBET:1-4,33.8526,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-4,7.9814,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,10.9559,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-4,156.2211,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,214.4408,URBAN
2,W/LPB+CDL/HBET:1-3,220.5211,RURAL
2,W/LPB+CDL/HBET:1-3,302.7037,URBAN
2,W/LWAL+CDL/HBET:1-3,137.4782,RURAL
2,W/LWAL+CDL/HBET:1-3,188.7128,URBAN
3,CR/LFINF+CDN/H:3,347.789,RURAL
3,CR/LFINF+CDN/H:3,22.6392,URBAN
3,CR/LWAL+CDN/HBET:4-10,24.4671,RURAL
3,CR/LWAL+CDN/HBET:4-10,1.5927,URBAN
3,MUR+CB/LWAL+CDN/HBET:1-2,260.953,RURAL
3,MUR+CB/LWAL+CDN/HBET:1-2,16.9866,URBAN
3,MUR+CB/LWAL+CDN/HBET:1-4,24.4671,RURAL
3,MUR+CB/LWAL+CDN/HBET:1-4,1.5927,URBAN
3,MUR+CL/LWAL+CDN/HBET:1-4,7.9185,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,154.9881,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,10.0889,URBAN
3,W/LPB+CDL/HBET:1-3,218.7806,RURAL
3,W/LPB+CDL/HBET:1-3,14.2414,URBAN
3,W/LWAL+CDL/HBET:1-3,136.3931,RURAL
3,W/LWAL+CDL/HBET:1-3,8.8785,URBAN
4,CR/LFINF+CDN/H:3,660.8551,RURAL
4,CR/LFINF+CDN/H:3,879.3549,URBAN
4,CR/LWAL+CDN/HBET:4-10,46.4915,RURAL
4,CR/LWAL+CDN/HBET:4-10,61.863,URBAN
4,MUR+CB/LWAL+CDN/HBET:1-2,495.8526,RURAL
4,MUR+CB/LWAL+CDN/HBET:1-2,659.7974,URBAN
4,MUR+CB/LWAL+CDN/HBET:1-4,46.4915,RURAL
4,MUR+CB/LWAL+CDN/HBET:1-4,61.863,URBAN
4,MUR+CL/LWAL+CDN/HBET:1-4,15.0463,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,20.0211,URBAN
4,MUR+CL/LWAL+CDN/HBET:1-4,294.5023,RURAL
4,MUR+CL/LWAL+CDN/HBET:1-4,391.8742,URBAN
4,W/LPB+CDL/HBET:1-3,415.7182,RURAL
4,W/LPB+CDL/HBET:1-3,553.168,URBAN
4,W/LWAL+CDL/HBET:1-3,259.1688,RURAL
4,W/LWAL+CDL/HBET:1-3,344.8583,URBAN
5,CR/LFINF+CDN/H:3,694.9636,RURAL
5,CR/LFINF+CDN/H:3,3.2643,URBAN
5,CR/LWAL+CDN/HBET:4-10,48.891,RURAL
5,MUR+CB/LWAL+CDN/HBET:1-2,521.4449,RURAL
5,MUR+CB/LWAL+CDN/HBET:1-2,2.4492,URBAN
5,MUR+CB/LWAL+CDN/HBET:1-4,48.891,RURAL
5,MUR+CL/LWAL+CDN/HBET:1-4,15.8229,RURAL
5,MUR+CL/LWAL+CDN/HBET:1-4,309.7024,RURAL
5,MUR+CL/LWAL+CDN/HBET:1-4,1.4547,URBAN
5,W/LPB+CDL/HBET:1-3,437.1746,RURAL
5,W/LPB+CDL/HBET:1-3,2.0534,URBAN
5,W/LWAL+CDL/HBET:1-3,272.5452,RURAL
5,W/LWAL+CDL/HBET:1-3,1.2802,URBAN
6,CR/LFINF+CDN/H:3,2904.8099,RURAL
6,CR/LFINF+CDN/H:3,6108.3196,URBAN
6,CR/LWAL+CDN/HBET:4-10,204.3548,RURAL
6,CR/LWAL+CDN/HBET:4-10,429.7232,URBAN
6,MUR+CB/LWAL+CDN/HBET:1-2,2179.5363,RURAL
6,MUR+CB/LWAL+CDN/HBET:1-2,4583.193,URBAN
6,MUR+CB/LWAL+CDN/HBET:1-4,204.3548,RURAL
6,MUR+CB/LWAL+CDN/HBET:1-4,429.7232,URBAN
6,MUR+CL/LWAL+CDN/HBET:1-4,66.1366,RURAL
6,MUR+CL/LWAL+CDN/HBET:1-4,139.074,URBAN
6,MUR+CL/LWAL+CDN/HBET:1-4,1294.4945,RURAL
6,MUR+CL/LWAL+CDN/HBET:1-4,2722.101,URBAN
6,W/LPB+CDL/HBET:1-3,1827.303,RURAL
6,W/LPB+CDL/HBET:1-3,3842.5065,URBAN
6,W/LWAL+CDL/HBET:1-3,1139.1849,RURAL
6,W/LWAL+CDL/HBET:1-3,2395.5114,URBAN
7,CR/LFINF+CDN/H:3,186.3776,RURAL
7,CR/LFINF+CDN/H:3,1561.7105,URBAN
7,CR/LWAL+CDN/HBET:4-10,13.1118,RURAL
7,CR/LWAL+CDN/HBET:4-10,109.8671,URBAN
7,MUR+CB/LWAL+CDN/HBET:1-2,139.8428,RURAL
7,MUR+CB/LWAL+CDN/HBET:1-2,1171.7823,URBAN
7,MUR+CB/LWAL+CDN/HBET:1-4,13.1118,RURAL
7,MUR+CB/LWAL+CDN/HBET:1-4,109.8671,URBAN
7,MUR+CL/LWAL+CDN/HBET:1-4,4.2434,RURAL
7,MUR+CL/LWAL+CDN/HBET:1-4,35.557,URBAN
7,MUR+CL/LWAL+CDN/HBET:1-4,83.057,RURAL
7,MUR+CL/LWAL+CDN/HBET:1-4,695.958,URBAN
7,W/LPB+CDL/HBET:1-3,117.2429,RURAL
7,W/LPB+CDL/HBET:1-3,982.4114,URBAN
7,W/LWAL+CDL/HBET:1-3,73.0921,RURAL
7,W/LWAL+CDL/HBET:1-3,612.459,URBAN
