ID,POPULATION
239,27565
240,37986
82,15629
19,7166
83,18955
183,9084
92,8222
238,12203
59,6409
220,9855
126,39625
226,13309
52,10225
188,9828
93,3119
94,6512
189,25918
204,3012
105,11143
127,14840
2,11489
20,21523
128,14271
241,9676
53,7333
205,2437
129,14884
95,27642
34,26191
242,103981
70,10614
21,49434
158,84357
3,5211
54,6798
130,12362
131,16816
243,4656
159,31800
106,9563
206,2857
190,8472
160,25715
60,16323
71,9066
184,40026
115,97373
132,31767
244,5509
227,12502
45,41317
246,31636
22,56076
245,6597
191,10508
4,20738
116,16056
192,11232
23,10076
96,18305
35,95426
61,28890
117,10338
62,9435
247,519969
248,13134
44,65681
249,5674
193,9017
250,5268
252,10832
185,19695
194,12323
107,7152
108,15220
228,15200
46,92281
195,14934
161,78141
97,10051
55,10340
221,24551
251,34778
133,50183
229,13375
24,15130
137,130347
253,9273
254,8808
36,9591
135,24670
72,5740
134,15479
136,14874
162,98807
37,36787
73,13567
47,10120
163,67162
98,5106
63,128271
99,16617
74,62975
255,6725
14,31205
109,29588
15,64313
196,86446
118,32396
138,29279
197,11679
5,9804
100,22926
139,16583
230,24828
222,18783
140,79883
198,23694
56,14550
110,20535
256,41564
48,75697
231,8069
49,23444
141,42101
111,5618
25,15222
257,38792
84,8077
164,44141
258,38220
259,12538
112,23116
6,147354
85,27317
38,18986
113,4898
142,22000
26,25667
101,74377
143,111792
207,12346
260,14385
208,3227
144,302206
27,10242
262,23750
263,33806
86,9528
264,9082
7,26076
261,61358
75,12858
28,20114
76,14154
8,41815
265,7019
266,10218
199,3717
165,91316
64,29375
114,10448
232,5717
39,9539
209,7063
9,130646
166,56243
210,4254
77,19647
119,51956
167,26192
40,5899
237,12520
1,5238
16,12880
104,144058
124,9630
219,54897
29,6902
267,15141
145,12671
78,26165
157,39743
51,59387
182,21394
125,13563
41,11413
90,3557
91,4815
120,11215
102,6285
268,35482
146,7153
103,40903
57,5495
30,10855
211,6767
17,27999
200,15426
233,21553
169,15674
43,37002
31,10863
65,10865
170,41167
147,19197
148,18160
270,18253
212,71572
234,4411
269,51688
149,14930
32,10655
42,25311
10,14018
168,87588
223,20008
171,65779
172,70043
18,16802
213,2714
271,9019
150,22306
272,24529
173,872422
201,4223
214,6030
121,32608
273,11964
58,12189
174,39472
224,96039
202,13145
235,9864
151,13232
152,19793
274,10277
175,64445
276,12300
277,10592
278,12564
186,20077
225,18015
87,12205
279,14944
153,12933
275,9050
79,6903
203,12321
66,18095
280,11597
154,42505
281,55490
122,11472
176,43214
282,52151
283,23007
215,116379
177,23949
178,40009
187,214815
88,9178
11,7317
68,13171
12,7679
180,30642
284,36920
216,8463
33,6805
286,15658
50,58448
285,10968
179,38795
67,32889
236,138428
80,36010
181,11086
89,83675
155,33532
69,26287
217,7050
81,15377
218,5431
123,8841
13,3676
156,28419
