ID,Region,POPULATION
2,Affoltern am Albis,11900
3,Bonstetten,5435
4,Hausen am Albis,3571
5,Hedingen,3687
7,Knonau,2168
9,Mettmenstetten,4861
10,Obfelden,5131
11,Ottenbach,2591
13,Stallikon,3646
14,Wettswil am Albis,5123
23,Berg am Irchel,567
25,Dachsen,1998
27,Feuerthalen,3596
28,Flaach,1362
29,Flurlingen,1434
30,Andelfingen,2224
31,Henggart,2242
33,Kleinandelfingen,2067
34,Laufen-Uhwiesen,1650
35,Marthalen,1938
43,Volken,341
51,Bachenbülach,4087
52,Bassersdorf,11616
53,Bülach,19611
54,Dietlikon,7568
55,Eglisau,5167
56,Embrach,9189
57,Freienstein-Teufen,2342
58,Glattfelden,5069
59,Hochfelden,1962
60,Höri,2706
62,Kloten,19086
63,Lufingen,2210
64,Nürensdorf,5600
66,Opfikon,19599
67,Rafz,4400
68,Rorbas,2814
69,Wallisellen,15934
72,Winkel,4391
83,Buchs (ZH),6359
84,Dällikon,4080
85,Dänikon,1884
86,Dielsdorf,5992
87,Hüttikon,920
88,Neerach,3128
89,Niederglatt,4914
90,Niederhasli,9195
91,Niederweningen,2930
92,Oberglatt,6981
93,Oberweningen,1786
94,Otelfingen,2837
95,Regensberg,472
96,Regensdorf,18191
97,Rümlang,8026
98,Schleinikon,726
99,Schöfflisdorf,1394
100,Stadel,2227
101,Steinmaur,3464
102,Weiach,1483
111,Bäretswil,5060
112,Bubikon,7115
113,Dürnten,7530
115,Gossau (ZH),9827
116,Grüningen,3401
117,Hinwil,11095
118,Rüti (ZH),12086
119,Seegräben,1443
120,Wald (ZH),9645
121,Wetzikon (ZH),24640
131,Adliswil,18742
132,Hirzel,2185
133,Horgen,20291
135,Kilchberg (ZH),8380
136,Langnau am Albis,7502
137,Oberrieden,5035
138,Richterswil,13352
139,Rüschlikon,5744
141,Thalwil,17789
142,Wädenswil,21797
151,Erlenbach (ZH),5517
152,Herrliberg,6300
153,Hombrechtikon,8620
154,Küsnacht (ZH),14192
155,Männedorf,10830
156,Meilen,13762
157,Oetwil am See,4743
158,Stäfa,14291
159,Uetikon am See,6076
160,Zumikon,5158
161,Zollikon,12791
172,Fehraltorf,6361
173,Hittnau,3604
176,Lindau,5489
177,Pfäffikon,11774
178,Russikon,4361
180,Weisslingen,3278
181,Wila,1947
296,Illnau-Effretikon,16796
191,Dübendorf,27689
192,Egg,8405
193,Fällanden,8417
194,Greifensee,5381
195,Maur,10067
196,Mönchaltorf,3701
197,Schwerzenbach,5069
198,Uster,34319
199,Volketswil,18582
200,Wangen-Brüttisellen,7860
213,Brütten,2030
222,Elgg,4821
219,Elsau,3558
221,Hettlingen,3168
223,Neftenbach,5564
224,Pfungen,3769
225,Rickenbach (ZH),2701
227,Seuzach,7265
228,Turbenthal,4681
230,Winterthur,109775
231,Zell (ZH),5756
298,Wiesendangen,6296
242,Birmensdorf (ZH),6313
243,Dietikon,27076
244,Geroldswil,4958
245,Oberengstringen,6611
246,Oetwil an der Limmat,2451
247,Schlieren,18749
248,Uitikon,4155
249,Unterengstringen,3758
250,Urdorf,9657
251,Weiningen (ZH),4770
261,Zürich,402762
443,Saint-Imier,5121
446,Tramelan,4565
448,Villeret,932
