ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE
1,CR/LFINF+CDL/HBET:4-10,9102.5682,URBAN
1,CR/LWAL+CDL/HBET:4-10,3257.691,URBAN
1,MUR+CL/LWAL+CDN/HBET:1-4,9085.876,URBAN
1,MUR+CL/LWAL+CDN/HBET:1-4,10683.0064,URBAN
1,MUR+ST/LWAL+CDN/HBET:1-4,5341.5032,URBAN
1,W/LPB+CDL/HBET:1-3,1823.4139,URBAN
2,CR/LFINF+CDL/HBET:4-10,4736.1722,RURAL
2,CR/LFINF+CDL/HBET:4-10,3759.4985,URBAN
2,CR/LWAL+CDL/HBET:4-10,1695.0145,RURAL
2,CR/LWAL+CDL/HBET:4-10,1345.4757,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-4,4727.4871,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,3752.6043,URBAN
2,MUR+CL/LWAL+CDN/HBET:1-4,5558.4925,RURAL
2,MUR+CL/LWAL+CDN/HBET:1-4,4412.2433,URBAN
2,MUR+ST/LWAL+CDN/HBET:1-4,2779.2463,RURAL
2,MUR+ST/LWAL+CDN/HBET:1-4,2206.1217,URBAN
2,W/LPB+CDL/HBET:1-3,948.7435,RURAL
2,W/LPB+CDL/HBET:1-3,753.0975,URBAN
3,CR/LFINF+CDL/HBET:4-10,4337.2308,RURAL
3,CR/LFINF+CDL/HBET:4-10,17949.597,URBAN
3,CR/LWAL+CDL/HBET:4-10,1552.2386,RURAL
3,CR/LWAL+CDL/HBET:4-10,6423.9277,URBAN
3,MUR+CL/LWAL+CDN/HBET:1-4,4329.2772,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,17916.6813,URBAN
3,MUR+CL/LWAL+CDN/HBET:1-4,5090.2847,RURAL
3,MUR+CL/LWAL+CDN/HBET:1-4,21066.1051,URBAN
3,MUR+ST/LWAL+CDN/HBET:1-4,2545.1423,RURAL
3,MUR+ST/LWAL+CDN/HBET:1-4,10533.0526,URBAN
3,W/LPB+CDL/HBET:1-3,868.8281,RURAL
3,W/LPB+CDL/HBET:1-3,3595.6385,URBAN
4,CR/LFINF+CDL/HBET:4-10,2103.0441,RURAL
4,CR/LFINF+CDL/HBET:4-10,39720.858,URBAN
