ID,POPULATION
1,187029
2,175538
3,255644
4,154148
5,232774
6,147657
7,183450
8,312245
9,272952
10,428074
11,310554
12,506550
13,622312
14,220087
15,329526
16,533760
17,364815
18,499817
19,105584
20,770688
21,248943
22,747709
23,413813
24,512994
25,339314
26,334673
27,527209
28,313935
29,1396599
30,598289
31,255483
32,247182
33,125722
34,182445
35,1322118
36,255540
37,240499
38,92088
39,237927
40,183619
41,1119824
42,275499
43,254927
44,138392
45,206285
46,158251
47,1466466
48,256123
49,160436
50,304481
51,1171558
52,651179
53,329627
54,276938
55,714768
56,7412
57,203641
58,502902
59,264885
60,1380770
61,200543
62,138368
63,249895
64,310460
65,859426
66,159735
67,167516
68,203091
69,601206
70,693967
71,316278
72,786796
73,303899
74,654791
75,184457
76,256589
77,148075
78,205433
79,281395
80,135164
81,187527
82,37581
83,307108
84,531581
85,263417
86,1343805
87,235870
88,174274
89,288717
90,849546
91,191824
92,248719
93,730133
94,1135367
95,191123
96,209709
97,166831
98,158268
99,131193
100,256012
101,1104141
102,259742
103,307710
104,202709
105,546554
106,2739733
107,808919
108,2227371
109,219582
110,474319
111,566557
112,197783
113,138651
114,156943
115,200298
116,64044
117,31224
118,48339
119,333895
120,39114
121,135280
122,59067
123,37013
124,93023
125,148191
126,69731
127,57852
128,61805
129,32180
130,33536
131,120165
132,45038
133,17050
134,99480
135,85139
136,79900
137,51356
138,39384
139,253650
140,222460
141,116200
142,88930
143,51500
144,151410
145,147200
146,122690
147,105000
148,99920
149,90810
150,477940
151,27690
152,156250
153,365300
154,593060
155,232730
156,81220
157,83450
158,93470
159,138090
160,337720
161,21420
162,146850
163,174700
164,113880
165,23240
166,112980
167,313900
168,90330
169,90610
170,175300
171,69913
172,69812
173,139410
174,178782
175,345442
176,183961
177,75293
178,115326
179,93919
180,152666
181,121523
182,58851
183,91508
184,139880
185,145785
186,122613
187,133071
188,234373
189,238691
190,91190
191,126679
192,135070
